store,account_id,account_review,visit_date,visit_count,verification,review,review_text,review_length,menu_mention,authenticity_score
이태리국시,hjh6497,25,2026.05.06,1번째 방문,영수증,맛있게 먹었습니다,10,9,0,6
이태리국시,배고프다1172,33,2026.05.09,1번째 방문,영수증,맛있아요 추천,11,7,0,6
이태리국시,Dnsko,29,2026.05.05,1번째 방문,영수증,맛있어요 분위기 좋습니다,13,13,0,8
이태리국시,pur****,28,2026.05.04,1번째 방문,영수증,좋은시간 보내고 갑니다,13,12,0,8
이태리국시,밥밥18,147,2026.05.04,1번째 방문,영수증,분위기 좋고 맛있어요,13,11,0,8
이태리국시,이름뭘로하지00,34,2026.04.28,2번째 방문,영수증,너무 맛있었어용,13,8,0,7
이태리국시,니진,122,2026.04.26,1번째 방문,영수증,분위기 좋고 맛있어요,13,11,0,8
이태리국시,쑤2790,23,2026.04.14,1번째 방문,영수증,분위기도 좋고 맛있어요,15,12,0,8
이태리국시,강연58,46,2026.04.05,1번째 방문,영수증,양이 푸짐하고 다 맛있어요,15,14,0,8
이태리국시,민탱민트,31,2026.04.04,1번째 방문,영수증,빠에야가 엄청 맛있어요요오옹,15,15,0,8
이태리국시,둥이6725,39,2026.05.04,1번째 방문,영수증,대창파스타 맛있어요 추천이요,16,15,1,9
이태리국시,Jessica3949,26,2026.05.02,1번째 방문,영수증,존맛이에여 이거 어떻게 만들져,16,16,0,8
이태리국시,지박98,27,2026.04.28,1번째 방문,영수증,맛나요 돼지처럼 먹었습니다 굿,16,16,0,8
이태리국시,yum****,22,2026.05.07,1번째 방문,영수증,맛잇고 메뉴도 다양해서 좋아요,17,16,0,8
이태리국시,노리95,40,2026.05.04,1번째 방문,영수증,대창 파스타 매콤하고 맛있어요,17,16,1,9
이태리국시,0lsumin,11,2026.05.03,1번째 방문,영수증,분위기 좋고 음식도 맛있습니다,17,16,0,8
이태리국시,꼬만10,491,2026.04.22,1번째 방문,영수증,너무 맛있어요 성수맛집 강추,17,15,0,8
이태리국시,째랑,18,2026.04.14,1번째 방문,영수증,자주오는데 올때마다 맛있어요,17,15,0,8
이태리국시,kdbsle5,35,2026.04.11,1번째 방문,영수증,대창 고소하고 매콤하고 맛있어용,17,17,0,8
이태리국시,BW56,35,2026.04.05,1번째 방문,영수증,파스타랑 피자가 너무 맛있습니다,17,17,1,9
이태리국시,pro리뷰러,120,2026.03.30,1번째 방문,영수증,분위기도 좋고 맛도 좋아요,17,14,0,8
이태리국시,예나다,14,2026.05.09,1번째 방문,영수증,맛있고 자극적이에여 그치만 맛있움,18,18,0,8
이태리국시,sun****,15,2026.04.11,1번째 방문,영수증,신기한 메뉴인데 너무 맛있었어요,18,17,0,8
이태리국시,은2399,24,2026.04.05,1번째 방문,영수증,음식 맛있고 장소가 넘 좋아요,18,16,0,8
이태리국시,dakong22,78,2026.05.09,1번째 방문,영수증,분위기가 엄청 좋아요 맛있어요,19,16,0,8
이태리국시,김제젠,18,2026.05.05,1번째 방문,영수증,친구랑 오기도 좋고 너무 맛있어용,19,18,0,8
이태리국시,sese51,48,2026.04.24,1번째 방문,영수증,음식이 엄청 빨리나오고 맛있어요,19,17,0,8
이태리국시,요미요미ㅋ,154,2026.04.04,1번째 방문,영수증,음식이 맛있고 애들이 너무 조아해요,19,19,0,8
이태리국시,이름뭘로하지00,34,2026.04.02,1번째 방문,영수증,맛있고 인테리어도 멋져용,19,13,0,8
이태리국시,guseod23,35,2026.04.22,1번째 방문,영수증,맛있어요 파스타 면 맛이 특이해요,20,18,1,9
이태리국시,선꿍,28,2026.04.18,1번째 방문,영수증,음식이 맛잇고 매장이 쾌적해서 좋아요,20,20,0,8
이태리국시,전다운14,43,2026.03.22,1번째 방문,영수증,메뉴가 하나하나 다 맛있었어요,20,16,0,8
이태리국시,hos****,12,2026.05.03,1번째 방문,영수증,맛있게 잘먹고 갑니다 다음에 또 올게요,21,21,0,8
이태리국시,par****,6,2026.05.03,1번째 방문,영수증,진짜 맛잇습니다 추천해요꼭 와보세요,21,19,0,8
이태리국시,saemodagal,56,2026.05.01,1번째 방문,영수증,메뉴도 신선하고 데이트하기 딱이네요,21,19,0,8
이태리국시,rea****,1,2026.04.25,1번째 방문,영수증,맛있어요 친구들과 함께 오기 좋아요,21,19,0,7
이태리국시,con****,63,2026.04.11,1번째 방문,영수증,최애 맛집 친구들 데리고 왔어여,21,17,0,8
이태리국시,rrr50,37,2026.04.24,1번째 방문,영수증,한식이랑 접목한 특이한 메뉴가 많아용,22,20,0,8
이태리국시,언노말인간,57,2026.04.21,1번째 방문,영수증,극락 매우 맛있습니다 뚝배기로 보온 강화,22,22,0,8
이태리국시,kslwplc,26,2026.04.08,1번째 방문,영수증,넘 맛있었구 친절하세요  또올게요,22,18,0,8
이태리국시,해융이31,18,2026.04.22,1번째 방문,영수증,분위기 너무 좋고 음식도 특별해서 좋아요,23,22,0,8
이태리국시,어둠의지배자,13,2026.04.12,1번째 방문,영수증,너무 맛있었습니다 분위기가 너무 좋아여,23,21,0,8
이태리국시,g15****,18,2026.05.07,1번째 방문,영수증,성수 최고의 파스타집 맛있어요 뚝섬역 근방,24,23,1,9
이태리국시,원종혁96,32,2026.04.11,1번째 방문,영수증,분위기가 너무 좋고 음식도 너무 맛있습니다,24,23,0,8
이태리국시,kjh****,50,2026.05.09,1번째 방문,영수증,분위기 괜찮네요 음식도 밸런스가 좋았습니다,25,23,0,8
이태리국시,이재성98,13,2026.05.05,1번째 방문,영수증,아이들과 함께해도 무리없이 좋네요 잘먹고갑니다,25,25,0,8
이태리국시,공쥬 님,24,2026.05.03,1번째 방문,영수증,생각한것보다 맛있어서 놀랐습니다  맛집 인정,25,24,0,8
이태리국시,wldms25,27,2026.05.02,1번째 방문,영수증,맛있어용 퓨전이라 특별한 메뉴가 많아요,25,21,0,8
이태리국시,랠롱2,20,2026.05.06,1번째 방문,영수증,전반적으로 매장 분위기가 좋고 음식도 맛있네요,26,25,0,8
이태리국시,zzzz4556,42,2026.05.05,1번째 방문,영수증,맛있게 잘 먹었습니다 다른 메뉴들도 궁금해요,26,24,0,8
이태리국시,ysh****,22,2026.05.05,1번째 방문,영수증,여자친구랑 데이트와서 너무 맛있게 잘 먹었어요,26,25,0,8
이태리국시,연2227,40,2026.04.26,1번째 방문,영수증,메뉴 구성이 신기해서 와봤는데 맛도 있어여,26,23,0,8
이태리국시,ultragirljy55,42,2026.04.04,1번째 방문,영수증,메뉴 특별하고 맛나요 잘 먹었어요 또 방문할게요,26,26,0,8
이태리국시,jun****,33,2026.05.06,1번째 방문,영수증,분위기도 너무 좋고 음식도 맛있어요 잘 먹었습니다,27,27,0,8
이태리국시,규슐랭91,29,2026.04.22,1번째 방문,영수증,한식과 이탸리의 조화 너무 맛있어요 또 와야지,27,25,0,8
이태리국시,물먹는호박,56,2026.04.14,1번째 방문,영수증,다 맛있어요 분위기도 좋고 데이트로 추천합니다,27,25,0,8
이태리국시,김애용31,43,2026.03.31,3번째 방문,영수증,맛있게 잘먹었어요 종종 생각나서 방문하는 곳입니다,27,27,0,9
이태리국시,thd****,44,2026.03.29,1번째 방문,영수증,전에 왔을때보다 맛있었어요 다음에 또 올께용,27,24,0,8
이태리국시,희망89,1,2026.05.03,1번째 방문,영수증,좋은 친구들과 즐거운 저녁을 보냈네요 감사합니다,28,26,0,7
이태리국시,wls****,1,2026.04.25,1번째 방문,영수증,너무 맛있습니다 특히 숯불대창 풍미 장난아닙니다,28,26,0,7
이태리국시,냥냥냥냥냔냔,18,2026.04.12,1번째 방문,영수증,매장도 깔금하고 색다른 메뉴인데 맛있었어요,28,23,0,8
이태리국시,두기또기,170,2026.04.09,1번째 방문,영수증,분위기 좋고 직원분들 친절하세요 음식도 맛있어요,28,26,0,8
이태리국시,Parkk,85,2026.04.02,1번째 방문,영수증,분위기가 너무 좋고 음식 맛이 다 특별해서 좋았어요,28,28,0,8
이태리국시,Sunny030,78,2026.04.26,1번째 방문,영수증,한식과 양식이 적절히 어울러져서 특색있고 맛있었습니다,29,29,0,8
이태리국시,다롱3858,41,2026.04.22,1번째 방문,영수증,아주 마싯네요  잘먹었습니다  또 오 고 싶어요,29,26,0,8
이태리국시,SnAcO,67,2026.04.05,1번째 방문,영수증,생일 기념으로 와서 언니오빠들이랑 맛있게 먹고 갑니당,29,29,0,8
이태리국시,송송89,32,2026.05.03,1번째 방문,영수증,메뉴구성이 좋고 모두다 신선하고 맛있어요 또 오려고요,30,29,0,8
이태리국시,듀공9988,49,2026.04.22,1번째 방문,영수증,맛있구 음식이 특이해요 식당도 넓고 쾌적해서 좋았어요,30,29,0,8
