original_account_id,anonymous_account_id
Hul,reviewer_000001
토끼공듀,reviewer_000002
뭐이런걸다,reviewer_000003
Emily,reviewer_000004
5점이면가세요1점이면거르세요,reviewer_000005
i_2._:),reviewer_000006
진또배기,reviewer_000007
슬기로운생활,reviewer_000008
금나비,reviewer_000009
ㅇㅇㅇ,reviewer_000010
코이카,reviewer_000011
Js,reviewer_000012
❤️,reviewer_000013
pick of pig,reviewer_000014
Excontro,reviewer_000015
개볶긔,reviewer_000016
아뚱멍,reviewer_000017
쨍이,reviewer_000018
5점잘안준다,reviewer_000019
솔직리뷰어,reviewer_000020
♥후암동짝눈이♥,reviewer_000021
박찬호,reviewer_000022
Saturn,reviewer_000023
박토토,reviewer_000024
개솔직,reviewer_000025
조각바디,reviewer_000026
히이,reviewer_000027
솥뚜껑,reviewer_000028
리뷰어,reviewer_000029
먹스의맛집만모으기,reviewer_000030
.,reviewer_000031
새우,reviewer_000032
ㅇㅇ,reviewer_000033
입맛까다롭고광고절대안함,reviewer_000034
올곧다,reviewer_000035
ㅎㅎ,reviewer_000036
언금술사,reviewer_000037
김마루,reviewer_000038
냠냠,reviewer_000039
감자,reviewer_000040
명란치즈,reviewer_000041
할말많은데참음,reviewer_000042
핸썸,reviewer_000043
마루,reviewer_000044
ドコモ,reviewer_000045
김민철,reviewer_000046
뒤지게 맛있는 곳들,reviewer_000047
uni,reviewer_000048
라랼,reviewer_000049
청결이중요,reviewer_000050
돈까스경찰관,reviewer_000051
맛집콜렉팅에미쳐버린사람바로나야.,reviewer_000052
입 짧은 사람,reviewer_000053
도쿄도쿄,reviewer_000054
라미97,reviewer_000055
눙,reviewer_000056
카일리,reviewer_000057
물티슈,reviewer_000058
ggoolggool,reviewer_000059
웬만하면먹어,reviewer_000060
된장찌개 매니아,reviewer_000061
그냥짱쎈블로거,reviewer_000062
YEE,reviewer_000063
if,reviewer_000064
abdo,reviewer_000065
김치찌기러버❤️,reviewer_000066
Anakii Simple,reviewer_000067
