feature,importance
review_length,0.22651804994393562
menu_count,0.11425201025761778
has_menu,0.05957345993746235
sentence_count,0.058071377580371564
account_review_count,0.045339085795726264
mixed_opinion_review,0.044008177880970376
short_but_specific_food_review,0.041818939651923265
experience_context_count,0.04145919159336993
category_count,0.030259649775081606
short_generic_review,0.029702017083226274
positive_narrative,0.021104817296544082
generic_count,0.020464332641640024
specific_review,0.018958177410940143
has_detailed_negative,0.015815017580504166
has_experience_context,0.014778114053010046
sensory_detail_count,0.014135137695863173
detailed_negative_narrative,0.013019092604876574
multi_sentence_review,0.012401386697937236
temporal_context_count,0.011807020207513171
waiting_popularity_count,0.011119595837742559
has_sensory_detail,0.010680196448053845
quality_detail_count,0.010166073157295376
has_mixed_opinion,0.00992882505718498
mixed_opinion_count,0.009761491193174028
number_detail_count,0.009434779252869282
strong_generic_praise,0.008872276122367434
has_waiting_popularity,0.008284364882518186
account_review_count_over_50,0.007878821488830103
account_review_count_over_100,0.00785642672684587
temporal_experience_review,0.006793484490434653
has_temporal_context,0.006523160620229636
has_quality_detail,0.0063620890572894185
account_review_count_under_10,0.006307667571845656
has_number_detail,0.006286884400971573
visit_count,0.005518420262496224
enthusiastic_but_detailed,0.005231053784642687
has_generic_praise,0.004669909458100592
has_photo,0.004634307655487818
first_visit,0.0034738719179748527
low_information_review,0.003436586308571085
revisit,0.003428690398490566
strong_sensory_detail,0.002542773055613624
strong_quality_detail,0.002242560338972938
account_review_count_under_5,0.002213950086269144
popularity_only_review,0.0013638337361213228
generic_without_detail,0.0007468124082903784
account_review_count_is_1,0.0005538511132591738
menu_price_listing_only,0.00020218747954324758
account_avg_rating,0.0
rating,0.0
