platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,review_original,review_sentiment,has_emo_pos,has_emo_neg,has_laugh,has_cry,has_exclamation,has_question,has_number,original_char_len,가격_matched_keywords
kakao,뼈탄집 성수역점,🍪,4.0,2026-01-28,,,가족모임으로 방문한 고깃집이에요 🥩 고기 질이 좋아서 맛있게 먹었어요. 반찬도 골고루 잘 나와 만족! 직원분들 친절해서 기분 좋았고요. 아이랑 가기에도 편했어요. 가족모임 장소로 추천하는 고깃집입니다. 다음에 또 방문할게요 😊,126,True,5.0,5.0,브론즈 레벨,가족모임으로 방문한 고깃집이에요 🥩 고기 질이 좋아서 맛있게 먹었어요. 반찬도 골고루 잘 나와 만족! 직원분들 친절해서 기분 좋았고요. 아이랑 가기에도 편했어요. 가족모임 장소로 추천하는 고깃집입니다. 다음에 또 방문할게요 😊,가족모임으로 방문한 고깃집이에요 고기 질이 좋아서 맛있게 먹었어요 반찬도 골고루 잘 나와 만족 EXCLAM 직원분들 친절해서 기분 좋았고요 아이랑 가기에도 편했어요 가족모임 장소로 추천하는 고깃집입니다 다음에 또 방문할게요 EMO_POS,1,0,0,0,1,0,0,126,원
naver,일등식당,아이스초코29,1351.0,2025.10.15,4번째 방문,영수증,가성비 해장국집 포장해서 먹으면 양이 더 많아요(우거지 추가는 안되서 아쉽),42,True,,,,가성비 해장국집 포장해서 먹으면 양이 더 많아요(우거지 추가는 안되서 아쉽),가성비 해장국집 포장해서 먹으면 양이 더 많아요 우거지 추가는 안되서 아쉽,0,0,0,0,0,0,0,42,가성비
naver,이태리국시 성수,Yirehh,23.0,2026.05.06,1번째 방문,영수증,오랜만에 성수로 나와서 흔한 양식이 아닌 색다른걸 먹어보고 싶어 방문했습니다 원픽이었던 대창파스타가 품절이라 못 먹은게 아쉽지만ㅠㅠ 곱창파스타와 알배추 샐러드 청양크림파스타까지 맛있게 먹었어요! 피클대신 짜지않은 무짱아찌까지 오히려 잘 어울렸어요~ 다음엔 대창파스타 꼭 먹어보러 올려고요🥰,161,True,,,,오랜만에 성수로 나와서 흔한 양식이 아닌 색다른걸 먹어보고 싶어 방문했습니다 원픽이었던 대창파스타가 품절이라 못 먹은게 아쉽지만ㅠㅠ 곱창파스타와 알배추 샐러드 청양크림파스타까지 맛있게 먹었어요! 피클대신 짜지않은 무짱아찌까지 오히려 잘 어울렸어요~ 다음엔 대창파스타 꼭 먹어보러 올려고요🥰,오랜만에 성수로 나와서 흔한 양식이 아닌 색다른걸 먹어보고 싶어 방문했습니다 원픽이었던 대창파스타가 품절이라 못 먹은게 아쉽지만 곱창파스타와 알배추 샐러드 청양크림파스타까지 맛있게 먹었어요 EXCLAM 피클대신 짜지않은 무짱아찌까지 오히려 잘 어울렸어요 다음엔 대창파스타 꼭 먹어보러 올려고요 EMO_POS,1,0,0,1,1,0,0,161,원
naver,조선시대,kim****,21.0,2026.04.23,1번째 방문,영수증,안주가 되게 다양하고 맛있어요. 양도 많아서 가성비가 좋은 것같습니다! 술도 전통주 마셨는데 맛있어여 추천합니다! #홍대술집 #홍대막걸리 #홍대맛집,82,True,,,,안주가 되게 다양하고 맛있어요. 양도 많아서 가성비가 좋은 것같습니다! 술도 전통주 마셨는데 맛있어여 추천합니다! #홍대술집 #홍대막걸리 #홍대맛집,안주가 되게 다양하고 맛있어요 양도 많아서 가성비가 좋은 것같습니다 EXCLAM 술도 전통주 마셨는데 맛있어여 추천합니다 EXCLAM 홍대술집 홍대막걸리 홍대맛집,0,0,0,0,1,0,0,82,가성비
kakao,육지,태영,1.0,2025-08-30,,,고기가 정말 맛있고 직원분들도 친절하셔서 맛있게 잘 먹고갑니다!!!,37,False,5.0,5.0,브론즈 레벨,고기가 정말 맛있고 직원분들도 친절하셔서 맛있게 잘 먹고갑니다!!!,고기가 정말 맛있고 직원분들도 친절하셔서 맛있게 잘 먹고갑니다 EXCLAM,0,0,0,0,1,0,0,37,원
kakao,능동미나리 성수점,stuva,42.0,2025-01-27,,,신선한 느낌과 맛도 있었습니다. 하지만 조금 비싸고 외국인들이 많아 항상 대기가 있네요.,49,True,4.0,3.5,실버 레벨,신선한 느낌과 맛도 있었습니다. 하지만 조금 비싸고 외국인들이 많아 항상 대기가 있네요.,신선한 느낌과 맛도 있었습니다 하지만 조금 비싸고 외국인들이 많아 항상 대기가 있네요,0,0,0,0,0,0,0,49,비싸
kakao,할머니의레시피,Jun3am,2.0,2025-03-28,,,방문시기는 작년 9월말쯤.. 사장같은 남자?분 되게 불친절했던거로 기억. 좁디좁은 2인석에 쟁반한가득 식사내놓아서 너무 좁으니 방금 자리 난 4인석 앉겠다했는데 다른 2인팀들 4인석에 떡하니 잘 앉혀놓고 그건 안된다해서 어이가없었음. 결국 다시한번 요청하니 똥씹은 표정으로 그렇게 하면 다른분들도 다 바꿔줘야해서 안된다고 꼽주다 선심쓰듯 바꿔주고.. 아니 그러면 테이블 수 채우려고 아득바득 작은 테이블 두지말고 넉넉히 큰 테이블을 놨어야지 왜 그런 말도안되는 원칙을 정해놓고 손님보고 강요를하는지? 돈욕심 버리고 손님을 위한 식당을 만드세요,303,True,1.0,3.0,브론즈 레벨,방문시기는 작년 9월말쯤.. 사장같은 남자?분 되게 불친절했던거로 기억. 좁디좁은 2인석에 쟁반한가득 식사내놓아서 너무 좁으니 방금 자리 난 4인석 앉겠다했는데 다른 2인팀들 4인석에 떡하니 잘 앉혀놓고 그건 안된다해서 어이가없었음. 결국 다시한번 요청하니 똥씹은 표정으로 그렇게 하면 다른분들도 다 바꿔줘야해서 안된다고 꼽주다 선심쓰듯 바꿔주고.. 아니 그러면 테이블 수 채우려고 아득바득 작은 테이블 두지말고 넉넉히 큰 테이블을 놨어야지 왜 그런 말도안되는 원칙을 정해놓고 손님보고 강요를하는지? 돈욕심 버리고 손님을 위한 식당을 만드세요,방문시기는 작년 9월말쯤 사장같은 남자 QUESTION 분 되게 불친절했던거로 기억 좁디좁은 2인석에 쟁반한가득 식사내놓아서 너무 좁으니 방금 자리 난 4인석 앉겠다했는데 다른 2인팀들 4인석에 떡하니 잘 앉혀놓고 그건 안된다해서 어이가없었음 결국 다시한번 요청하니 똥씹은 표정으로 그렇게 하면 다른분들도 다 바꿔줘야해서 안된다고 꼽주다 선심쓰듯 바꿔주고 아니 그러면 테이블 수 채우려고 아득바득 작은 테이블 두지말고 넉넉히 큰 테이블을 놨어야지 왜 그런 말도안되는 원칙을 정해놓고 손님보고 강요를하는지 QUESTION 돈욕심 버리고 손님을 위한 식당을 만드세요,0,0,0,0,0,1,1,303,"돈, 원"
naver,장인닭갈비 홍대점,승2792,11.0,2026.04.14,1번째 방문,영수증,"리뷰쓰면 캔 음료 준다길래 같이 온 친구가 닭갈비 나오기 전에 리뷰 썼더니 음식 사진도 올려달라해서 올렸는데요(음식 나오고 나서 영수증을 줬으면 몰라도) 리뷰 별점을 5점으로 올려달라고 하더라고요? 거기서 기분이 팍... 직원 중에 외국인 2명이 있었는데 뭐라고 설명하는지 모르겠고 닭갈비 맛도 특별히 맛있는 맛은 아니였던 것 같습니다 그리고 온라인에 있는 메뉴랑 현장 메뉴랑 1,000원 차이가 났었습니다 이렇게 리뷰를 강요하듯이 하는 곳은 처음이네요 (음료 받고 쓰는 리뷰 아닙니다 결제 후 받은 영수증입니다)",287,False,,,,"리뷰쓰면 캔 음료 준다길래 같이 온 친구가 닭갈비 나오기 전에 리뷰 썼더니 음식 사진도 올려달라해서 올렸는데요(음식 나오고 나서 영수증을 줬으면 몰라도) 리뷰 별점을 5점으로 올려달라고 하더라고요? 거기서 기분이 팍... 직원 중에 외국인 2명이 있었는데 뭐라고 설명하는지 모르겠고 닭갈비 맛도 특별히 맛있는 맛은 아니였던 것 같습니다 그리고 온라인에 있는 메뉴랑 현장 메뉴랑 1,000원 차이가 났었습니다 이렇게 리뷰를 강요하듯이 하는 곳은 처음이네요 (음료 받고 쓰는 리뷰 아닙니다 결제 후 받은 영수증입니다)",리뷰쓰면 캔 음료 준다길래 같이 온 친구가 닭갈비 나오기 전에 리뷰 썼더니 음식 사진도 올려달라해서 올렸는데요 음식 나오고 나서 영수증을 줬으면 몰라도 리뷰 별점을 5점으로 올려달라고 하더라고요 QUESTION 거기서 기분이 팍 직원 중에 외국인 2명이 있었는데 뭐라고 설명하는지 모르겠고 닭갈비 맛도 특별히 맛있는 맛은 아니였던 것 같습니다 그리고 온라인에 있는 메뉴랑 현장 메뉴랑 1 000원 차이가 났었습니다 이렇게 리뷰를 강요하듯이 하는 곳은 처음이네요 음료 받고 쓰는 리뷰 아닙니다 결제 후 받은 영수증입니다,0,0,0,0,0,1,1,287,원
naver,뼈탄집 성수역점,굿잡잡잡,14.0,2026.04.02,1번째 방문,영수증,주차장도 따로 있어서 편하고 가게 분위기랑 음악도 좋고 고기는 두께와 맛이 Mi 쳤어요! 가게 직원분들도 친정하고 너무 좋습니다👍💪,73,True,,,,주차장도 따로 있어서 편하고 가게 분위기랑 음악도 좋고 고기는 두께와 맛이 Mi 쳤어요! 가게 직원분들도 친정하고 너무 좋습니다👍💪,주차장도 따로 있어서 편하고 가게 분위기랑 음악도 좋고 고기는 두께와 맛이 Mi 쳤어요 EXCLAM 가게 직원분들도 친정하고 너무 좋습니다 EMO_POS,1,0,0,0,1,0,0,73,원
kakao,육산장 홍대본점,연우,1.0,2025-07-06,,,맛있어요 직원분도 친절하시고 분위기도 조아요,24,True,5.0,5.0,브론즈 레벨,맛있어요 직원분도 친절하시고 분위기도 조아요,맛있어요 직원분도 친절하시고 분위기도 조아요,0,0,0,0,0,0,0,24,원
