platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,review_original,review_sentiment,has_emo_pos,has_emo_neg,has_laugh,has_cry,has_exclamation,has_question,has_number,original_char_len,서비스_matched_keywords
kakao,능동미나리 성수점,Hailey,6.0,2025-11-10,,,"진짜 너무 맛있었어요!! 서울에서 먹은 음식 중 단연 최고였어요. 오후 1시가 넘었는데도 줄이 길었지만 금방 들어갈 수 있었어요. 안에 들어가 보니 이유를 알겠더라고요… 음식이 5분도 안 돼서 나와요! 외국인들에게는 독특한 맛일 수도 있지만, 현지인과 관광객 모두에게 인기 있는 이유가 확실히 있어요. 음식도 맛있고, 서비스도 정말 빠르고 훌륭했어요. 완전 추천합니다!",206,True,5.0,5.0,실버 레벨,"진짜 너무 맛있었어요!! 서울에서 먹은 음식 중 단연 최고였어요. 오후 1시가 넘었는데도 줄이 길었지만 금방 들어갈 수 있었어요. 안에 들어가 보니 이유를 알겠더라고요… 음식이 5분도 안 돼서 나와요! 외국인들에게는 독특한 맛일 수도 있지만, 현지인과 관광객 모두에게 인기 있는 이유가 확실히 있어요. 음식도 맛있고, 서비스도 정말 빠르고 훌륭했어요. 완전 추천합니다!",진짜 너무 맛있었어요 EXCLAM 서울에서 먹은 음식 중 단연 최고였어요 오후 1시가 넘었는데도 줄이 길었지만 금방 들어갈 수 있었어요 안에 들어가 보니 이유를 알겠더라고요 음식이 5분도 안 돼서 나와요 EXCLAM 외국인들에게는 독특한 맛일 수도 있지만 현지인과 관광객 모두에게 인기 있는 이유가 확실히 있어요 음식도 맛있고 서비스도 정말 빠르고 훌륭했어요 완전 추천합니다 EXCLAM,0,0,0,0,1,0,1,206,서비스
kakao,뼈탄집 성수역점,Dream Maker,1.0,2026-03-27,,,반찬종류 많고 친절하고 맛있습니다!!,20,True,5.0,5.0,브론즈 레벨,반찬종류 많고 친절하고 맛있습니다!!,반찬종류 많고 친절하고 맛있습니다 EXCLAM,0,0,0,0,1,0,0,20,친절
kakao,육지,김치세탁기,2.0,2025-11-18,,,삼겹살 너무 맛있었고 친절하십니다 데이트 하기 좋아여!!,31,False,5.0,4.5,브론즈 레벨,삼겹살 너무 맛있었고 친절하십니다 데이트 하기 좋아여!!,삼겹살 너무 맛있었고 친절하십니다 데이트 하기 좋아여 EXCLAM,0,0,0,0,1,0,0,31,친절
kakao,이태리국시 성수,이지원,1.0,2026-04-11,,,"데이트하기에 분위기도 너무 좋고, 맛있기도 한 완전 맛집이에요! 직원분들도 친절하시고, 덕분에 좋은 시간 보내고 가요!",66,True,5.0,5.0,브론즈 레벨,"데이트하기에 분위기도 너무 좋고, 맛있기도 한 완전 맛집이에요! 직원분들도 친절하시고, 덕분에 좋은 시간 보내고 가요!",데이트하기에 분위기도 너무 좋고 맛있기도 한 완전 맛집이에요 EXCLAM 직원분들도 친절하시고 덕분에 좋은 시간 보내고 가요 EXCLAM,0,0,0,0,1,0,0,66,"친절, 직원"
naver,황금콩밭,곰슐랭 33,597.0,2025.08.22,1번째 방문,영수증,"황금콩팥 일단 맛있습니다! 오랜만에 방문이라 그런지 시스템이 좀 바뀐거 같아요. 일단 일행 모두 와야 입장 가능하고 이분 거리 바로 앞이라 주문 먼저 한다고 해도 절대 안됩니다. 규칙이니 참고해주시면 좋을거 같아요- 두부가 사이즈가 두껍게 바뀐건지 지난번엔 길죽했던 느낌인데 체감상 다르게 느껴졌던거 같아요, 양이 좀 줄었나? 싶었는데 오랜만에 방문이라 이건 잘 모르겠어요. 남자 사장님분 친절한듯 불친절한듯 하시는데 상 치우시도 테이블 잘 닦아주셨으면 더 좋을거 같아요. 상치우고 냅킨으로 쓱쓱 닦으셔서 보기 조금 불편 했습니다. 물티슈로 다시 닦았는데 다행히 깨끗했어요. 밑반찬 간이 좀 쎄진 느낌이지만 본 메뉴 두부가 맛있어서 재방문 의사 있습니다.",366,True,,,,"황금콩팥 일단 맛있습니다! 오랜만에 방문이라 그런지 시스템이 좀 바뀐거 같아요. 일단 일행 모두 와야 입장 가능하고 이분 거리 바로 앞이라 주문 먼저 한다고 해도 절대 안됩니다. 규칙이니 참고해주시면 좋을거 같아요- 두부가 사이즈가 두껍게 바뀐건지 지난번엔 길죽했던 느낌인데 체감상 다르게 느껴졌던거 같아요, 양이 좀 줄었나? 싶었는데 오랜만에 방문이라 이건 잘 모르겠어요. 남자 사장님분 친절한듯 불친절한듯 하시는데 상 치우시도 테이블 잘 닦아주셨으면 더 좋을거 같아요. 상치우고 냅킨으로 쓱쓱 닦으셔서 보기 조금 불편 했습니다. 물티슈로 다시 닦았는데 다행히 깨끗했어요. 밑반찬 간이 좀 쎄진 느낌이지만 본 메뉴 두부가 맛있어서 재방문 의사 있습니다.",황금콩팥 일단 맛있습니다 EXCLAM 오랜만에 방문이라 그런지 시스템이 좀 바뀐거 같아요 일단 일행 모두 와야 입장 가능하고 이분 거리 바로 앞이라 주문 먼저 한다고 해도 절대 안됩니다 규칙이니 참고해주시면 좋을거 같아요 두부가 사이즈가 두껍게 바뀐건지 지난번엔 길죽했던 느낌인데 체감상 다르게 느껴졌던거 같아요 양이 좀 줄었나 QUESTION 싶었는데 오랜만에 방문이라 이건 잘 모르겠어요 남자 사장님분 친절한듯 불친절한듯 하시는데 상 치우시도 테이블 잘 닦아주셨으면 더 좋을거 같아요 상치우고 냅킨으로 쓱쓱 닦으셔서 보기 조금 불편 했습니다 물티슈로 다시 닦았는데 다행히 깨끗했어요 밑반찬 간이 좀 쎄진 느낌이지만 본 메뉴 두부가 맛있어서 재방문 의사 있습니다,0,0,0,0,1,1,0,366,"친절, 불친절, 사장님, 주문"
kakao,소문난성수감자탕,준수,7.0,2026-01-06,,,직원분들 너무 친절하시고 유명한만큼 너무 맛있었어요,28,False,5.0,2.7,브론즈 레벨,직원분들 너무 친절하시고 유명한만큼 너무 맛있었어요,직원분들 너무 친절하시고 유명한만큼 너무 맛있었어요,0,0,0,0,0,0,0,28,"친절, 직원"
kakao,육산장 홍대본점,샭키,7.0,2025-05-16,,,분위기 좋고 고기도 맛있어요! 대기없이 괜찮게 먹었어요☺️ 오미자술은 단 편!이지만 얼음 녹으면서 괜찮아짐 전반적으로 좋습니당,70,True,5.0,4.4,브론즈 레벨,분위기 좋고 고기도 맛있어요! 대기없이 괜찮게 먹었어요☺️ 오미자술은 단 편!이지만 얼음 녹으면서 괜찮아짐 전반적으로 좋습니당,분위기 좋고 고기도 맛있어요 EXCLAM 대기없이 괜찮게 먹었어요 오미자술은 단 편 EXCLAM 이지만 얼음 녹으면서 괜찮아짐 전반적으로 좋습니당,0,0,0,0,1,0,0,70,대기
kakao,굴다리식당,개똥이말똥이,89.0,2025-03-29,,,"2020년 어느때 저한테는 최고의 김치찌게 집중에 하나입니다 혼자 가서 먹어도 눈치 보일일도 없고 십년전이나 똑같은 맛과 서비스, 그리고 단골들은 아시겠지만 여기 히필 가능합니다 ㅋㅋㅋ 매우 추천합니다. 근데 평가보니 호불호가 갈리는군요... 2025년 재방문 하도 악플이 많길래 정말 많이 변한건지 걱정했는데.. 그냥 여전합니다 스타일 똑같습니다. 옛날 맛 그대로고 좋아하시는 분은 드시고 싫어하시는 분은 안가면 될 듯요. 저는 또 언제 올지 모르겠지만 리필도 한번해서 정말 잘 먹고 갑니다 더럽다고 하는데 회전율이 높아서 그러는지 몰라도 깔끔합니다. 친절은 기대하지 마세요. 그런거 모르는 곳이에요. 사장 할머니가 20년전에도 같으셨는데 아마 돌아가시면 그땐 변할까 싶네요 좋은 싫든 한결 같다는 측면에서 매우 감사한 마음입니다. 제 첫 직장에서 맛있게 먹었던 김치찌게의 추억이 깃든 곳.",443,False,5.0,3.5,골드 레벨,"2020년 어느때 저한테는 최고의 김치찌게 집중에 하나입니다 혼자 가서 먹어도 눈치 보일일도 없고 십년전이나 똑같은 맛과 서비스, 그리고 단골들은 아시겠지만 여기 히필 가능합니다 ㅋㅋㅋ 매우 추천합니다. 근데 평가보니 호불호가 갈리는군요... 2025년 재방문 하도 악플이 많길래 정말 많이 변한건지 걱정했는데.. 그냥 여전합니다 스타일 똑같습니다. 옛날 맛 그대로고 좋아하시는 분은 드시고 싫어하시는 분은 안가면 될 듯요. 저는 또 언제 올지 모르겠지만 리필도 한번해서 정말 잘 먹고 갑니다 더럽다고 하는데 회전율이 높아서 그러는지 몰라도 깔끔합니다. 친절은 기대하지 마세요. 그런거 모르는 곳이에요. 사장 할머니가 20년전에도 같으셨는데 아마 돌아가시면 그땐 변할까 싶네요 좋은 싫든 한결 같다는 측면에서 매우 감사한 마음입니다. 제 첫 직장에서 맛있게 먹었던 김치찌게의 추억이 깃든 곳.",2020년 어느때 저한테는 최고의 김치찌게 집중에 하나입니다 혼자 가서 먹어도 눈치 보일일도 없고 십년전이나 똑같은 맛과 서비스 그리고 단골들은 아시겠지만 여기 히필 가능합니다 매우 추천합니다 근데 평가보니 호불호가 갈리는군요 2025년 재방문 하도 악플이 많길래 정말 많이 변한건지 걱정했는데 그냥 여전합니다 스타일 똑같습니다 옛날 맛 그대로고 좋아하시는 분은 드시고 싫어하시는 분은 안가면 될 듯요 저는 또 언제 올지 모르겠지만 리필도 한번해서 정말 잘 먹고 갑니다 더럽다고 하는데 회전율이 높아서 그러는지 몰라도 깔끔합니다 친절은 기대하지 마세요 그런거 모르는 곳이에요 사장 할머니가 20년전에도 같으셨는데 아마 돌아가시면 그땐 변할까 싶네요 좋은 싫든 한결 같다는 측면에서 매우 감사한 마음입니다 제 첫 직장에서 맛있게 먹었던 김치찌게의 추억이 깃든 곳,0,0,0,0,0,0,1,443,"서비스, 친절"
naver,훼미리손칼국수보쌈,묭묭v,4679.0,2025.08.16,3번째 방문,영수증,"보쌈정식 양도 많고 맛있어요. 반찬은 단촐하지만 보쌈 칼국수에 다 어울리는 것들이에요. 특히 김치를 두 종류 내어주시는데 보쌈김치도 맛있고 따로나오는 저 김치는 칼국수랑 같이 먹으면 그냥 쥬금,, 웨이팅 있지만 나름 빨리 빠지는 것 같아요",133,True,,,,"보쌈정식 양도 많고 맛있어요. 반찬은 단촐하지만 보쌈 칼국수에 다 어울리는 것들이에요. 특히 김치를 두 종류 내어주시는데 보쌈김치도 맛있고 따로나오는 저 김치는 칼국수랑 같이 먹으면 그냥 쥬금,, 웨이팅 있지만 나름 빨리 빠지는 것 같아요",보쌈정식 양도 많고 맛있어요 반찬은 단촐하지만 보쌈 칼국수에 다 어울리는 것들이에요 특히 김치를 두 종류 내어주시는데 보쌈김치도 맛있고 따로나오는 저 김치는 칼국수랑 같이 먹으면 그냥 쥬금 웨이팅 있지만 나름 빨리 빠지는 것 같아요,0,0,0,0,0,0,0,133,"웨이팅, 빨리"
naver,이태리국시 성수,qlove3,126.0,2026.03.25,1번째 방문,영수증,예약하고 방문해서 대기 없이 바로 입장했어요. 매장 넓고 분위기도 좋아서 편하게 식사하기 좋았습니다. 특히 반계 마늘돌솥리조트가 진짜 맛있었어요! 마늘 향이 은은하고 닭도 촉촉해서 계속 손이 가는 맛이에요.,115,True,,,,예약하고 방문해서 대기 없이 바로 입장했어요. 매장 넓고 분위기도 좋아서 편하게 식사하기 좋았습니다. 특히 반계 마늘돌솥리조트가 진짜 맛있었어요! 마늘 향이 은은하고 닭도 촉촉해서 계속 손이 가는 맛이에요.,예약하고 방문해서 대기 없이 바로 입장했어요 매장 넓고 분위기도 좋아서 편하게 식사하기 좋았습니다 특히 반계 마늘돌솥리조트가 진짜 맛있었어요 EXCLAM 마늘 향이 은은하고 닭도 촉촉해서 계속 손이 가는 맛이에요,0,0,0,0,1,0,0,115,"대기, 예약"
