term,count
EMO_POS EMO_POS EMO_POS,29
분위기도 너무 좋고,20
분위기도 좋고 음식도,11
분위기가 너무 좋아요,10
분위기 너무 좋고,9
직원분들도 친절해서 기분,6
너무 좋고 음식도,6
친절해서 기분 좋게,6
기분 좋게 식사할,6
분위기도 너무 좋아요,6
맛있게 먹고 갑니다,6
다음에 방문하고 싶어요,6
친절하셔서 기분 좋게,5
재방문 의사 있음,5
너무 좋고 직원분들도,4
좋고 음식도 맛있어요,4
가게 분위기도 너무,4
고기 퀄리티도 좋고,4
웨이팅 없이 바로,4
부드럽고 잡내 없이,4
맛있게 먹고 왔어요,3
인테리어도 예쁘고 직원분들도,3
다시 방문하고 싶은,3
분위기도 좋고 맛있어요,3
너무 맛있어요 EMO_POS,3
좋아요 EMO_POS EMO_POS,3
맛있고 양도 많고,3
좋게 식사할 있었습니다,3
좋았어요 매장도 깔끔하고,3
맛있어요 EMO_POS EMO_POS,3
분위기도 좋고 고기도,3
왔는데 분위기도 좋고,3
너무 좋고 고기도,3
맛있어요 분위기도 좋아요,3
분위기도 너무 좋구,3
예쁘고 직원분들도 친절하셔서,3
고기도 직접 구워주셔서,3
너무 좋고 안주도,3
매장 분위기도 깔끔하고,3
진짜 맛있어요 분위기도,3
너무 맛있고 분위기도,3
없이 바로 들어갈,3
음식이 깔끔하고 맛있어요,3
먹을 맛은 아님,3
너무 맛있고 양도,3
맛있어요 분위기도 좋고,3
맛있고 분위기도 좋아요,3
편안하게 식사할 있었습니다,3
번쯤 가볼 만한,3
고기 질도 좋고,3
맛있게 매장 분위기도,3
분위기도 좋고 맛도,3
그런지 웨이팅 없이,3
먹을 있어서 좋아요,3
고기 질도 너무,3
너무 맛있네요 EMO_POS,2
김치랑 같이 먹으니,2
같이 먹으니 맛있어요,2
돼지국밥이 아닌 돼지곰탕으로,2
않아서 끝까지 맛있게,2
데이트나 친구랑 가기,2
웨이팅하고 먹을 맛은,2
진짜 맛있게 먹고,2
잡내 없이 깔끔해서,2
계속 손이 가더라고요,2
맛있고 직원분들 너무,2
직원분들 너무 친절해서,2
분위기도 좋아서 친구들이랑,2
너무 자극적이지 않아서,2
먹고 싶을 다시,2
방문하고 싶은 곳이에요,2
매장이 쾌적하고 넓어서,2
너무 좋아요 분위기도,2
고기도 너무 맛있어요,2
진짜 맛있어요 매장도,2
맛있었어요 분위기도 좋아서,2
성수역 2번 출구,2
2번 출구 도보,2
출구 도보 3분,2
도보 3분 거리로,2
3분 거리로 접근성,2
