term,count
EMO_POS EMO_POS EMO_POS,37
직원분들도 너무 친절하시고,8
친절하셔서 기분 좋게,8
너무 맛있어요 직원분들도,6
너무 맛있고 직원분들도,6
기분 좋게 식사할,6
맛있어요 EMO_POS EMO_POS,5
맛있고 직원분들도 너무,5
친절해서 기분 좋게,5
음식 너무 맛있고,5
맛있어요 직원분들도 친절하시고,4
맛있고 양도 많고,4
너무 맛있었어요 EMO_POS,4
맛있게 먹고 갑니다,4
직원분들도 너무 친절하고,4
분위기도 너무 좋고,4
음식이 맛있고 직원분들이,4
맛있고 직원분들이 친절합니다,4
다음에 방문하고 싶은,4
직원분들도 친절하셔서 기분,4
직원분들도 너무 친절하셔서,4
대기 없이 바로,3
고기 질도 너무,3
직원분들이 너무 친절하세요,3
먹고 갑니다 EMO_POS,3
너무 좋고 직원분들도,3
대한민국 방방곡곡 도시거리와,3
방방곡곡 도시거리와 둘레길을,3
도시거리와 둘레길을 걸어다니면서,3
둘레길을 걸어다니면서 음식점,3
걸어다니면서 음식점 카페,3
음식점 카페 빵집,3
MY플레이스 리뷰어순위 TOP,3
리뷰어순위 TOP 30등,3
직원분들도 친절하게 응대해주셔서,3
친절하게 응대해주셔서 기분,3
응대해주셔서 기분 좋게,3
기분 좋게 식사했습니다,3
좋게 식사할 있었습니다,3
고기 먹고 싶을,3
매장 분위기도 좋고,3
분위기도 좋고 직원분들도,3
맛있어요 직원분들도 너무,3
재방문 하고 싶어요,3
직원분들도 친절하셔서 다음에,3
직원분들도 너무 친절하십니다,3
너무 친절하시고 고기도,3
직원분들도 친절해서 기분,3
기분 좋게 먹고,3
기대를 많이 하고,3
너무 맛있고 직원분들,3
맛있고 직원분들도 친절하셔서,2
맛이 없진 않다,2
없진 않다 기대가,2
않다 기대가 컸던,2
기대가 컸던 탓인가,2
컸던 탓인가 아님,2
탓인가 아님 설렁탕이,2
아님 설렁탕이 가지고,2
설렁탕이 가지고 한계,2
가지고 한계 때문일까,2
한계 때문일까 깍두기는,2
때문일까 깍두기는 달고,2
깍두기는 달고 배추김치는,2
달고 배추김치는 익었고,2
배추김치는 익었고 가격은,2
익었고 가격은 착하지,2
가격은 착하지 않고,2
착하지 않고 주차공간은,2
않고 주차공간은 부족하고,2
주차공간은 부족하고 다음에,2
부족하고 다음에 기회가,2
다음에 기회가 된다면,2
기회가 된다면 다시,2
된다면 다시 방문하겠지만,2
다시 방문하겠지만 한동안은,2
방문하겠지만 한동안은 일이,2
한동안은 일이 없을듯,2
일이 없을듯 하다,2
양도 많고 너무,2
많고 너무 맛있어요,2
좋게 웨이팅 없이,2
먹을 있었어요 EMO_POS,2
너무 맛있고 양도,2
갑니다 EMO_POS EMO_POS,2
친절하시고 고기도 맛있게,2
맛있어요 가격도 착하고,2
분위기 너무 좋고,2
고기 너무 맛있고,2
너무 맛있고 직원분들이,2
