term,count
너무,437
EMO_POS,300
맛있어요,151
직원분들도,134
정말,131
진짜,127
고기,120
맛있고,104
맛있게,97
먹고,93
좋아요,86
좋고,83
많이,79
웨이팅,79
맛이,78
친절하시고,76
가성비,71
먹을,69
고기도,67
직원분들이,62
바로,62
다른,57
있어서,55
좋은,54
맛은,53
다음에,51
다시,51
양도,50
많고,49
없이,48
같이,47
좋았어요,47
고기가,46
하고,46
특히,45
맛있는,44
맛집,44
엄청,44
직원분들,43
조금,43
맛도,42
분위기도,41
친절하셔서,40
음식,38
맛있었어요,38
친절하고,38
가격도,37
계속,37
기분,36
부드럽고,36
깔끔하고,36
처음,36
양이,35
먹었는데,35
않고,34
가격이,34
좋게,34
좋아서,33
오랜만에,33
직원,33
재방문,33
아주,33
000원,32
분위기,32
맛있습니다,32
먹는,32
맛있어서,31
나오는,31
고기는,30
일단,30
간이,30
완전,29
여기,29
가격에,29
음식이,29
먹으면,28
가격,28
원래,28
같은,28
왔는데,28
많은,27
직접,27
저는,27
정도,27
가격은,27
먹기,27
함께,27
직원분이,27
없고,27
매장,26
이런,26
너무너무,26
항상,25
갔는데,25
보쌈,25
편하게,25
국물이,25
자주,25
좋았습니다,25
구워주셔서,25
리뷰,24
갑니다,24
친절해서,23
직원분도,23
해서,23
먹으러,23
감자탕,23
성수,23
칼국수,23
전체적으로,23
친절하세요,23
모두,23
다들,23
나오고,22
이렇게,22
하는,22
좋습니다,22
성수에서,22
입니다,22
거의,22
그래도,22
가게,21
솔직히,21
매장도,21
대기,21
식사,21
손님,21
나와서,20
친절하게,20
의사,20
가면,20
매우,20
평일,20
느낌,20
홍대,20
방문했어요,20
음식도,20
추천,20
아닌,19
있었습니다,19
테이블,19
김치,19
하나,19
칼국수는,19
오늘,19
직원들,19
있는데,19
메뉴,19
요즘,19
잡내,19
기분이,18
외국인,18
있음,18
있었어요,18
서비스,18
살짝,18
먹은,18
친절해요,18
있어,18
손님이,18
무엇보다,18
방문,18
가성비도,18
와서,18
분위기가,18
아니라,18
맛을,18
그런지,18
매장이,18
김치가,18
고기를,18
메뉴도,18
반찬도,17
같습니다,17
식당,17
친구들이랑,17
양은,17
보쌈은,17
점심,17
제가,17
것도,17
곱창,17
음식은,17
주문,17
웨이팅이,17
많아서,16
그런,16
국물에,16
반찬,16
있지만,16
아님,16
무조건,16
기본,16
비해,16
시원하고,16
보고,16
있고,16
정도로,16
맛있음,16
제일,16
맛있었습니다,16
방문했는데,16
없음,16
그렇게,15
따로,15
근처,15
제대로,15
최고,15
국물은,15
삼겹살,15
시간,15
가서,15
분들도,15
식사할,15
보쌈정식,15
덕분에,15
좋아하는,15
여기는,15
불친절,15
생각이,15
곰탕,15
되게,14
가성비가,14
추천합니다,14
하면,14
나서,14
왔어요,14
친구랑,14
않은,14
넓고,14
미나리,14
맑은,14
시원한,14
입장,14
홍대에서,14
했는데,14
약간,14
고기와,14
나온,14
국물,14
질이,13
오히려,13
자리,13
중에,13
이미,13
돼지갈비,13
수도,13
감사합니다,13
직원이,13
주문했는데,13
좋네요,13
깔끔한,13
사람,13
직원들도,13
사장님,13
강추,13
친절하십니다,13
전반적으로,13
주말,13
앞에,13
닭갈비,12
역시,12
금방,12
생각보다,12
가격대비,12
15,12
저녁,12
토요일,12
친절합니다,12
다음에도,12
여긴,12
직원들이,12
사람이,12
좋음,12
먼저,12
맛있었고,12
좋다,12
올게요,12
절대,12
맛있네요,12
오래,12
때문에,12
때마다,12
방문하고,12
없습니다,12
그래서,12
굳이,12
저녁에,12
전에,11
편하고,11
친절한,11
1인분,11
진심,11
있을,11
재방문의사,11
먹는데,11
사실,11
있다,11
싶은,11
진하고,11
