source_col,ctx,count
custom_matched_terms,1.0,7361
custom_matched_terms,1.5,3195
custom_matched_terms,-1.0,164
custom_matched_terms,0.7,154
custom_matched_terms,1.3,118
custom_matched_terms,0.5,107
custom_matched_terms,1.95,46
custom_matched_terms,-1.5,40
custom_matched_terms,1.05,22
custom_matched_terms,0.75,17
custom_matched_terms,0.65,16
custom_matched_terms,-1.3,6
custom_matched_terms,-0.7,6
custom_matched_terms,-0.5,6
custom_matched_terms,0.91,5
custom_matched_terms,-1.95,2
custom_matched_terms,0.35,2
custom_matched_terms,0.98,2
custom_matched_terms,-0.75,1
custom_matched_terms,0.52,1
knu_matched_terms,1.0,9062
knu_matched_terms,1.5,1817
knu_matched_terms,-1.0,620
knu_matched_terms,0.5,306
knu_matched_terms,0.7,292
knu_matched_terms,1.3,267
knu_matched_terms,-1.5,107
knu_matched_terms,1.05,52
knu_matched_terms,1.95,47
knu_matched_terms,-1.3,35
knu_matched_terms,-0.5,28
knu_matched_terms,0.65,28
knu_matched_terms,0.75,26
knu_matched_terms,-0.7,24
knu_matched_terms,0.35,18
knu_matched_terms,0.91,10
knu_matched_terms,-1.05,5
knu_matched_terms,1.36,4
knu_matched_terms,-0.65,3
knu_matched_terms,0.98,3
knu_matched_terms,-1.95,2
knu_matched_terms,-0.98,1
knu_matched_terms,-0.75,1
knu_matched_terms,-0.52,1
knu_matched_terms,-0.35,1
knu_matched_terms,0.52,1
