store_name,platform,review_count,avg_sentiment_score,avg_sentiment_star,avg_original_rating
각시보쌈,kakao,60,1.22,3.42,3.73
각시보쌈,naver,188,2.19,3.72,
굴다리식당,kakao,44,-0.11,2.94,2.86
굴다리식당,naver,85,0.72,3.29,
금금 성수점,kakao,40,0.4,3.12,3.62
금금 성수점,naver,200,3.5,4.28,
능동미나리 성수지점,kakao,158,1.72,3.62,4.15
능동미나리 성수지점,naver,198,2.96,3.94,
락희옥 마포본점,kakao,39,1.95,3.65,3.82
락희옥 마포본점,naver,195,3.88,4.31,
마포양지설렁탕,kakao,46,0.3,3.12,3.28
마포양지설렁탕,naver,104,1.63,3.57,
보끔당 성수점,kakao,26,2.5,3.92,4.23
보끔당 성수점,naver,200,3.08,4.09,
뼈탄집 성수역점,kakao,193,3.69,4.19,4.94
뼈탄집 성수역점,naver,200,4.71,4.48,
성수족발,kakao,42,0.36,3.14,3.1
성수족발,naver,150,1.29,3.43,
소문난성수감자탕,kakao,248,-0.53,2.82,2.49
소문난성수감자탕,naver,199,1.29,3.46,
옥동식,kakao,130,1.15,3.39,3.5
옥동식,naver,183,2.33,3.78,
원조 조박집 본관,kakao,37,1.19,3.46,4.08
원조 조박집 본관,naver,104,1.98,3.71,
육산장 홍대본점,kakao,200,2.52,3.94,4.74
육산장 홍대본점,naver,200,3.54,4.28,
을밀대 평양냉면,kakao,199,0.77,3.29,4.09
을밀대 평양냉면,naver,196,1.9,3.67,
이태리국시 성수,kakao,200,3.04,4.13,4.86
이태리국시 성수,naver,200,4.76,4.51,
일등식당,kakao,56,1.55,3.54,3.93
일등식당,naver,103,2.49,3.86,
장인닭갈비 홍대점,kakao,162,2.35,3.82,4.15
장인닭갈비 홍대점,naver,194,2.23,3.83,
조선시대,kakao,200,2.84,4.07,4.91
조선시대,naver,200,3.49,4.26,
쭌곱창,kakao,168,2.58,3.96,4.68
쭌곱창,naver,200,3.53,4.26,
태양곱창 성수점,kakao,78,0.59,3.24,2.83
태양곱창 성수점,naver,200,2.37,3.86,
할머니의 레시피,kakao,45,0.18,3.06,3.04
할머니의 레시피,naver,87,2.59,3.84,
홍대 육지,kakao,200,2.48,3.89,4.4
홍대 육지,naver,200,4.56,4.49,
황금콩밭,kakao,60,1.33,3.48,3.78
황금콩밭,naver,105,2.44,3.84,
훼미리손칼국수보쌈,kakao,75,0.89,3.35,3.36
훼미리손칼국수보쌈,naver,191,1.92,3.68,
