platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,trust_score,pred_label,trust_level,trust_weight,rating_x_trust_weight,trust_reasons,generic_count,reason_count,menu_count,category_count,number_detail_count,generic_negative_count,detailed_negative_count,event_word_count,intensifier_count,quality_detail_count,sensory_detail_count,waiting_popularity_count,experience_context_count,temporal_context_count,mixed_opinion_count,sentence_count,has_generic_praise,strong_generic_praise,has_reason,strong_reason,has_menu,has_number_detail,has_generic_negative,has_detailed_negative,has_quality_detail,strong_quality_detail,has_sensory_detail,strong_sensory_detail,has_waiting_popularity,has_experience_context,has_temporal_context,has_mixed_opinion,multi_sentence_review,short_review,ultra_short_review,short_generic_review,generic_without_detail,low_information_review,specific_review,popularity_only_review,enthusiastic_but_detailed,positive_narrative,mixed_opinion_review,temporal_experience_review,menu_price_listing_only,short_but_specific_food_review,detailed_negative_narrative,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100,clean_text,tokens,tokens_pos,token_count,food_score,food_matched_words,food_label,price_score,price_matched_words,price_label,service_score,service_matched_words,service_label,atmosphere_score,atmosphere_matched_words,atmosphere_label,general_score,general_matched_words,general_label,category_total_score,category_total_label,sentiment_star,rating,diff_abs
kakao,각시보쌈,Hul,67,2026-05-02,,,"주변에 살고 있기에 오가며 보면, 대기인원이 제법있기에 맛이 궁금했다. 마침 어버이 날이라 가족과 방문했다. 주문메뉴는 쟁반국수, 홍어, 보쌈 세가지 주문함. 이제부터 맛점수 : 쟁반국수:★(엄청 달고 겨자가 너무 많아 먹기 힘듬) 보쌈:★★★ (사진발, 보쌈밑에 상추로 기초공사) 홍어 : ★★★★★(정말 제대로 삭힌 홍어:갑) 홍어를 즐길 줄 아는 친구랑은 방문의사 있어도 쟁반, 보쌈으로는 재방문의사 없음.",230,0,2,2.9,실버 레벨,14.499999999999998,1,high,1,2,experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | account_review_count_over_50:+0.7,0,2,7,3,0,0,2,0,2,0,0,2,7,1,0,4,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,주변에 살고 있기에 오가며 보면 대기인원이 제법있기에 맛이 궁금했다 마침 어버이 날이라 가족과 방문했다 주문메뉴는 쟁반국수 홍어 보쌈 세가지 주문함 이제부터 맛점수 쟁반국수 엄청 달고 겨자가 너무 많아 먹기 힘듬 보쌈 사진발 보쌈밑에 상추로 기초공사 홍어 정말 제대로 삭힌 홍어 갑 홍어를 즐길 줄 아는 친구랑은 방문의사 있어도 쟁반 보쌈으로는 재방문의사 없음,주변 오가다 보다 인원 제법 궁금하다 마침 어버이 가족 방문 메뉴 쟁반 국수 홍어 보쌈 가지 주문 이제 점수 쟁반 국수 엄청 겨자 너무 많다 먹기 힘들다 보쌈 사진 보쌈 상추 기초 공사 홍어 정말 제대로 삭히다 홍어 홍어 즐기다 알다 친구 방문 의사 쟁반 보쌈 방문 의사,주변/Noun 오가다/Verb 보다/Verb 인원/Noun 제법/Noun 궁금하다/Adjective 마침/Noun 어버이/Noun 가족/Noun 방문/Noun 메뉴/Noun 쟁반/Noun 국수/Noun 홍어/Noun 보쌈/Noun 가지/Noun 주문/Noun 이제/Noun 점수/Noun 쟁반/Noun 국수/Noun 엄청/Adverb 겨자/Noun 너무/Adverb 많다/Adjective 먹기/Noun 힘들다/Adjective 보쌈/Noun 사진/Noun 보쌈/Noun 상추/Noun 기초/Noun 공사/Noun 홍어/Noun 정말/Noun 제대로/Noun 삭히다/Verb 홍어/Noun 홍어/Noun 즐기다/Verb 알다/Verb 친구/Noun 방문/Noun 의사/Noun 쟁반/Noun 보쌈/Noun 방문/Noun 의사/Noun,48,-1,먹기 힘들다:-1[token],negative,0,,neutral,0,,neutral,0,,neutral,0,,neutral,-1,negative,1.8,2,0.2
kakao,각시보쌈,Emily,43,2026-04-17,,,가끔 손님이 많아서 대기를 해야할 때가 있어요! 그 만큼 가격과 맛 퀄리티 모두 백점 만점에 95점 정도 주고 싶어요~! 보쌈이 땡기는 날~~ 붐비지 않는 시간 때에 가세요! 후회없는 선택이 되실 듯!!,113,1,5,3.2,실버 레벨,12.299999999999995,1,high,1,5,experience_context:+1.0 | has_menu:+0.3 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | has_photo_with_detail:+0.2,0,2,1,1,1,0,2,0,0,0,0,1,1,0,1,5,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,가끔 손님이 많아서 대기를 해야할 때가 있어요 그 만큼 가격과 맛 퀄리티 모두 백점 만점에 95점 정도 주고 싶어요 보쌈이 땡기는 날 붐비지 않는 시간 때에 가세요 후회없는 선택이 되실 듯,가끔 손님 많다 대기 만큼 가격 퀄리티 모두 만점 정도 주다 싶다 보쌈 땡기다 붐비다 않다 시간 가세 후회 선택,가끔/Noun 손님/Noun 많다/Adjective 대기/Noun 만큼/Noun 가격/Noun 퀄리티/Noun 모두/Noun 만점/Noun 정도/Noun 주다/Verb 싶다/Verb 보쌈/Noun 땡기다/Verb 붐비다/Verb 않다/Verb 시간/Noun 가세/Noun 후회/Noun 선택/Noun,20,0,,neutral,0,,neutral,0,,neutral,0,,neutral,0,,neutral,0,neutral,2.2,5,2.8
kakao,각시보쌈,5점이면가세요1점이면거르세요,267,2026-04-15,,,1인식사 거절당함 소보원 신고예정 - 소보원 접수 후 진행 중 - 2026.04.15. 시정조치 완료 그래도 가면 또 거절하겠지,71,0,1,3.7,골드 레벨,5.1,0,high,1,1,experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | multi_sentence_with_length:+0.8 | account_review_count_over_100:+1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1인식사 거절당함 소보원 신고예정 소보원 접수 후 진행 중 2026 04 15 시정조치 완료 그래도 가면 또 거절하겠지,식사 거절 당하다 소보원 신고 예정 소보원 접수 진행 시정 조치 완료 그래도 가면 거절,식사/Noun 거절/Noun 당하다/Adjective 소보원/Noun 신고/Noun 예정/Noun 소보원/Noun 접수/Noun 진행/Noun 시정/Noun 조치/Noun 완료/Noun 그래도/Adverb 가면/Noun 거절/Noun,15,0,,neutral,0,,neutral,-1,거절:-1[token],negative,0,,neutral,-1,신고:-1[token],negative,-2,negative,1.4,1,0.4
kakao,각시보쌈,i_2._:),7,2026-04-11,,,완전 맛있습니다! :) 특히 수육이 진짜 미쳤더라고요. 근데 주말에 사람이 너무 많음ㅠㅠ 어떤 시간이건 사람이 많다는 단점 빼고 맛만 보면 여기가 최고!👍,86,1,5,4.4,실버 레벨,13.9,1,high,1,5,account_review_count_under_10:-0.2 | experience_context:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5 | has_photo_with_detail:+0.2,2,0,1,2,0,0,1,0,4,1,0,0,2,0,2,4,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,완전 맛있습니다 특히 수육이 진짜 미쳤더라고요 근데 주말에 사람이 너무 많음ㅠㅠ 어떤 시간이건 사람이 많다는 단점 빼고 맛만 보면 여기가 최고,완전 맛있다 특히 수육 진짜 미치다 근데 주말 사람 너무 많다 어떻다 시간 사람 많다 단점 빼다 보다 여기 최고,완전/Noun 맛있다/Adjective 특히/Adverb 수육/Noun 진짜/Noun 미치다/Adjective 근데/Adverb 주말/Noun 사람/Noun 너무/Adverb 많다/Adjective 어떻다/Adjective 시간/Noun 사람/Noun 많다/Adjective 단점/Noun 빼다/Verb 보다/Verb 여기/Noun 최고/Noun,20,2,완전 맛있다:2[token],positive,0,,neutral,0,,neutral,0,,neutral,1,미치다:1[token] 단점:-1[token] 최고:1[token],positive,3,positive,3.4,5,1.6
kakao,각시보쌈,슬기로운생활,390,2026-03-15,,,구성이 좋고 가성비도 좋아요. 웨이팅 생각 보다 빨리 줄어서 기다려볼만함,40,0,5,4.5,골드 레벨,6.6000000000000005,1,high,1,5,popularity_only_without_detail:-1 | mixed_opinion_review:+1.5 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_not_rich:+0 | account_review_count_over_100:+1.0,1,1,0,1,0,0,1,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,구성이 좋고 가성비도 좋아요 웨이팅 생각 보다 빨리 줄어서 기다려볼만함,구성 좋다 가성 비도 좋다 웨이 생각 보다 빨리 줄다 기다리다,구성/Noun 좋다/Adjective 가성/Noun 비도/Noun 좋다/Adjective 웨이/Noun 생각/Noun 보다/Verb 빨리/Adverb 줄다/Verb 기다리다/Verb,11,0,,neutral,1,가성 비도 좋다:1[token],positive,0,,neutral,0,,neutral,1,좋다:1[token],positive,2,positive,3,5,2
kakao,각시보쌈,금나비,1736,2026-03-10,,,"적당한 식감의 맛과 퀄리티를 모두 갖춘 가브리살 보쌈정식은 웨이팅도 기꺼이 감내하는 최고의 가성비를 뽐낸다. □ 보쌈정식 인당 10,500원 ■ 주차불가",85,1,4,3.6,퍼플 레벨,18.7,1,high,1,4,experience_context:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | has_sensory_detail:+0.6 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,1,2,2,2,1,0,1,0,0,1,1,1,1,0,0,2,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,적당한 식감의 맛과 퀄리티를 모두 갖춘 가브리살 보쌈정식은 웨이팅도 기꺼이 감내하는 최고의 가성비를 뽐낸다 보쌈정식 인당 10 500원 주차불가,적당하다 식감 퀄리티 모두 갖추다 가다 브리 보쌈 정식 웨이팅 기꺼이 가다 최고 가성 뽐내다 보쌈 정식 이다 주차 불가,적당하다/Adjective 식감/Noun 퀄리티/Noun 모두/Noun 갖추다/Verb 가다/Verb 브리/Noun 보쌈/Noun 정식/Noun 웨이팅/Noun 기꺼이/Adverb 가다/Verb 최고/Noun 가성/Noun 뽐내다/Verb 보쌈/Noun 정식/Noun 이다/Verb 주차/Noun 불가/Noun,20,1,적당하다:1[token],positive,0,,neutral,0,,neutral,0,,neutral,2,최고:1[token] 가성:1[token] 뽐내다:1[token] 불가:-1[token],positive,3,positive,3.4,4,0.6
kakao,각시보쌈,ㅇㅇㅇ,81,2026-02-26,,,정식 양 많고 싸고 맛있어요 웨이팅 빨리 빠져서 기다릴만 합니다,35,0,5,4.9,실버 레벨,3.6000000000000005,0,high,1,5,popularity_only_without_detail:-1 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_not_rich:+0 | account_review_count_over_50:+0.7,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,정식 양 많고 싸고 맛있어요 웨이팅 빨리 빠져서 기다릴만 합니다,정식 많다 싸다 맛있다 웨이 빨리 빠지다 기다리다,정식/Noun 많다/Adjective 싸다/Verb 맛있다/Adjective 웨이/Noun 빨리/Adverb 빠지다/Verb 기다리다/Verb,8,1,맛있다:1[token],positive,1,싸다:1[token],positive,0,,neutral,0,,neutral,0,,neutral,2,positive,3,5,2
kakao,각시보쌈,코이카,17,2026-02-22,,,고기 맛있긴 한데 먼가 보쌈으로서 싸먹엇을때 느겨지는 감칠맛? 이 부족한 느낌;; 나만그럴수도..,54,0,3,4.6,실버 레벨,6.5,1,high,1,3,has_menu:+0.3 | has_quality_detail:+0.6 | has_sensory_detail:+0.6 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | has_reason_with_length:+0.8 | category_count:+0.7 | enthusiastic_but_not_rich:+0 | short_but_specific_food_review:+0.5,1,1,2,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,고기 맛있긴 한데 먼가 보쌈으로서 싸먹엇을때 느겨지는 감칠맛 이 부족한 느낌 나만그럴수도,고기 맛있다 무엇 보쌈 싸먹엇을때 느겨 감칠맛 부족하다 느낌 그렇다,고기/Noun 맛있다/Adjective 무엇/Noun 보쌈/Noun 싸먹엇을때/Noun 느겨/Noun 감칠맛/Noun 부족하다/Adjective 느낌/Noun 그렇다/Adjective,10,2,고기 맛있다:1[token] 감칠맛:1[token],positive,0,,neutral,0,,neutral,0,,neutral,-1,부족하다:-1[token],negative,1,positive,2.6,3,0.4
kakao,각시보쌈,❤️,5,2026-01-26,,,아니 무슨 80년대도아니고 혼자손님이 와도 자기가 앉고싶은자릴 앉는거지 이래라저래라 저기앉아라이러고 통제를 합니까 무슨 공산주의에요????밥먹으러왔다가 기분잡쳐서가네요 먹는 내내 중국종업원들 먹는거 구경하면서 낄낄대고 다음에 가서그러면 가만히 않있습니다 두고보세요,147,0,1,2,브론즈 레벨,4.6,0,high,1,1,account_review_count_under_5:-0.5 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | multi_sentence_with_length:+0.8 | has_number_detail:+1,0,0,3,0,1,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,아니 무슨 80년대도아니고 혼자손님이 와도 자기가 앉고싶은자릴 앉는거지 이래라저래라 저기앉아라이러고 통제를 합니까 무슨 공산주의에요 밥먹으러왔다가 기분잡쳐서가네요 먹는 내내 중국종업원들 먹는거 구경하면서 낄낄대고 다음에 가서그러면 가만히 않있습니다 두고보세요,아니다 무슨 혼자 손님 자기 앉다 자리다 앉다 이렇다 저렇다 저기 앉다 이르다 통제 무슨 공산주의 먹다 오다 분잡 치다 가다 먹다 내내 중국 종업원 먹다 구경 낄낄대다 다음 가다 그러면 가만히 않다 두다 보다,아니다/Adjective 무슨/Noun 혼자/Noun 손님/Noun 자기/Noun 앉다/Verb 자리다/Adjective 앉다/Verb 이렇다/Adjective 저렇다/Adjective 저기/Noun 앉다/Verb 이르다/Verb 통제/Noun 무슨/Noun 공산주의/Noun 먹다/Verb 오다/Verb 분잡/Noun 치다/Verb 가다/Verb 먹다/Verb 내내/Noun 중국/Noun 종업원/Noun 먹다/Verb 구경/Noun 낄낄대다/Verb 다음/Noun 가다/Verb 그러면/Adverb 가만히/Adverb 않다/Verb 두다/Verb 보다/Verb,35,0,,neutral,0,,neutral,0,,neutral,0,,neutral,-2,공산주의:-1[token] 낄낄대다:-1[token],negative,-2,negative,1.4,1,0.4
kakao,각시보쌈,pick of pig,135,2026-01-24,,,확신의 맛집 무조건 반반보쌈으로 ㄱㄱ 단 시끄러운거 싫어하면 절대 평일 저녁엔 가지마세요 할저씨들 술시켜놓고 고성방가 심함..,70,0,5,3.8,골드 레벨,12,1,high,1,5,experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0,1,0,2,1,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,확신의 맛집 무조건 반반보쌈으로 단 시끄러운거 싫어하면 절대 평일 저녁엔 가지마세요 할저씨들 술시켜놓고 고성방가 심함,확신 맛집 무조건 보쌈 시끄럽다 싫어하다 절대 평일 저녁 가지 말다 술시 켜다 고성 방가 심하다,확신/Noun 맛집/Noun 무조건/Noun 보쌈/Noun 시끄럽다/Adjective 싫어하다/Adjective 절대/Noun 평일/Noun 저녁/Noun 가지/Noun 말다/Verb 술시/Noun 켜다/Verb 고성/Noun 방가/Noun 심하다/Adjective,16,1,확신 맛집:1[token],positive,0,,neutral,0,,neutral,-5,시끄럽다 싫어하다:-2[token] 술시 켜다:-1[token] 고성 방가:-2[token],negative,-2,가지 말다:-1[token] 심하다:-1[token],negative,-6,negative,1,5,4
