store_name,platform,review_count,avg_sentiment_score,avg_sentiment_star,avg_original_rating
각시보쌈,kakao,60,1.22,3.67,3.73
각시보쌈,naver,188,2.06,3.91,
굴다리식당,kakao,44,-0.11,3.14,2.86
굴다리식당,naver,85,0.71,3.51,
금금,kakao,40,0.4,3.33,3.62
금금 성수점,naver,200,3.5,4.52,
능동미나리 성수점,kakao,158,1.72,3.85,4.15
능동미나리 성수지점,naver,198,2.93,4.17,
락희옥 마포본점,kakao,39,1.95,3.87,3.82
락희옥 마포본점,naver,195,3.78,4.5,
마포양지설렁탕,naver,104,1.49,3.76,
마포양지설렁탕 도화점,kakao,46,0.3,3.36,3.28
보끔당 성수점,kakao,26,2.5,4.16,4.23
보끔당 성수점,naver,200,3.08,4.34,
뼈탄집 성수역점,kakao,193,3.69,4.43,4.94
뼈탄집 성수역점,naver,200,4.71,4.67,
성수족발,kakao,42,0.36,3.37,3.1
성수족발,naver,150,1.18,3.62,
소문난성수감자탕,kakao,248,-0.53,3.01,2.49
소문난성수감자탕,naver,199,1.28,3.68,
옥동식,naver,183,2.25,3.98,
옥동식 서교점,kakao,130,1.15,3.62,3.5
원조 조박집 본관,naver,104,1.86,3.91,
원조조박집 본관,kakao,37,1.19,3.72,4.08
육산장 홍대본점,kakao,200,2.52,4.21,4.74
육산장 홍대본점,naver,200,3.54,4.53,
육지,kakao,200,2.48,4.14,4.4
을밀대 본점,kakao,199,0.77,3.53,4.09
을밀대 평양냉면,naver,196,1.86,3.88,
이태리국시 성수,kakao,200,3.04,4.39,4.86
이태리국시 성수,naver,200,4.76,4.71,
일등식당,kakao,56,1.55,3.75,3.93
일등식당,naver,103,2.35,4.05,
장인닭갈비 홍대점,kakao,162,2.35,4.04,4.15
장인닭갈비 홍대점,naver,194,2.16,4.08,
조선시대,naver,200,3.49,4.5,
쭌곱창,kakao,168,2.58,4.2,4.68
쭌곱창,naver,200,3.53,4.5,
태양곱창 성수,kakao,78,0.59,3.44,2.83
태양곱창 성수점,naver,200,2.37,4.13,
할머니의 레시피,naver,87,2.56,4.04,
할머니의레시피,kakao,45,0.18,3.26,3.04
홍대 육지,naver,200,4.56,4.69,
홍대 조선시대,kakao,200,2.84,4.34,4.91
황금콩밭,kakao,60,1.33,3.73,3.78
황금콩밭,naver,105,2.23,4.01,
훼미리손칼국수보쌈,kakao,75,0.89,3.58,3.36
훼미리손칼국수보쌈,naver,191,1.83,3.86,
