store_name,platform,review_count,avg_sentiment_score,avg_sentiment_star,avg_original_rating
각시보쌈,kakao,41,2.12,2.61,3.56
각시보쌈,naver,127,3.98,3.1,
굴다리식당,kakao,25,-0.04,2.24,2.92
굴다리식당,naver,54,1.39,2.48,
금금,kakao,21,1.0,2.34,3.24
금금 성수점,naver,149,5.19,3.42,
능동미나리 성수점,kakao,92,3.64,2.99,4.17
능동미나리 성수지점,naver,140,5.36,3.37,
락희옥 마포본점,kakao,20,3.2,2.79,3.6
락희옥 마포본점,naver,116,6.88,3.81,
마포양지설렁탕,naver,56,3.41,2.94,
마포양지설렁탕 도화점,kakao,22,1.0,2.38,2.64
보끔당 성수점,kakao,13,5.23,3.45,4.08
보끔당 성수점,naver,114,5.28,3.43,
뼈탄집 성수역점,kakao,96,7.25,3.8,4.93
뼈탄집 성수역점,naver,165,6.97,3.79,
성수족발,kakao,26,0.19,2.14,3.0
성수족발,naver,108,2.69,2.74,
소문난성수감자탕,kakao,174,-0.49,2.04,2.39
소문난성수감자탕,naver,153,2.07,2.67,
옥동식,naver,143,4.13,3.12,
옥동식 서교점,kakao,97,2.44,2.69,3.41
원조 조박집 본관,naver,70,3.57,3.03,
원조조박집 본관,kakao,22,2.0,2.62,3.91
육산장 홍대본점,kakao,67,5.01,3.38,4.55
육산장 홍대본점,naver,109,5.91,3.64,
육지,kakao,91,3.93,3.13,3.93
을밀대 본점,kakao,107,1.74,2.53,3.86
을밀대 평양냉면,naver,139,3.47,3.0,
이태리국시 성수,kakao,91,5.11,3.41,4.82
이태리국시 성수,naver,183,6.72,3.77,
일등식당,kakao,35,3.63,3.03,4.03
일등식당,naver,68,4.74,3.25,
장인닭갈비 홍대점,kakao,136,3.99,3.11,4.3
장인닭갈비 홍대점,naver,88,4.05,3.15,
조선시대,naver,126,5.66,3.56,
쭌곱창,kakao,64,4.44,3.22,4.38
쭌곱창,naver,116,5.84,3.59,
태양곱창 성수,kakao,57,1.47,2.54,3.11
태양곱창 성수점,naver,111,3.89,3.11,
할머니의 레시피,naver,66,4.74,3.23,
할머니의레시피,kakao,29,0.41,2.24,2.55
홍대 육지,naver,165,6.64,3.74,
홍대 조선시대,kakao,61,5.77,3.58,4.87
황금콩밭,kakao,44,2.36,2.72,3.61
황금콩밭,naver,73,4.47,3.19,
훼미리손칼국수보쌈,kakao,51,2.22,2.68,3.39
훼미리손칼국수보쌈,naver,147,3.95,3.13,
