term,aspect,polarity,suggested_label,type,count,memo
잡내 없이,food,2,positive,phrase,36,
존맛,food,2,positive,word,32,
존맛탱,food,2,positive,word,24,
맛집 인정,food,2,review_needed,phrase,9,
슴슴하니,food,2,review_needed,word,9,
맛도리,food,2,review_needed,word,7,
제일 맛있어요,food,2,positive,phrase,6,
짱이에요,food,2,review_needed,word,5,
짱짱,food,2,review_needed,word,5,
존맛입니다,food,2,positive,word,4,
존맛이에요,food,2,positive,word,4,
꿀맛,food,2,review_needed,word,4,
최애 맛집,food,2,review_needed,phrase,4,
존맛이고,food,2,positive,word,3,
존맛탱이에여,food,2,positive,word,3,
개존맛,food,2,positive,word,3,
존맛탱이에요,food,2,positive,word,3,
대박 맛있어요,food,2,positive,phrase,3,
넘맛,food,2,review_needed,word,3,
개굿,food,2,review_needed,word,3,
맛있어용,food,1,positive,word,85,
맛있구,food,1,positive,word,28,
맛있습니당,food,1,positive,word,17,
맛있어여,food,1,positive,word,16,
맛있네용,food,1,positive,word,13,
맛있구요,food,1,positive,word,13,
맛잇게,food,1,review_needed,word,11,
맛있었어용,food,1,positive,word,9,
맛남,food,1,review_needed,word,8,
고소해요,food,1,positive,word,7,
맛나용,food,1,review_needed,word,7,
맛있습니다 특히,food,1,positive,phrase,6,
정갈하고 맛있어요,food,1,positive,phrase,6,
맛있움,food,1,positive,word,5,
맛있었네요,food,1,positive,word,5,
맛있어욤,food,1,positive,word,4,
넘넘 맛있어요,food,1,positive,phrase,4,
맛집입니당,food,1,review_needed,word,4,
개맛있어요,food,1,positive,word,3,
맛있네여,food,1,positive,word,3,
맛잇습니다,food,1,review_needed,word,3,
냄새가 나서,food,-1,negative,phrase,4,
잡내도 나고,food,-1,negative,phrase,3,
맛은 그럭저럭,food,-1,review_needed,phrase,3,
예전같지,food,-1,review_needed,word,3,
슴슴해요,food,-1,review_needed,word,3,
꼬릿함,food,-1,review_needed,word,3,
잡내나고,food,-2,negative,word,3,
맛없다고,food,-2,negative,word,3,
맛없었음,food,-2,negative,word,3,
비추입니다,food,-2,review_needed,word,3,
가성비 좋은,price,2,positive,phrase,18,
가격도 착하고,price,2,review_needed,phrase,9,
가성비 좋아요,price,1,positive,phrase,14,
웨이팅 없이,service,2,positive,phrase,49,
친절하시고,service,1,positive,word,205,
구워주셔서,service,1,positive,word,111,
구워주셔서 편하게,service,1,positive,phrase,25,
직접 구워주시고,service,1,positive,phrase,21,
고기도 구워주시고,service,1,positive,phrase,16,
서비스로,service,1,review_needed,word,12,
구워주시는,service,1,positive,word,10,
응대해주셔서,service,1,review_needed,word,9,
구워주는,service,1,positive,word,8,
구워줘서 좋아요,service,1,positive,phrase,7,
구워줘서 편하게,service,1,positive,phrase,5,
구워주셔서 편해요,service,1,positive,phrase,5,
운좋게 웨이팅,service,1,positive,phrase,5,
친절하심,service,1,positive,word,4,
친절해용,service,1,positive,word,4,
대기없이 바로,service,1,negative,phrase,4,
구워져서 나와서,service,1,review_needed,phrase,4,
친절해여,service,1,positive,word,3,
친절합니당,service,1,positive,word,3,
구워줘요,service,1,review_needed,word,3,
응대해주셔서 기분,service,1,review_needed,phrase,3,
웨이팅 30분,service,-1,negative,phrase,3,
3시간 웨이팅,service,-1,negative,phrase,3,
항상 대기가,service,-1,negative,phrase,3,
변했어요,service,-1,review_needed,word,3,
싸가지가,service,-2,review_needed,word,3,
야장 분위기,atmosphere,2,review_needed,phrase,6,
인테리어도 예쁘고,atmosphere,2,review_needed,phrase,5,
