platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,review_original,review_sentiment,has_emo_pos,has_emo_neg,has_laugh,has_cry,has_exclamation,has_question,has_number,original_char_len,분위기_matched_keywords
naver,조선시대,점7232,26.0,2026.02.20,1번째 방문,영수증,안주가 진짜 맛이써용 분위기도 진짜 젛구 직원분들 너무 친절하세요옵😍😍 완전 추천해오!!,49,True,,,,안주가 진짜 맛이써용 분위기도 진짜 젛구 직원분들 너무 친절하세요옵😍😍 완전 추천해오!!,안주가 진짜 맛이써용 분위기도 진짜 젛구 직원분들 너무 친절하세요옵 EMO_POS EMO_POS 완전 추천해오 EXCLAM,1,0,0,0,1,0,0,49,분위기
naver,뼈탄집 성수역점,dkk****,12.0,2026.01.24,1번째 방문,영수증,소문만 듣던 뼈탄집! 외부에서 보던것보다 실내도 넓고 화장실까지 쾌적하니 너무 좋았습니다🙏 아이들 데리고 갔는데 아기 의자랑 식기까지 준비해주시고 다 구워주셔서 너무 편안하게 식사했네요. 고기도 맛있고 성수 주민으로 너무 좋네요 또 방문할게요~,136,True,,,,소문만 듣던 뼈탄집! 외부에서 보던것보다 실내도 넓고 화장실까지 쾌적하니 너무 좋았습니다🙏 아이들 데리고 갔는데 아기 의자랑 식기까지 준비해주시고 다 구워주셔서 너무 편안하게 식사했네요. 고기도 맛있고 성수 주민으로 너무 좋네요 또 방문할게요~,소문만 듣던 뼈탄집 EXCLAM 외부에서 보던것보다 실내도 넓고 화장실까지 쾌적하니 너무 좋았습니다 아이들 데리고 갔는데 아기 의자랑 식기까지 준비해주시고 다 구워주셔서 너무 편안하게 식사했네요 고기도 맛있고 성수 주민으로 너무 좋네요 또 방문할게요,0,0,0,0,1,0,0,136,"화장실, 쾌적, 넓"
naver,뼈탄집 성수역점,냐옹이이구,44.0,2025.11.22,1번째 방문,영수증,삼겹살에 뼈구이에 계탄밥까지..진짜 완벽한 한 끼 식사였어요 ㅎㅎㅎ직원분이 능숙하게 고기도 잘 구워주시고 하나씩 친절하게 설명해주셔서 먹는내내 기분이 좋았습니다! 그리고 자리도 굉장히 넓고 고급스러운 분위기여서 남자친구와 둘다 넘 만족스러운 곳이었습니당ㅎㅎ,143,True,,,,삼겹살에 뼈구이에 계탄밥까지..진짜 완벽한 한 끼 식사였어요 ㅎㅎㅎ직원분이 능숙하게 고기도 잘 구워주시고 하나씩 친절하게 설명해주셔서 먹는내내 기분이 좋았습니다! 그리고 자리도 굉장히 넓고 고급스러운 분위기여서 남자친구와 둘다 넘 만족스러운 곳이었습니당ㅎㅎ,삼겹살에 뼈구이에 계탄밥까지 진짜 완벽한 한 끼 식사였어요 직원분이 능숙하게 고기도 잘 구워주시고 하나씩 친절하게 설명해주셔서 먹는내내 기분이 좋았습니다 EXCLAM 그리고 자리도 굉장히 넓고 고급스러운 분위기여서 남자친구와 둘다 넘 만족스러운 곳이었습니당,0,0,0,0,1,0,0,143,"분위기, 자리, 넓"
kakao,소문난성수감자탕,김하경,46.0,2025-10-06,,,시끄럽고 맛없음 전쟁히면서 총성소리들으면서 밥먹는장소 ㅋㅋ,32,False,1.0,3.6,실버 레벨,시끄럽고 맛없음 전쟁히면서 총성소리들으면서 밥먹는장소 ㅋㅋ,시끄럽고 맛없음 전쟁히면서 총성소리들으면서 밥먹는장소,0,0,0,0,0,0,0,32,시끄럽
kakao,장인닭갈비 홍대점,제한된 프로필입니다.,23.0,2026-02-21,,,무슨 음식점 알바가 젤네일이에요 위생관념 미쳐버리겠다 진짜 ㅋㅋㅋㅋㅋㅋㅋ 이런 말씀 죄송하지만 노랑색 빡빡머리분은 좀 잘라주세요 ..^.^^.^^^^^^^^^^^ 더는 말 안할게요,100,False,1.0,1.0,실버 레벨,무슨 음식점 알바가 젤네일이에요 위생관념 미쳐버리겠다 진짜 ㅋㅋㅋㅋㅋㅋㅋ 이런 말씀 죄송하지만 노랑색 빡빡머리분은 좀 잘라주세요 ..^.^^.^^^^^^^^^^^ 더는 말 안할게요,무슨 음식점 알바가 젤네일이에요 위생관념 미쳐버리겠다 진짜 이런 말씀 죄송하지만 노랑색 빡빡머리분은 좀 잘라주세요 더는 말 안할게요,0,0,0,0,0,0,0,100,위생
kakao,옥동식 서교점,JulianW,17.0,2025-10-10,,,깔끔하고 거슬림 없는 맛. 술을 싫어하는데도 잔술 한잔 같이 걸친 기억이 굉장히 긍정적으로 남아 있음,56,False,4.0,3.5,브론즈 레벨,깔끔하고 거슬림 없는 맛. 술을 싫어하는데도 잔술 한잔 같이 걸친 기억이 굉장히 긍정적으로 남아 있음,깔끔하고 거슬림 없는 맛 술을 싫어하는데도 잔술 한잔 같이 걸친 기억이 굉장히 긍정적으로 남아 있음,0,0,0,0,0,0,0,56,깔끔
kakao,홍대 조선시대,예원,1.0,2026-01-02,,,맛도 분위기도 짱이에요! 다음에 또 방문하려고 해요🫶,29,True,5.0,5.0,브론즈 레벨,맛도 분위기도 짱이에요! 다음에 또 방문하려고 해요🫶,맛도 분위기도 짱이에요 EXCLAM 다음에 또 방문하려고 해요,0,0,0,0,1,0,0,29,분위기
naver,뼈탄집 성수역점,soyoung868,25.0,2026.04.02,1번째 방문,영수증,뼈탄집 그릴링서비스 너무 좋아요.. 고기를 너무 맛있게 구워주시네요 ㅎㅎ 계탄밥도 꼭 같이 드셔보시길.. 성수 데이트 왔다가 맛집 발견했네요👍,79,True,,,,뼈탄집 그릴링서비스 너무 좋아요.. 고기를 너무 맛있게 구워주시네요 ㅎㅎ 계탄밥도 꼭 같이 드셔보시길.. 성수 데이트 왔다가 맛집 발견했네요👍,뼈탄집 그릴링서비스 너무 좋아요 고기를 너무 맛있게 구워주시네요 계탄밥도 꼭 같이 드셔보시길 성수 데이트 왔다가 맛집 발견했네요 EMO_POS,1,0,0,0,0,0,0,79,데이트
kakao,옥동식 서교점,미식이네요,61.0,2025-12-08,,,맛은 그럭저럭 괜찮으나 대기시간 대비 만족감은 덜 하다. 대기공간도 불편하고 주변 빌라에 붙은 경고문에 마음이 썩 편하지않다. 한번쯤은 가 볼만하지만 다시 대기할만큼 특출나지는 않은 곳,103,False,2.0,3.9,실버 레벨,맛은 그럭저럭 괜찮으나 대기시간 대비 만족감은 덜 하다. 대기공간도 불편하고 주변 빌라에 붙은 경고문에 마음이 썩 편하지않다. 한번쯤은 가 볼만하지만 다시 대기할만큼 특출나지는 않은 곳,맛은 그럭저럭 괜찮으나 대기시간 대비 만족감은 덜 하다 대기공간도 불편하고 주변 빌라에 붙은 경고문에 마음이 썩 편하지않다 한번쯤은 가 볼만하지만 다시 대기할만큼 특출나지는 않은 곳,0,0,0,0,0,0,0,103,공간
naver,성수족발,샤방샤방엘리스,908.0,2025.07.07,1번째 방문,영수증,서울 3대족발이라고 해서 갔어요 매장안은 생각보다 작네요 메뉴는 족발하나인데 그냥 이해가 가는맛 빛깔부터 다르고 쫄낏하니 너무 맛있네요👍 특대 주문했는데 양은 그리 많지 않아요 공기밥에 족발 김치랑 같이 먹으니 맛있어요 강추!!💕,128,True,,,,서울 3대족발이라고 해서 갔어요 매장안은 생각보다 작네요 메뉴는 족발하나인데 그냥 이해가 가는맛 빛깔부터 다르고 쫄낏하니 너무 맛있네요👍 특대 주문했는데 양은 그리 많지 않아요 공기밥에 족발 김치랑 같이 먹으니 맛있어요 강추!!💕,서울 3대족발이라고 해서 갔어요 매장안은 생각보다 작네요 메뉴는 족발하나인데 그냥 이해가 가는맛 빛깔부터 다르고 쫄낏하니 너무 맛있네요 EMO_POS 특대 주문했는데 양은 그리 많지 않아요 공기밥에 족발 김치랑 같이 먹으니 맛있어요 강추 EXCLAM EMO_POS,1,0,0,0,1,0,1,128,매장
