platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,review_original,review_sentiment,has_emo_pos,has_emo_neg,has_laugh,has_cry,has_exclamation,has_question,has_number,original_char_len,음식_matched_keywords
naver,훼미리손칼국수보쌈,sSun,2487.0,2025.10.18,1번째 방문,영수증,보쌈은 아는맛이고.. 칼국수는 ??? 우연히 지나가다가 줄이 많이 서있는걸 두번이나 다른날 보고 맛집이구나 하고 들어가봤는데요. 왜...줄이 이토록 긴것인가... 보쌈은 평범하고..칼국수는 전혀 왜? 흠.. 줄설이유가 없는데...굳이 찾아갈이유도없고.. 위생적으로도.. 앞접시 첫번째주신 3개 모두에 고춧가루가 붙어있고... 말씀드려서 바꿔달라해서 가져오신 두개가 또 고춧가루 묻어있고.. 가져오시면서 한번확인하심될것을.. 다시 바꿔주시러 가져가시고 천으로 쓱쓱 닦아주시더라고요...다봤어요!! 위생도 별로.. 미스테리여..ㅎㅎ,295,True,,,,보쌈은 아는맛이고.. 칼국수는 ??? 우연히 지나가다가 줄이 많이 서있는걸 두번이나 다른날 보고 맛집이구나 하고 들어가봤는데요. 왜...줄이 이토록 긴것인가... 보쌈은 평범하고..칼국수는 전혀 왜? 흠.. 줄설이유가 없는데...굳이 찾아갈이유도없고.. 위생적으로도.. 앞접시 첫번째주신 3개 모두에 고춧가루가 붙어있고... 말씀드려서 바꿔달라해서 가져오신 두개가 또 고춧가루 묻어있고.. 가져오시면서 한번확인하심될것을.. 다시 바꿔주시러 가져가시고 천으로 쓱쓱 닦아주시더라고요...다봤어요!! 위생도 별로.. 미스테리여..ㅎㅎ,보쌈은 아는맛이고 칼국수는 QUESTION 우연히 지나가다가 줄이 많이 서있는걸 두번이나 다른날 보고 맛집이구나 하고 들어가봤는데요 왜 줄이 이토록 긴것인가 보쌈은 평범하고 칼국수는 전혀 왜 QUESTION 흠 줄설이유가 없는데 굳이 찾아갈이유도없고 위생적으로도 앞접시 첫번째주신 3개 모두에 고춧가루가 붙어있고 말씀드려서 바꿔달라해서 가져오신 두개가 또 고춧가루 묻어있고 가져오시면서 한번확인하심될것을 다시 바꿔주시러 가져가시고 천으로 쓱쓱 닦아주시더라고요 다봤어요 EXCLAM 위생도 별로 미스테리여,0,0,0,0,1,1,1,295,"맛, 면, 보쌈"
naver,홍대 육지,12****,1547.0,2026.04.11,1번째 방문,영수증,합정역 20인분 한정메뉴 돈대갈비 먹었는데 존맛탱 직원분들도 너무 친절하고 시그니처 메뉴 일찍와서 꼭 먹어요!!,62,True,,,,합정역 20인분 한정메뉴 돈대갈비 먹었는데 존맛탱 직원분들도 너무 친절하고 시그니처 메뉴 일찍와서 꼭 먹어요!!,합정역 20인분 한정메뉴 돈대갈비 먹었는데 존맛탱 직원분들도 너무 친절하고 시그니처 메뉴 일찍와서 꼭 먹어요 EXCLAM,0,0,0,0,1,0,1,62,"맛, 메뉴"
naver,보끔당 성수점,메출출,32.0,2026.05.02,1번째 방문,영수증,회사 근처있어서 몇번 왔었는데 오늘은 친구랑 왔어요!! 맛있고 좋아요!!,40,False,,,,회사 근처있어서 몇번 왔었는데 오늘은 친구랑 왔어요!! 맛있고 좋아요!!,회사 근처있어서 몇번 왔었는데 오늘은 친구랑 왔어요 EXCLAM 맛있고 좋아요 EXCLAM,0,0,0,0,1,0,0,40,"맛, 맛있"
naver,소문난성수감자탕,david7064,83.0,2025.12.06,1번째 방문,영수증,여기는 갈 때마다 정신이 없고 손님을 물건으로 보는 느낌임 . 아줌마들은 친절했으나 고기가 살이 하나도 없고 다. 뼈뿐임 1만3000원짜리 특을 시켰는데도 뼈가 4ㅡ 5개가 왔는데도 살이 하나도 없었음 그리고 일반적인 등뼈 해장국이 아니고 이상한 내장 같은 부위가 있어서 약간 곱창 맛이 나는데 역겨웠음 다신 안가고 싶음 배가 부르지도 않고 기분 나쁘게 배가 부름.,204,False,,,,여기는 갈 때마다 정신이 없고 손님을 물건으로 보는 느낌임 . 아줌마들은 친절했으나 고기가 살이 하나도 없고 다. 뼈뿐임 1만3000원짜리 특을 시켰는데도 뼈가 4ㅡ 5개가 왔는데도 살이 하나도 없었음 그리고 일반적인 등뼈 해장국이 아니고 이상한 내장 같은 부위가 있어서 약간 곱창 맛이 나는데 역겨웠음 다신 안가고 싶음 배가 부르지도 않고 기분 나쁘게 배가 부름.,여기는 갈 때마다 정신이 없고 손님을 물건으로 보는 느낌임 아줌마들은 친절했으나 고기가 살이 하나도 없고 다 뼈뿐임 1만3000원짜리 특을 시켰는데도 뼈가 4 5개가 왔는데도 살이 하나도 없었음 그리고 일반적인 등뼈 해장국이 아니고 이상한 내장 같은 부위가 있어서 약간 곱창 맛이 나는데 역겨웠음 다신 안가고 싶음 배가 부르지도 않고 기분 나쁘게 배가 부름,0,0,0,0,0,0,1,204,"맛, 간, 고기, 짜"
naver,훼미리손칼국수보쌈,궁금한 먹깨비,727.0,2025.08.07,1번째 방문,영수증,보쌈 칼국수 세트 가성비로 넘 좋아용 ㅎㅎ 15000원의 행복!! 수육 완전 야들야들하니 부드럽고 특히 무김치 맛나용!! 배추도 신선해서 좋았어요 갈수록 사람이 많아져서 아쉽지만 보쌈완전 추천입니댜,110,True,,,,보쌈 칼국수 세트 가성비로 넘 좋아용 ㅎㅎ 15000원의 행복!! 수육 완전 야들야들하니 부드럽고 특히 무김치 맛나용!! 배추도 신선해서 좋았어요 갈수록 사람이 많아져서 아쉽지만 보쌈완전 추천입니댜,보쌈 칼국수 세트 가성비로 넘 좋아용 15000원의 행복 EXCLAM 수육 완전 야들야들하니 부드럽고 특히 무김치 맛나용 EXCLAM 배추도 신선해서 좋았어요 갈수록 사람이 많아져서 아쉽지만 보쌈완전 추천입니댜,0,0,0,0,1,0,1,110,"맛, 김치, 보쌈"
naver,능동미나리 성수지점,먹죽귀,3560.0,2025.12.01,1번째 방문,영수증,성동구 성수역 근처에 위치한 능동미나리 성수점 다녀왔어요 예전에 용산에서 먹으려다 실패한 후 육회 비빔밥이 유명한 곳이라 기대하며 방문했습니다 주문한 메뉴는 능동육회비빔밥과 신메뉴인 능동육전 한 접시 음식은 빠르게 서빙되어 비주얼부터 푸짐했어요 능동육회비빔밥은 신선한 육회가 넉넉히 올라가 있어 잡내 없이 달큼하고 고소한 풍미가 살아 있었고 미나리 향이 은은하게 더해져 전체적인 조화가 좋았습니다 밥과 비벼 먹으면 육회의 촉촉함과 야채의 아삭함이 잘 어우러져 먹는 내내 질리지 않고 편안하게 즐길 수 있었어요 신메뉴인 능동육전은 한 입 크기로 잘라져 나와 먹기 편했고 고기의 부드러움과 달걀옷의 고소함이 겉은 바삭하면서 속은 촉촉하게 잘 살았습니다 웨이팅만 길지 않으면 다시 방문하고 싶은 곳이었습니다,392,True,,,,성동구 성수역 근처에 위치한 능동미나리 성수점 다녀왔어요 예전에 용산에서 먹으려다 실패한 후 육회 비빔밥이 유명한 곳이라 기대하며 방문했습니다 주문한 메뉴는 능동육회비빔밥과 신메뉴인 능동육전 한 접시 음식은 빠르게 서빙되어 비주얼부터 푸짐했어요 능동육회비빔밥은 신선한 육회가 넉넉히 올라가 있어 잡내 없이 달큼하고 고소한 풍미가 살아 있었고 미나리 향이 은은하게 더해져 전체적인 조화가 좋았습니다 밥과 비벼 먹으면 육회의 촉촉함과 야채의 아삭함이 잘 어우러져 먹는 내내 질리지 않고 편안하게 즐길 수 있었어요 신메뉴인 능동육전은 한 입 크기로 잘라져 나와 먹기 편했고 고기의 부드러움과 달걀옷의 고소함이 겉은 바삭하면서 속은 촉촉하게 잘 살았습니다 웨이팅만 길지 않으면 다시 방문하고 싶은 곳이었습니다,성동구 성수역 근처에 위치한 능동미나리 성수점 다녀왔어요 예전에 용산에서 먹으려다 실패한 후 육회 비빔밥이 유명한 곳이라 기대하며 방문했습니다 주문한 메뉴는 능동육회비빔밥과 신메뉴인 능동육전 한 접시 음식은 빠르게 서빙되어 비주얼부터 푸짐했어요 능동육회비빔밥은 신선한 육회가 넉넉히 올라가 있어 잡내 없이 달큼하고 고소한 풍미가 살아 있었고 미나리 향이 은은하게 더해져 전체적인 조화가 좋았습니다 밥과 비벼 먹으면 육회의 촉촉함과 야채의 아삭함이 잘 어우러져 먹는 내내 질리지 않고 편안하게 즐길 수 있었어요 신메뉴인 능동육전은 한 입 크기로 잘라져 나와 먹기 편했고 고기의 부드러움과 달걀옷의 고소함이 겉은 바삭하면서 속은 촉촉하게 잘 살았습니다 웨이팅만 길지 않으면 다시 방문하고 싶은 곳이었습니다,0,0,0,0,0,0,0,392,"메뉴, 음식, 고기, 면, 밥, 잡내"
naver,황금콩밭,toopassaway,732.0,2025.05.11,1번째 방문,영수증,맛있었어요! 두부가 깔끔하고 담백한 맛이었어요,25,True,,,,맛있었어요! 두부가 깔끔하고 담백한 맛이었어요,맛있었어요 EXCLAM 두부가 깔끔하고 담백한 맛이었어요,0,0,0,0,1,0,0,25,"맛, 맛있"
kakao,보끔당 성수점,김지원,1.0,2025-01-20,,,맛있어요 👀,6,False,5.0,5.0,브론즈 레벨,맛있어요 👀,맛있어요,0,0,0,0,0,0,0,6,"맛, 맛있"
kakao,이태리국시 성수,맛탐러,1.0,2026-04-29,,,대창 파스타도 너무 맛있고 바지락도 최고였어요!!,27,True,5.0,5.0,브론즈 레벨,대창 파스타도 너무 맛있고 바지락도 최고였어요!!,대창 파스타도 너무 맛있고 바지락도 최고였어요 EXCLAM,0,0,0,0,1,0,0,27,"맛, 맛있, 파스타"
kakao,금금,sulsulsultv,475.0,2025-02-09,,,마제소바를 살짝 한식으로 . 잡내없는 차슈 . 적당한 감칠맛 . 오일리하다 ㅡ 백김치? 는 너무 심심 . 마늘쫑의 쓰고 쌉싸름함과 달고 신 양념이 입가심 .,87,False,4.0,3.3,골드 레벨,마제소바를 살짝 한식으로 . 잡내없는 차슈 . 적당한 감칠맛 . 오일리하다 ㅡ 백김치? 는 너무 심심 . 마늘쫑의 쓰고 쌉싸름함과 달고 신 양념이 입가심 .,마제소바를 살짝 한식으로 잡내없는 차슈 적당한 감칠맛 오일리하다 백김치 QUESTION 는 너무 심심 마늘쫑의 쓰고 쌉싸름함과 달고 신 양념이 입가심,0,0,0,0,0,1,0,87,"맛, 양, 김치, 잡내"
