term,count
EMO_POS EMO_POS,89
분위기도 좋고,54
너무 좋고,39
너무 맛있어요,36
너무 좋아요,33
분위기도 너무,31
너무 맛있고,27
분위기 좋고,26
분위기도 좋아서,21
재방문 의사,20
좋고 음식도,19
분위기가 너무,19
기분 좋게,18
너무 맛있게,15
양도 많고,15
웨이팅 없이,15
맛있어요 분위기도,15
분위기 너무,14
분위기도 좋아요,14
매장 분위기도,14
잡내 없이,13
매장도 넓고,13
너무 맛있었어요,13
깔끔하고 맛있어요,12
맛있게 먹고,10
진짜 맛있어요,10
맛있고 분위기도,10
너무 맛있어서,10
계속 손이,9
분위기가 좋고,9
맛있어요 EMO_POS,9
먹고 갑니다,9
있어서 좋아요,9
직원분들도 친절해서,8
가게 분위기도,8
좋고 맛있어요,8
고기도 너무,8
먹을 있어서,8
너무 좋아서,8
좋고 고기도,8
맛있고 분위기,8
다음에 방문하고,8
직원분들도 친절하시고,8
없이 바로,8
친절해서 기분,7
분위기가 좋아요,7
너무 좋았어요,7
좋아요 EMO_POS,7
식사할 있었습니다,7
오기 좋은,7
친절하시고 분위기도,7
정말 맛있어요,7
매장이 넓고,7
고기도 직접,7
맛있고 분위기가,7
분위기 좋은,7
고기 질도,7
너무 맛있네요,6
매장도 깔끔하고,6
맛있고 양도,6
너무 맛있습니다,6
너무 좋은,6
좋게 식사할,6
음식이 깔끔하고,6
음식도 맛있고,6
데이트 장소로,6
직원분들도 친절하셔서,6
직접 구워주셔서,6
방문하고 싶어요,6
편하게 식사할,6
매장도 넓어서,6
분위기가 좋아서,6
데이트 코스로,6
다음에 올게요,6
분위기 좋아요,6
맛있었어요 EMO_POS,6
고기도 맛있고,5
고기도 구워주시고,5
맛있네요 EMO_POS,5
먹을 맛은,5
같이 나온,5
정말 맛있고,5
방문하고 싶은,5
맛있어요 특히,5
웨이팅 하고,5
음식도 맛있어요,5
매장이 너무,5
음식도 너무,5
고기도 맛있어요,5
왔는데 분위기도,5
자극적이지 않고,5
테이블 간격이,5
구워주셔서 편하게,5
좋고 안주도,5
정말 맛있게,5
너무너무 맛있어요,5
캐치테이블로 예약하고,5
진짜 맛있었어요,5
먹기 좋은,5
친절하셔서 기분,5
부드럽고 잡내,5
아이와 함께,5
의사 있음,5
매장도 너무,5
인테리어도 너무,5
유명한 곳이라,5
너무 친절하시고,5
직원분들 너무,4
구워주셔서 너무,4
너무 좋네요,4
같이 먹으니,4
좋고 직원분들도,4
끝까지 맛있게,4
맛있게 먹을,4
먹고 왔어요,4
예쁘고 직원분들도,4
오고 싶어요,4
맛있게 매장,4
좋아요 분위기도,4
여기 진짜,4
깔끔하고 직원분들도,4
너무 맛있었습니다,4
직원분들도 친절하고,4
고기가 맛있어요,4
좋고 너무,4
맛있어요 직원분들도,4
음식 맛있고,4
먹기 좋아요,4
좋아요 다음에,4
홍대 오면,4
친절하고 맛있어요,4
맛있습니다 EMO_POS,4
너무 좋구,4
20분 정도,4
질도 좋고,4
분위기도 깔끔하고,4
식사할 있었어요,4
고기 퀄리티도,4
퀄리티도 좋고,4
있어서 좋았어요,4
먹고 가요,4
정말 깔끔하고,4
고기가 정말,4
부모님 모시고,4
친구 추천으로,4
맛은 아님,4
직원분들도 너무,4
직접 구워주시고,4
매장도 쾌적하고,4
음식이 맛있고,4
갑니다 EMO_POS,4
좋고 맛도,4
배부르게 먹을,4
깊은 맛이,4
친구들이랑 왔는데,4
가게 내부도,4
추천 EMO_POS,4
있어서 너무,4
가볼 만한,4
다른 메뉴도,4
가격 대비,4
진짜 너무,4
가기 좋은,4
먹으러 왔는데,4
가게 분위기가,4
좋은 곳이에요,4
너무 친절하고,4
깔끔하고 정갈한,4
미나리 향이,4
고기랑 같이,4
주말 저녁에,4
과하지 않고,4
기분이 좋았습니다,3
데이트나 친구랑,3
진짜 맛있게,3
없이 깔끔해서,3
인테리어도 예쁘고,3
맛있고 직원분들,3
매장도 크고,3
홍대에서 닭갈비,3
먹고 싶을,3
싶을 다시,3
다시 방문하고,3
싶은 곳이에요,3
매장 분위기,3
저녁에 가면,3
맛있어요 매장도,3
음식이 너무,3
직원분들 친절하시고,3
좋고 매장,3
맛은 있는데,3
음식도 다양하고,3
EMO_POS 가게,3
가게 입구에,3
주차 공간,3
균형 잡힌,3
진짜 맛있고,3
만족스러운 식사였습니다,3
김치 맛이,3
좋았어요 직원분들도,3
많고 맛도,3
함께 나오는,3
좋았어요 매장도,3
시켜서 먹었는데,3
와봤는데 너무,3
고기 너무,3
왔는데 역시,3
역시 너무,3
식사하고 왔습니다,3
먹는 내내,3
곳이라 재방문,3
EMO_POS 다음엔,3
좋았어요 EMO_POS,3
깔끔한 국물에,3
많고 맛있어요,3
안주도 맛있어요,3
양념이 너무,3
홍대 합정,3
아주 만족스러운,3
좋아하시는 분들은,3
많고 너무,3
친절하시고 매장,3
고기 질이,3
편하게 먹을,3
재방문 예정,3
주문한 메뉴는,3
룸도 있어서,3
음식도 빨리,3
맛있게 먹은,3
홍대에서 고기,3
집인데 오랜만에,3
다음에 방문할게요,3
정말 맛있습니다,3
같이 먹으면,3
간이 너무,3
맛있게 EMO_POS,3
맛있게 분위기도,3
먹을 있었습니다,3
대기 없이,3
바로 들어갈,3
먹으러 왔습니다,3
같이 나오는,3
성수역 삼겹살,3
두번째 방문인데,3
정말 친절하시고,3
다신 안갑니다,3
좋고 고기,3
국물이 진하고,3
맛있게 잘먹었어요,3
찾다가 방문했는데,3
직원 분들도,3
먹어봤는데 너무,3
맛있게 잘먹었습니다,3
방문할게요 EMO_POS,3
사람들이 많이,3
곳으로 왔는데,3
친구랑 홍대,3
살아있어서 계속,3
좋은 곳이라,3
계속 먹게,3
정말 맛있었어요,3
좋고 분위기도,3
편안하게 식사할,3
엄청 빨리,3
고기 양이,3
바로 입장,3
거의 바로,3
곳이에요 EMO_POS,3
번쯤 가볼,3
고기도 부드럽고,3
국물도 깔끔하고,3
깔끔하고 맛있습니다,3
오고 싶은,3
시끄럽지 않아서,3
친구랑 같이,3
않고 적당히,3
직원분들도 친절하게,3
찾는 분들께,3
편하고 맛있게,3
분위기가 좋은,3
친절하고 매장도,3
고기도 정말,3
국물이 정말,3
부담 없이,3
분위기도 깔끔해서,3
외국인도 많이,3
좋고 맛있네요,3
기대 이상으로,3
넓고 음식도,3
친절하시고 매장도,3
자리도 넓고,3
왔는데 너무,3
매장도 깨끗하고,3
맛이 깔끔하고,3
많이 들어있고,3
데이트 하러,3
주말 저녁,3
대창 파스타,3
너무 맛있어용,3
방문한 뼈탄집,3
