term,count
너무,424
EMO_POS,313
맛있어요,190
좋고,184
분위기도,180
좋아요,130
정말,124
분위기,122
깔끔하고,116
맛있고,115
진짜,113
맛있게,103
고기,99
있어서,87
고기도,80
좋은,77
분위기가,74
웨이팅,74
먹고,65
직원분들도,60
없이,60
맛이,59
바로,59
다음에,57
좋았어요,57
같이,56
먹을,54
많이,53
매장도,52
음식도,51
다른,49
맛있었어요,48
좋아서,48
엄청,48
음식,47
왔는데,47
매장,46
맛있어서,45
않고,44
홍대,44
많고,44
맛은,43
맛있습니다,43
맛집,42
양도,42
다시,41
계속,41
친절하시고,41
맛도,39
깔끔한,39
음식이,39
테이블,39
넓고,38
재방문,38
먹는,37
조금,36
고기가,36
가게,36
완전,35
먹었는데,35
특히,34
매장이,34
기분,33
처음,33
맛있네요,32
하고,32
데이트,31
먹기,31
국물이,30
좋았습니다,29
식사,29
부드럽고,29
맛있었습니다,29
아주,29
맛있는,29
메뉴도,29
성수,28
함께,28
좋게,28
양이,28
있음,27
전체적으로,27
살짝,27
감자탕,26
넓어서,26
여기,26
해서,25
친구랑,25
나오는,25
평일,25
편하게,25
고기는,24
깔끔해서,24
느낌,24
잡내,24
오랜만에,24
그래도,24
추천합니다,24
생각보다,23
자리,23
일단,23
방문했는데,23
모두,23
직접,23
정도,23
좋네요,22
좋을,22
않아서,22
나와서,22
저는,22
친구들이랑,22
항상,22
친절하고,22
서비스,22
먹으러,22
대기,21
있고,21
먹으면,21
의사,21
제대로,21
자주,21
너무너무,21
무엇보다,21
역시,21
친절하셔서,21
유명한,21
빨리,21
좋았고,21
이런,20
국물,20
없고,20
있었어요,20
이렇게,20
점심,20
갑니다,20
요즘,20
국물에,20
주문,20
직원분들,19
갔는데,19
구워주셔서,19
있는데,19
간이,19
인테리어도,19
손님이,19
많아서,19
되게,19
와서,19
있어,19
올게요,19
가성비,19
식사할,19
메뉴,18
미나리,18
저녁에,18
주말,18
직원분이,17
옥동식,17
좋습니다,17
방문했어요,17
자리가,17
저녁,17
곳이라,17
방문,17
주문했는데,16
테이블이,16
친절해서,16
닭갈비,16
그런지,16
김치도,16
직원분들이,16
하는,16
외국인,16
같은,16
좋음,16
곳입니다,16
향이,16
보쌈,16
추천,16
되는,16
고기를,15
다만,15
있었고,15
왔어요,15
시켰는데,15
싶어요,15
곳이에요,15
웨이팅이,15
리뷰,15
다들,15
좋아하는,15
전반적으로,15
직원,15
없어서,15
국밥,15
삼겹살,15
다음에도,15
깔끔,15
한번,15
편하고,15
거의,15
않은,14
따로,14
특별한,14
많은,14
먹은,14
홍대에서,14
싶은,14
아니라,14
000원,14
근처,14
사람들이,14
음식은,14
캠핑,14
성수동,14
없음,14
김치,14
있었습니다,14
그래서,14
적당히,14
주차는,14
하나,14
먹으니,13
강추,13
매우,13
조합이,13
오면,13
자극적이지,13
방문하고,13
오래,13
메뉴가,13
막걸리,13
캐치테이블,13
추천드려요,13
미리,13
신선하고,13
정갈하고,13
같습니다,13
볶음밥,13
깔끔하게,13
맛있었고,13
가장,13
것도,13
안주,13
파스타,13
친구,13
가격,13
예약,13
뼈탄집,12
식당,12
맑은,12
끝까지,12
곰탕,12
맛이에요,12
인테리어가,12
쾌적하고,12
친절하세요,12
안주도,12
기본,12
친절해요,12
혼자,12
사장님,12
사람이,12
다양하고,12
주차,12
맛있음,12
나오고,12
안에,12
가서,12
오기,12
별로,12
사람,12
손님,12
입장,12
아님,12
캐치테이블로,12
먼저,12
국물은,12
친절하게,11
만족스러운,11
왔다가,11
시간,11
있다,11
재방문의사,11
추천드립니다,11
손이,11
나온,11
다음엔,11
오고,11
고기랑,11
제가,11
나옴,11
웨이팅은,11
반찬도,11
맛을,11
확실히,11
그렇게,11
가격이,11
가족,11
예약하고,11
