term,count
EMO_POS EMO_POS,95
너무 맛있어요,41
너무 맛있고,26
맛있어요 EMO_POS,21
너무 맛있게,19
너무 좋아요,15
분위기도 좋고,15
양도 많고,15
너무 좋고,14
진짜 맛있어요,12
너무 맛있어서,12
너무 친절하시고,11
정말 맛있어요,11
먹고 갑니다,11
너무 맛있네요,11
너무 맛있었어요,9
웨이팅 없이,9
맛있게 먹고,9
직접 구워주셔서,9
분위기도 너무,9
직원분들도 너무,8
잡내 없이,8
좋고 음식도,8
재방문 의사,8
진짜 맛있고,7
먹고 싶어서,7
같이 나오는,7
직원분들도 친절하시고,7
고기도 너무,7
분위기도 좋아요,7
정말 맛있고,7
기분 좋게,6
계속 손이,6
다음에 올게요,6
너무너무 맛있어요,6
고기도 직접,6
gt lt,6
맛있어요 특히,6
있어서 좋아요,6
분위기 좋고,6
너무 좋은,5
같이 먹으면,5
맛있고 양도,5
좋은 시간,5
맛있어요 직원분들도,5
맛있어요 양도,5
좋았어요 EMO_POS,5
진짜 맛있게,5
맛있게 잘먹었습니다,5
고기도 정말,5
정말 맛있게,5
너무 맛있습니다,5
너무 좋았어요,5
깔끔하고 맛있어요,5
너무 맛있었습니다,5
먹고 왔어요,5
너무 맛있어용,5
것도 아니고,5
방문하고 싶은,4
먹고 있는데,4
직원 분들도,4
분위기도 좋아서,4
갑니다 EMO_POS,4
만족스러웠어요 EMO_POS,4
먹기 좋은,4
친절하시고 고기도,4
좋아요 EMO_POS,4
먹을 있어서,4
특별한 메뉴도,4
직원분들이 너무,4
너무 친절하세요,4
다른 메뉴들도,4
음식도 맛있어요,4
완전 맛있어요,4
좋고 맛도,4
맛있게 다음에,4
맛도 좋아요,4
맛있어요 분위기도,4
다른 메뉴도,4
진짜 많고,4
고기도 맛있고,4
진짜 너무,4
사장님도 너무,4
매장 분위기도,4
오늘도 맛있게,4
고기 퀄리티도,4
뼈탄집 성수역점,4
방문할게요 EMO_POS,4
유명한 곳이라,3
주문한 메뉴는,3
미나리 향이,3
먹는 내내,3
일단 음식,3
느낌 너무,3
음식 너무,3
하고 갑니다,3
너무 좋네요,3
고기가 진짜,3
편하게 먹을,3
먹을 있었어요,3
싶을 정도로,3
먹을 맛은,3
맛있게 먹었고,3
접근성도 좋고,3
손님이 많아서,3
곳이에요 EMO_POS,3
없이 부드럽고,3
씹을 때마다,3
조합이 정말,3
이모님들이 너무,3
추천드려요 EMO_POS,3
맛도 좋고,3
맛있게 먹었던,3
음식이 너무,3
친절하시고 너무,3
매장도 넓고,3
고기 맛이,3
맛있게 먹을,3
너무 좋아서,3
분위기 너무,3
양이 많고,3
외국인 손님이,3
제일 맛있었어요,3
만족스러운 식사였습니다,3
먹으러 왔는데,3
음식도 맛있고,3
별로 좋아하지,3
반찬도 맛있고,3
중에 제일,3
회전율이 빨라서,3
같이 나온,3
분위기가 너무,3
너무 친절하셔서,3
친절해서 기분,3
너무 맛있어보여서,3
웨이팅 하고,3
두번째 방문인데,3
묵은지 문어,3
10분 정도,3
하고 들어갔는데,3
서서 먹을,3
다시 방문할,3
고기를 직접,3
깊은 맛이,3
양도 진짜,3
좋아요 다음에,3
가격에 비해,3
호불호가 갈릴,3
육회비빔밥 곰탕,3
안주도 맛있고,3
손님이 많아요,3
양도 푸짐해서,3
너무 맛있음,3
구워주셔서 너무,3
진짜 맛있었어요,3
맛있네요 EMO_POS,3
재방문 의사는,3
직원분들도 친절해요,3
너무 달고,3
좋고 너무,3
맛있어요 좋아요,3
맛있고 고기도,3
좋고 맛있어요,3
방문할 예정입니다,3
맛있고 직원분들도,3
음식이 깔끔하고,3
기다리지 않고,3
많고 너무,3
조만간 방문할,3
다음에 방문할게요,3
가게 분위기도,3
맛있어용 EMO_POS,3
고기가 정말,3
직원분들도 친절하셔서,3
완전 친절하세요,3
고기 질이,3
질이 너무,3
양이 너무,3
직원분들도 친절하고,3
직원분들도 친절하세요,3
맛있고 분위기도,3
맛있고 좋아요,2
살이 하나도,2
하나도 없고,2
기분 나쁘게,2
성수점 다녀왔어요,2
질리지 않고,2
즐길 있었어요,2
엄청 맛있어요,2
맛있어요 자주,2
여기는 진짜,2
일등 식당,2
외국인 손님,2
회사 근처라,2
좋아요 고기,2
야장분위기가 너무,2
고기도 맛있어요,2
고기 퀄리티,2
가기 좋은,2
좋은 곳이에요,2
부담 없이,2
너무 달아서,2
웨이팅 하는,2
진짜 맛있는,2
먹는 느낌,2
좋았어요 음식,2
너무 좋을,2
밥이 진짜,2
맛있음 그러나,2
기다려서 먹을,2
부드럽고 국물도,2
없이 바로,2
하나도 없이,2
없이 맛있고,2
같이 드세요,2
구워주셔서 편하게,2
전체적으로 메뉴,2
메뉴 하나하나,2
맛은 아님,2
정말 맛있었습니다,2
친절하셔서 좋았습니다,2
홍대에서 고기,2
평일 저녁에,2
대기 없이,2
있어서 너무,2
주말에 남편이랑,2
남편이랑 낮술하러,2
낮술하러 들른,2
들른 각시보쌈,2
각시보쌈 합정점이에요,2
합정점이에요 합정역,2
합정역 7번,2
7번 출구에서,2
출구에서 가까워서,2
가까워서 접근성도,2
좋고 항상,2
항상 손님이,2
많아서 웨이팅은,2
웨이팅은 기본인데,2
기본인데 그래도,2
그래도 기다릴,2
기다릴 가치,2
가치 충분한,2
충분한 곳이에요,2
EMO_POS 저희는,2
저희는 점심에만,2
점심에만 주문,2
주문 가능한,2
가능한 보쌈정식을,2
보쌈정식을 먹었는데,2
먹었는데 보쌈,2
보쌈 고기부터,2
고기부터 감탄,2
감탄 나왔어요,2
나왔어요 잡내,2
부드럽고 촉촉하게,2
촉촉하게 삶아져서,2
삶아져서 씹을,2
때마다 고기결이,2
고기결이 살아있고,2
살아있고 무생채랑,2
무생채랑 같이,2
먹으면 조합이,2
정말 최고였어요,2
최고였어요 밑반찬도,2
밑반찬도 깔끔하고,2
깔끔하고 특히,2
특히 김치찌개가,2
김치찌개가 진짜,2
진짜 맛있어서,2
맛있어서 보쌈,2
보쌈 먹다가,2
먹다가 뜨끈한,2
뜨끈한 국물,2
국물 한입,2
한입 먹으면,2
먹으면 바로,2
바로 소주,2
소주 불러오는,2
불러오는 맛이에요,2
맛이에요 손님이,2
손님이 많아도,2
많아도 이모님들이,2
너무 베테랑이라,2
베테랑이라 주문도,2
주문도 빠르고,2
빠르고 음식도,2
음식도 꼬이지,2
꼬이지 않아서,2
않아서 편하게,2
편하게 식사할,2
식사할 있었어요,2
있었어요 합정에서,2
합정에서 보쌈,2
보쌈 드시고,2
드시고 싶으신,2
싶으신 분들께,2
분들께 자신,2
자신 있게,2
