term,count
너무,377
EMO_POS,274
맛있어요,216
진짜,112
맛있게,112
맛있고,102
정말,88
좋아요,87
좋고,74
먹고,73
고기,73
고기도,60
웨이팅,52
분위기도,51
있어서,48
많이,47
맛이,46
많고,46
먹을,46
좋았어요,45
맛있습니다,45
다른,43
좋은,43
맛있어서,42
직원분들도,41
고기가,41
맛있었어요,41
같이,40
양도,39
없이,38
깔끔하고,38
맛집,36
맛도,36
맛은,36
계속,35
성수,35
특히,34
바로,34
친절하시고,33
음식도,33
조금,33
다음에,33
엄청,32
음식,32
분위기,32
맛있네요,31
양이,31
먹었는데,30
않고,30
먹는,30
감자탕,30
맛있는,30
오랜만에,29
먹기,28
왔는데,28
고기는,27
다시,26
완전,26
하고,25
메뉴,25
홍대,25
처음,25
갔는데,24
아주,24
보쌈,23
부드럽고,23
정도,23
기분,22
있고,22
음식이,22
먹으러,21
제일,21
매장,21
많아서,21
웨이팅이,21
왔어요,20
먹으면,20
자주,20
갑니다,20
함께,20
아니라,19
간이,19
나오는,19
좋아서,19
가게,19
맛있음,19
가성비,19
평일,19
맛을,19
너무너무,19
곱창,18
추천,18
직원,18
저는,18
메뉴도,18
하는,18
역시,18
국물이,18
점심,18
재방문,18
같습니다,18
한번,18
좋았습니다,17
것도,17
시간,17
좋네요,17
이렇게,17
항상,17
그래도,17
해서,17
맛있어용,17
직접,17
사람이,16
잡내,16
하나,16
외국인,16
여기,16
올게요,16
구워주셔서,16
서비스,16
맛나요,16
모두,16
없고,15
미나리,15
살짝,15
먹은,15
손님이,15
사람,15
곰탕,15
편하게,15
이런,15
삼겹살,15
와서,15
같은,14
약간,14
있었어요,14
느낌,14
전체적으로,14
금방,14
볶음밥도,14
닭갈비,14
친절하셔서,14
대기,14
특별한,14
국물,14
맛이에요,14
많아요,14
매장도,14
방문,14
볶음밥,14
무조건,14
매우,14
가격이,14
줄이,13
친절하고,13
일단,13
가서,13
다들,13
주문,13
중에,13
김치,13
좋습니다,13
나와서,13
많은,13
거의,13
없습니다,13
맛과,13
먼저,13
친구들이랑,13
입장,13
반찬,13
김치가,13
좋게,13
시켰는데,13
육회비빔밥,13
양은,13
성수동,13
다만,13
방문할,13
칼국수는,12
별로,12
여기는,12
있어,12
향이,12
그런지,12
김치도,12
추천드려요,12
방문했는데,12
친절하세요,12
성수에서,12
막걸리,12
오면,12
좋아용,11
유명한,11
리뷰,11
손님,11
있는데,11
맛있었습니다,11
밥이,11
가격도,11
근처,11
드세요,11
식사,11
국물도,11
깔끔한,11
방문했어요,11
전에,11
사장님도,11
추천합니다,11
생각보다,11
직원분들이,11
평냉,11
맛있는데,11
친절해요,11
많은데,11
굳이,10
친구랑,10
아니고,10
칼국수,10
방문했습니다,10
음식은,10
싶은,10
직원분들,10
때문에,10
아님,10
곳이에요,10
오히려,10
생각이,10
않음,10
보쌈이,10
녹두전,10
정도로,10
분들,10
묵은지,10
메뉴가,10
감사합니다,10
조합이,10
했는데,10
개인적으로,10
뼈탄집,10
솔직히,10
분위기가,10
오늘,10
반찬도,10
여전히,10
비해,10
편하고,10
주말,10
고기를,10
최고,10
들어간,10
강추,10
때마다,9
즐길,9
두부가,9
제대로,9
밑반찬도,9
분들도,9
한식,9
가격에,9
파스타,9
좋을,9
무슨,9
좋아하는,9
없음,9
기분이,9
해도,9
이상,9
국밥,9
좋았고,9
다음에도,9
많았어요,9
홍대에서,9
웨이팅은,9
그렇게,9
만족스러운,9
미리,9
곳인데,9
가장,9
의사,9
저녁,9
다양해서,9
소스가,9
무엇보다,9
제가,9
고기랑,9
11시,9
느낌이,9
부드러운,9
안주도,9
적당히,9
보고,8
오늘은,8
하나도,8
예전에,8
곳이라,8
메뉴는,8
방문하고,8
양념이,8
알고,8
