platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,review_original,review_sentiment,has_emo_pos,has_emo_neg,has_laugh,has_cry,has_exclamation,has_question,has_number,original_char_len,knu_sentiment_score,knu_total_polarity,knu_matched_count,knu_matched_terms,custom_sentiment_score,custom_total_polarity,custom_matched_count,custom_matched_terms,selected_match_count,raw_candidate_count,removed_overlap_count,food_score_raw,food_matched_count,food_score_norm,price_score_raw,price_matched_count,price_score_norm,service_score_raw,service_matched_count,service_score_norm,atmosphere_score_raw,atmosphere_matched_count,atmosphere_score_norm,final_score_w03,final_score_w05,final_score_w10,final_sentiment_score,final_sentiment_label,zero_reason,trust_weight_available,trust_weight,trust_level,trust_adjusted_sentiment_score,custom_matched_terms_readable,knu_matched_terms_readable
naver,각시보쌈,발챙이,19.0,2026.02.08,1번째 방문,예약,말이 안 되는 푸짐함이에요. 참치김치찌개는 좀 양이 많은 것 같기도 해서 1인은 절반만 주셔도 될 것 같긴 한데. 특히 여성분이면 쯔양 같은 사람 아니면 분명히 다 못 먹을 듯. 오래 장사하셨으니까 이것도 이유가 있는 거겠죠? 항상 사람이 많아서 대기는 조금 하셔야 될 수도 있어요.,158,True,,,,말이 안 되는 푸짐함이에요. 참치김치찌개는 좀 양이 많은 것 같기도 해서 1인은 절반만 주셔도 될 것 같긴 한데. 특히 여성분이면 쯔양 같은 사람 아니면 분명히 다 못 먹을 듯. 오래 장사하셨으니까 이것도 이유가 있는 거겠죠? 항상 사람이 많아서 대기는 조금 하셔야 될 수도 있어요.,말이 안 되는 푸짐함이에요 참치김치찌개는 좀 양이 많은 것 같기도 해서 1인은 절반만 주셔도 될 것 같긴 한데 특히 여성분이면 쯔양 같은 사람 아니면 분명히 다 못 먹을 듯 오래 장사하셨으니까 이것도 이유가 있는 거겠죠 QUESTION 항상 사람이 많아서 대기는 조금 하셔야 될 수도 있어요,0,0,0,0,0,1,1,158,0.0,0.0,3,안 되:-1:knu_word_root:w0.65:ctx1.0:adj-0.65; 사람:1:knu_word_root:w0.65:ctx-1.0:adj-0.65; 아니:-2:knu_word_root:w0.65:ctx-1.0:adj1.3,0.0,0.0,0,,3,3,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,polarity_cancelled,0,1.0,not_available,0.0,,"안 되(KNU 어근, 부정(-1), 사전가중 0.65, 기본, 반영 -0.65) / 사람(KNU 어근, 긍정(+1), 사전가중 0.65, 반전(-1배), 반영 -0.65) / 아니(KNU 어근, 부정(-2), 사전가중 0.65, 반전(-1배), 반영 +1.30)"
naver,각시보쌈,넬리코아,1546.0,2025.11.11,2번째 방문,영수증,맛있어요~ 단맛이 좀 나는 김치. 저는 좋아요,25,True,,,,맛있어요~ 단맛이 좀 나는 김치. 저는 좋아요,맛있어요 단맛이 좀 나는 김치 저는 좋아요,0,0,0,0,0,0,0,25,-0.25,-0.5,1,저는:-1:knu_word:w1.0:ctx0.5:adj-0.5,0.5,1.5,2,맛있어요:food:1:manual_custom_dict:ctx1.0:adj1.0; 좋아요:food:1:manual_custom_dict:ctx0.5:adj0.5,3,5,2,1.5,2,0.75,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.1,0.0,0.25,0.0,neutral_mixed,polarity_cancelled,0,1.0,not_available,0.0,"맛있어요(음식, 긍정(+1), 수동 보완사전, 기본, 반영 +1.00) / 좋아요(음식, 긍정(+1), 수동 보완사전, 약화(0.5배), 반영 +0.50)","저는(KNU 원표현, 부정(-1), 사전가중 1.0, 약화(0.5배), 반영 -0.50)"
naver,각시보쌈,백수인,1607.0,2025.07.29,11번째 방문,영수증,좋은 식당인데 너무 많이 와서 질려버림..^^ 거의 20번 온 입장에서 이제 와서 어렵게 쓴소리하자면 처음부터 후기 쓰는 오늘까지 여전히 전 직원이 불친절합니다. 저물어간 한때 영광인 놀부 보쌈이 될 것인가,115,True,,,,좋은 식당인데 너무 많이 와서 질려버림..^^ 거의 20번 온 입장에서 이제 와서 어렵게 쓴소리하자면 처음부터 후기 쓰는 오늘까지 여전히 전 직원이 불친절합니다. 저물어간 한때 영광인 놀부 보쌈이 될 것인가,좋은 식당인데 너무 많이 와서 질려버림 거의 20번 온 입장에서 이제 와서 어렵게 쓴소리하자면 처음부터 후기 쓰는 오늘까지 여전히 전 직원이 불친절합니다 저물어간 한때 영광인 놀부 보쌈이 될 것인가,0,0,0,0,0,0,1,115,0.0,0.0,2,어렵게:-2:knu_word:w1.0:ctx1.0:adj-2.0; 영광:2:knu_word:w1.0:ctx1.0:adj2.0,0.0,0.0,2,좋은:food:1:manual_custom_dict:ctx1.0:adj1.0; 불친절:service:-1:manual_custom_dict:ctx1.0:adj-1.0,4,7,3,1.0,1,1.0,0.0,0,0.0,-1.0,1,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,polarity_cancelled,0,1.0,not_available,0.0,"좋은(음식, 긍정(+1), 수동 보완사전, 기본, 반영 +1.00) / 불친절(서비스, 부정(-1), 수동 보완사전, 기본, 반영 -1.00)","어렵게(KNU 원표현, 부정(-2), 사전가중 1.0, 기본, 반영 -2.00) / 영광(KNU 원표현, 긍정(+2), 사전가중 1.0, 기본, 반영 +2.00)"
naver,각시보쌈,00000053493,1294.0,2025.06.27,1번째 방문,영수증,뭐 두말이 필요없는 검증된 맛집. 입소문이 나면서 예전 단골들은 대기 때문에 이젠 자주가기가 어려워 졌지만 그래도 음식으로는 깔게없네요. 다만 내부는 에어컨을 돌리면서 문을 열어놔서 그런지 많이 덥습니다.,114,False,,,,뭐 두말이 필요없는 검증된 맛집. 입소문이 나면서 예전 단골들은 대기 때문에 이젠 자주가기가 어려워 졌지만 그래도 음식으로는 깔게없네요. 다만 내부는 에어컨을 돌리면서 문을 열어놔서 그런지 많이 덥습니다.,뭐 두말이 필요없는 검증된 맛집 입소문이 나면서 예전 단골들은 대기 때문에 이젠 자주가기가 어려워 졌지만 그래도 음식으로는 깔게없네요 다만 내부는 에어컨을 돌리면서 문을 열어놔서 그런지 많이 덥습니다,0,0,0,0,0,0,0,114,0.0,0.0,2,맛집:2:knu_word:w1.0:ctx0.7:adj1.4; 어려워:-2:knu_word:w1.0:ctx0.7:adj-1.4,0.0,0.0,0,,2,2,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,polarity_cancelled,0,1.0,not_available,0.0,,"맛집(KNU 원표현, 긍정(+2), 사전가중 1.0, 약화(0.7배), 반영 +1.40) / 어려워(KNU 원표현, 부정(-2), 사전가중 1.0, 약화(0.7배), 반영 -1.40)"
naver,락희옥 마포본점,oeeat,174.0,2025.09.01,1번째 방문,영수증,음식이 너무 맛있어요 간이 세지 않아서 좋아요 위스키 콜키지도 너무 좋네요 재방문의사 많습니다,52,True,,,,음식이 너무 맛있어요 간이 세지 않아서 좋아요 위스키 콜키지도 너무 좋네요 재방문의사 많습니다,음식이 너무 맛있어요 간이 세지 않아서 좋아요 위스키 콜키지도 너무 좋네요 재방문의사 많습니다,0,0,0,0,0,0,0,52,0.0,0.0,0,,0.0,0.0,4,맛있어요:food:1:manual_custom_dict:ctx-1.5:adj-1.5; 좋아요:food:1:manual_custom_dict:ctx-1.5:adj-1.5; 좋네요:food:1:manual_custom_dict:ctx1.5:adj1.5; 재방문:service:1:extra_zero_fix:ctx1.5:adj1.5,4,6,2,-1.5,3,-0.5,0.0,0,0.0,1.5,1,1.5,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,polarity_cancelled,0,1.0,not_available,0.0,"맛있어요(음식, 긍정(+1), 수동 보완사전, 반전(-1.5배), 반영 -1.50) / 좋아요(음식, 긍정(+1), 수동 보완사전, 반전(-1.5배), 반영 -1.50) / 좋네요(음식, 긍정(+1), 수동 보완사전, 강화(1.5배), 반영 +1.50) / 재방문(서비스, 긍정(+1), 0점 보완표현, 강화(1.5배), 반영 +1.50)",
naver,옥동식,vnvn1001,9.0,2025.08.25,1번째 방문,예약,웨이팅 해서 먹을 맛이나 경험은 절대 아닌 거 같아요 ㅎㅎ 미쉐린 받았대서 갔는데 털 정리도 안 된 걸 먹을 줄이야.. 맛은 깔끔도 아니고 슴슴도 아니고 오히려 좀 기름진? 맛이네요. 김치는 평범하고 고추지는 음식에 비해 너무 자극적이라서 밸런스도 안 맞는 느낌이고..,150,True,,,,웨이팅 해서 먹을 맛이나 경험은 절대 아닌 거 같아요 ㅎㅎ 미쉐린 받았대서 갔는데 털 정리도 안 된 걸 먹을 줄이야.. 맛은 깔끔도 아니고 슴슴도 아니고 오히려 좀 기름진? 맛이네요. 김치는 평범하고 고추지는 음식에 비해 너무 자극적이라서 밸런스도 안 맞는 느낌이고..,웨이팅 해서 먹을 맛이나 경험은 절대 아닌 거 같아요 미쉐린 받았대서 갔는데 털 정리도 안 된 걸 먹을 줄이야 맛은 깔끔도 아니고 슴슴도 아니고 오히려 좀 기름진 QUESTION 맛이네요 김치는 평범하고 고추지는 음식에 비해 너무 자극적이라서 밸런스도 안 맞는 느낌이고,0,0,0,0,0,1,0,150,0.0,0.0,2,아니:-2:knu_word_root:w0.65:ctx-1.0:adj1.3; 아니:-2:knu_word_root:w0.65:ctx1.0:adj-1.3,0.0,0.0,0,,2,2,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,polarity_cancelled,0,1.0,not_available,0.0,,"아니(KNU 어근, 부정(-2), 사전가중 0.65, 반전(-1배), 반영 +1.30) / 아니(KNU 어근, 부정(-2), 사전가중 0.65, 기본, 반영 -1.30)"
naver,옥동식,맛집지도쏘쏘,450.0,2025.08.10,1번째 방문,영수증,일요일 오전 11시30분 캐치테이블로 예약하고 43번째였는데 1시40분에 들어갔습니다 (2시간10분 걸림) 중간중간 온라인 예약도 인원이 많으면 마감되더라고요 뉴욕 매장 티비로 보다가 궁금해서 방문했고 국물이 맑은게 우리가 흔히아는 부산 돼지국밥과는 다른 맛이었고 국물 오묘하니 맛있었습니다 김치만두는 평범했고 아쉬운 점은 밥이 너무 덜익은 것같았어요. 국물에 토렴해서 주시니 퍼질것을 예상하고 지은 밥 인듯 한데 엄마랑 저에겐 좀 딱딱하게 느껴졌습니다. 고기는 부드럽고 얇고 특히 양념장이 정말 개운하게 느끼함을 잡아주었습니다 :),298,True,,,,일요일 오전 11시30분 캐치테이블로 예약하고 43번째였는데 1시40분에 들어갔습니다 (2시간10분 걸림) 중간중간 온라인 예약도 인원이 많으면 마감되더라고요 뉴욕 매장 티비로 보다가 궁금해서 방문했고 국물이 맑은게 우리가 흔히아는 부산 돼지국밥과는 다른 맛이었고 국물 오묘하니 맛있었습니다 김치만두는 평범했고 아쉬운 점은 밥이 너무 덜익은 것같았어요. 국물에 토렴해서 주시니 퍼질것을 예상하고 지은 밥 인듯 한데 엄마랑 저에겐 좀 딱딱하게 느껴졌습니다. 고기는 부드럽고 얇고 특히 양념장이 정말 개운하게 느끼함을 잡아주었습니다 :),일요일 오전 11시30분 캐치테이블로 예약하고 43번째였는데 1시40분에 들어갔습니다 2시간10분 걸림 중간중간 온라인 예약도 인원이 많으면 마감되더라고요 뉴욕 매장 티비로 보다가 궁금해서 방문했고 국물이 맑은게 우리가 흔히아는 부산 돼지국밥과는 다른 맛이었고 국물 오묘하니 맛있었습니다 김치만두는 평범했고 아쉬운 점은 밥이 너무 덜익은 것같았어요 국물에 토렴해서 주시니 퍼질것을 예상하고 지은 밥 인듯 한데 엄마랑 저에겐 좀 딱딱하게 느껴졌습니다 고기는 부드럽고 얇고 특히 양념장이 정말 개운하게 느끼함을 잡아주었습니다,0,0,0,0,0,0,1,298,-0.3125,-2.5,7,약하고:-1:knu_word:w1.0:ctx1.0:adj-1.0; 분에:-2:knu_word:w1.0:ctx1.0:adj-2.0; 고요:1:knu_word_root:w0.65:ctx1.0:adj0.65; 부산:-1:knu_word_root:w0.65:ctx1.0:adj-0.65; 상하고:-2:knu_word:w1.0:ctx1.0:adj-2.0; 딱하게:-1:knu_word:w1.0:ctx0.5:adj-0.5; 개운하게:2:knu_word:w1.0:ctx1.5:adj3.0,0.625,2.5,3,맑은:food:1:manual_custom_dict:ctx1.0:adj1.0; 맛있었습니다:food:1:manual_custom_dict:ctx1.0:adj1.0; 부드럽고:food:1:manual_custom_dict:ctx0.5:adj0.5,10,17,7,2.5,3,0.8333333333333334,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.125,0.0,0.3125,0.0,neutral_mixed,polarity_cancelled,0,1.0,not_available,0.0,"맑은(음식, 긍정(+1), 수동 보완사전, 기본, 반영 +1.00) / 맛있었습니다(음식, 긍정(+1), 수동 보완사전, 기본, 반영 +1.00) / 부드럽고(음식, 긍정(+1), 수동 보완사전, 약화(0.5배), 반영 +0.50)","약하고(KNU 원표현, 부정(-1), 사전가중 1.0, 기본, 반영 -1.00) / 분에(KNU 원표현, 부정(-2), 사전가중 1.0, 기본, 반영 -2.00) / 고요(KNU 어근, 긍정(+1), 사전가중 0.65, 기본, 반영 +0.65) / 부산(KNU 어근, 부정(-1), 사전가중 0.65, 기본, 반영 -0.65) / 상하고(KNU 원표현, 부정(-2), 사전가중 1.0, 기본, 반영 -2.00) / 딱하게(KNU 원표현, 부정(-1), 사전가중 1.0, 약화(0.5배), 반영 -0.50) / 개운하게(KNU 원표현, 긍정(+2), 사전가중 1.0, 강화(1.5배), 반영 +3.00)"
naver,옥동식,sr10,25.0,2025.07.28,1번째 방문,영수증,밥짓는방법이특이함 설익은밥을불려먹는곳인듯 설익은밥좋아하시는분은 좋아하실듯 밥이아니라 쌀이씹힘,51,True,,,,밥짓는방법이특이함 설익은밥을불려먹는곳인듯 설익은밥좋아하시는분은 좋아하실듯 밥이아니라 쌀이씹힘,밥짓는방법이특이함 설익은밥을불려먹는곳인듯 설익은밥좋아하시는분은 좋아하실듯 밥이아니라 쌀이씹힘,0,0,0,0,0,0,0,51,0.0,0.0,2,좋아:2:knu_word:w1.0:ctx1.0:adj2.0; 좋아:2:knu_word:w1.0:ctx-1.0:adj-2.0,0.0,0.0,0,,2,2,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,polarity_cancelled,0,1.0,not_available,0.0,,"좋아(KNU 원표현, 긍정(+2), 사전가중 1.0, 기본, 반영 +2.00) / 좋아(KNU 원표현, 긍정(+2), 사전가중 1.0, 반전(-1배), 반영 -2.00)"
naver,원조 조박집 본관,emj****,21.0,2026.04.08,1번째 방문,영수증,양념 맛이 강하지 않고 고기 질도 좋은 편입니다. 된장찌개가 아니라 국이지만 천원이라 좋습니다. 식후 주시는 식혜가 찐 맛도리입니다.,74,True,,,,양념 맛이 강하지 않고 고기 질도 좋은 편입니다. 된장찌개가 아니라 국이지만 천원이라 좋습니다. 식후 주시는 식혜가 찐 맛도리입니다.,양념 맛이 강하지 않고 고기 질도 좋은 편입니다 된장찌개가 아니라 국이지만 천원이라 좋습니다 식후 주시는 식혜가 찐 맛도리입니다,0,0,0,0,0,0,0,74,-0.5,-1.0,1,하지 않고:-1:knu_word:w1.0:ctx1.0:adj-1.0,1.0,3.0,2,좋은:food:1:manual_custom_dict:ctx1.0:adj1.0; 맛도리:food:2:manual_custom_dict:ctx1.0:adj2.0,3,6,3,3.0,2,1.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-0.2,0.0,0.5,0.0,neutral_mixed,polarity_cancelled,0,1.0,not_available,0.0,"좋은(음식, 긍정(+1), 수동 보완사전, 기본, 반영 +1.00) / 맛도리(음식, 긍정(+2), 수동 보완사전, 기본, 반영 +2.00)","하지 않고(KNU 원표현, 부정(-1), 사전가중 1.0, 기본, 반영 -1.00)"
naver,원조 조박집 본관,AAPL19,1077.0,2025.12.06,1번째 방문,영수증,부일갈비급은 아니지만 달달한 갈비 좋아하면 먹고믿을만한 맛임,33,True,,,,부일갈비급은 아니지만 달달한 갈비 좋아하면 먹고믿을만한 맛임,부일갈비급은 아니지만 달달한 갈비 좋아하면 먹고믿을만한 맛임,0,0,0,0,0,0,0,33,0.0,0.0,2,아니:-2:knu_word_root:w0.65:ctx1.0:adj-1.3; 좋아하:2:knu_word_root:w0.65:ctx1.0:adj1.3,0.0,0.0,0,,2,3,1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,polarity_cancelled,0,1.0,not_available,0.0,,"아니(KNU 어근, 부정(-2), 사전가중 0.65, 기본, 반영 -1.30) / 좋아하(KNU 어근, 긍정(+2), 사전가중 0.65, 기본, 반영 +1.30)"
