word,pos,freq,score,weight_true,note
가꾸다,Verb,1,,,
가다,Verb,910,,,
가려지다,Verb,1,,,
가르다,Verb,4,,,
가르치다,Verb,1,,,
가리다,Verb,5,,,
가리키다,Verb,2,,,
가버리다,Verb,4,,,
가보다,Verb,113,,,
가시다,Verb,16,,,
가져가다,Verb,17,,,
가져다주다,Verb,12,,,
가져오다,Verb,7,,,
가지다,Verb,11,,,
가하다,Verb,1,,,
갇히다,Verb,3,,,
갈다,Verb,179,,,
갈라지다,Verb,2,,,
갈리다,Verb,6,,,
감다,Verb,22,,,
감사하다,Verb,68,2,,
감싸다,Verb,1,,,
감추다,Verb,1,,,
갖다,Verb,16,,,
갖추다,Verb,7,,,
개다,Verb,11,,,
거들다,Verb,3,,,
거슬리다,Verb,7,-1,,
거치다,Verb,5,,,
건네주다,Verb,3,,,
건지다,Verb,67,,,
걷다,Verb,7,,,
걸다,Verb,44,,,
걸리다,Verb,37,,,
걸어가다,Verb,2,,,
걸어오다,Verb,4,,,
걸치다,Verb,6,,,
겁나다,Verb,11,,,
겁니다,Verb,8,,,
겠다,Verb,10,,,
겪다,Verb,5,,,
견디다,Verb,5,,,
곁들이다,Verb,57,,,
고르다,Verb,28,,,
고치다,Verb,2,,,
구르다,Verb,1,,,
굴러가다,Verb,1,,,
굶다,Verb,1,,,
굶주리다,Verb,1,,,
굽다,Verb,387,,,
권하다,Verb,2,,,
그려지다,Verb,2,,,
그리다,Verb,21,,,
그치다,Verb,8,,,
긁다,Verb,9,,,
긋다,Verb,27,,,
기다,Verb,126,,,
기다리다,Verb,293,,,
기대다,Verb,7,,,
기르다,Verb,17,,,
기억나다,Verb,2,,,
기울이다,Verb,1,,,
길어지다,Verb,5,,,
까먹다,Verb,3,,,
깎다,Verb,7,,,
깔다,Verb,42,,,
깔리다,Verb,5,,,
깨끗해지다,Verb,1,,,
깨다,Verb,2,,,
깨부수다,Verb,1,,,
깨지다,Verb,3,,,
꺼내다,Verb,1,,,
꺼리다,Verb,3,,,
꺼지다,Verb,2,,,
껵다,Verb,1,,,
꼽히다,Verb,1,,,
꽂다,Verb,2,,,
꽂히다,Verb,3,,,
꽉차다,Verb,11,,,
꾸다,Verb,7,,,
꾸미다,Verb,5,,,
꿈꾸다,Verb,1,,,
끄다,Verb,87,,,
끄덕이다,Verb,1,,,
끊기다,Verb,2,,,
끊다,Verb,4,,,
끊어지다,Verb,7,,,
끌다,Verb,2,,,
끌리다,Verb,4,,,
끓다,Verb,8,,,
끓이다,Verb,44,,,
끝나다,Verb,23,,,
끝내다,Verb,3,,,
끼다,Verb,13,,,
끼우다,Verb,1,,,
끼치다,Verb,1,,,
낄낄대다,Verb,1,,,
나가다,Verb,44,,,
나누다,Verb,22,,,
나뉘다,Verb,2,,,
나다,Verb,285,,,
나르다,Verb,5,,,
나무라다,Verb,1,,,
나빠지다,Verb,1,,,
나서다,Verb,52,,,
나아지다,Verb,2,,,
나오다,Verb,795,,,
날다,Verb,7,,,
날리다,Verb,3,,,
날아가다,Verb,1,,,
날아다니다,Verb,1,,,
남기다,Verb,54,,,
남다,Verb,71,,,
낫다,Verb,6,,,
낮추다,Verb,2,,,
낳다,Verb,2,,,
내놓다,Verb,7,,,
내다,Verb,83,,,
내려가다,Verb,4,,,
내려놓다,Verb,7,,,
내려오다,Verb,3,,,
내려지다,Verb,1,,,
내리다,Verb,10,,,
내미다,Verb,2,,,
내뱉다,Verb,2,,,
내보내다,Verb,1,,,
내주다,Verb,8,,,
널다,Verb,2,,,
넘기다,Verb,5,,,
넘다,Verb,427,,,
넘어가다,Verb,19,,,
넘어서다,Verb,15,,,
넘어오다,Verb,1,,,
넣다,Verb,124,,,
노려보다,Verb,1,,,
노리다,Verb,1,,,
녹다,Verb,36,,,
녹아내리다,Verb,2,,,
녹이다,Verb,1,,,
놀다,Verb,49,,,
놀라다,Verb,56,,,
높아지다,Verb,2,,,
높이다,Verb,3,,,
놓다,Verb,34,,,
놓이다,Verb,3,,,
놓치다,Verb,1,,,
누르다,Verb,21,,,
누리다,Verb,17,,,
눈감다,Verb,1,,,
눈뜨다,Verb,1,,,
눈물나다,Verb,2,,,
느껴지다,Verb,140,,,
느끼다,Verb,158,,,
늘다,Verb,67,,,
늘리다,Verb,3,,,
늘어나다,Verb,6,,,
늘어서다,Verb,1,,,
늙다,Verb,1,,,
늦다,Verb,65,,,
늦어지다,Verb,1,,,
늦추다,Verb,1,,,
다가오다,Verb,6,,,
다녀가다,Verb,5,,,
다녀오다,Verb,78,,,
다니다,Verb,48,,,
