후보표현,등장횟수,추출유형,품사정보,후보역할,자동제안라벨,측면,감성값,자동사용제안,최종사용여부,메모
맛있다,4859,Okt 단일 감성표현,Adjective,감성후보,긍정,음식,1,1,,
좋다,3062,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
너무 맛있다,1016,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,, / 최종수정
친절하다,919,Okt 단일 감성표현,Adjective,감성후보,긍정,서비스,1,1,, / 최종수정
맛집,628,Okt 단일 감성표현,Noun,감성후보,긍정,일반,1,1,,
추천,520,Okt 단일 감성표현,Noun,감성후보,긍정,일반,1,1,,
깔끔하다,484,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
너무 좋다,425,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
부드럽다,321,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
분위기 좋다,315,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
최고,295,Okt 단일 감성표현,Noun,감성후보,긍정,일반,2,1,,
편하다,247,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
진짜 맛있다,210,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,, / 최종수정
괜찮다,205,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
정말 맛있다,196,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
너무 친절하다,169,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
넓다,154,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
음식 맛있다,143,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
고소하다,131,Okt 단일 감성표현,Adjective,감성후보,긍정,음식,1,1,,
담백하다,126,Okt 단일 감성표현,Adjective,감성후보,긍정,음식,1,1,,
만족스럽다,125,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
신선하다,120,Okt 단일 감성표현,Adjective,감성후보,긍정,음식,1,1,,
고기 맛있다,115,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
강추,101,Okt 단일 감성표현,Noun,감성후보,긍정,일반,2,1,,
정갈하다,100,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
존맛,90,Okt 단일 감성표현,Noun,감성후보,긍정,일반,2,1,,
만족하다,79,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
빠르다,77,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
직원 친절하다,76,Okt 2어절 감성표현,,감성후보,긍정,서비스,1,1,,
만족,71,Okt 단일 감성표현,Noun,감성후보,긍정,일반,1,1,,
고기 부드럽다,66,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
든든하다,65,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
깨끗하다,61,Okt 단일 감성표현,Adjective,감성후보,긍정,분위기,1,1,, / 최종수정
훌륭하다,57,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,2,1,,
넉넉하다,56,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
매장 넓다,55,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
대박,51,Okt 단일 감성표현,Noun,감성후보,긍정,일반,2,1,,
쾌적하다,51,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
친절,49,Okt 단일 감성표현,Noun,감성후보,긍정,일반,1,1,,
싸다,49,Okt 단일 감성표현,Verb,감성후보,긍정,가격,1,1,,
맛있다 좋다,46,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
안주 맛있다,41,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
완벽하다,40,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,2,1,,
김치 맛있다,40,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
대기 없이,39,Okt 2어절 감성표현,,감성후보,긍정,서비스,1,1,,
정말 좋다,39,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
엄청나다,38,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,, / 최종수정
사장 친절하다,36,Okt 2어절 감성표현,,감성후보,긍정,서비스,1,1,,
저렴하다,34,Okt 단일 감성표현,Adjective,감성후보,긍정,가격,1,1,,
나쁘다 않다,34,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
굿굿,33,Okt 단일 감성표현,Noun,감성후보,긍정,일반,1,1,,
엄청 맛있다,33,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
완전 맛있다,31,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
음식 깔끔하다,29,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
매장 깔끔하다,29,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
청결하다,28,Okt 단일 감성표현,Adjective,감성후보,긍정,분위기,1,1,,
반찬 맛있다,27,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
신선하다 맛있다,25,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
국물 진하다,25,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
느끼하다 않다,23,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
끝내주다,22,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,2,1,, / 최종수정
너무 부드럽다,22,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
정말 친절하다,22,Okt 2어절 감성표현,,감성후보,긍정,서비스,1,1,, / 최종수정
국물 깔끔하다,22,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
서비스 좋다,21,Okt 2어절 감성표현,,감성후보,긍정,서비스,1,1,,
완전 추천,21,Okt 2어절 감성표현,,감성후보,긍정,일반,2,1,,
엄청 친절하다,21,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
소스 맛있다,20,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
메뉴 맛있다,20,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
고기 좋다,19,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
보쌈 맛있다,17,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
비빔밥 맛있다,17,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
재료 신선하다,16,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
진짜 최고,16,Okt 2어절 감성표현,,감성후보,긍정,일반,2,1,,
너무 깔끔하다,16,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
분위기 깔끔하다,16,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
식감 좋다,15,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
양념 맛있다,15,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
시끄럽다 않다,15,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
가격 착하다,15,Okt 2어절 감성표현,,감성후보,긍정,가격,1,1,,
매장 쾌적하다,15,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
엄청 부드럽다,14,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
너무 편하다,14,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
매장 깨끗하다,13,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
자리 넓다,13,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
진짜 좋다,13,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
너무 만족스럽다,13,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
반찬 깔끔하다,12,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
음식 좋다,12,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
고기 신선하다,12,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
담백하다 맛있다,12,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
너무 만족하다,11,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
맛있다 깔끔하다,11,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
볶음밥 맛있다,11,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
파스타 맛있다,11,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
내부 넓다,10,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
정말 깔끔하다,10,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
고소하다 맛있다,10,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
삼겹살 맛있다,10,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
감자탕 맛있다,10,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
밑반찬 맛있다,10,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
진짜 맛집,9,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
맛있다 강추,9,Okt 2어절 감성표현,,감성후보,긍정,일반,2,1,,
감칠맛 좋다,9,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
진짜 부드럽다,9,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
진짜 존맛,9,Okt 2어절 감성표현,,감성후보,긍정,일반,2,1,,
김치 좋다,8,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
정말 최고,8,Okt 2어절 감성표현,,감성후보,긍정,일반,2,1,,
반찬 다양하다,8,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
가격 저렴하다,8,Okt 2어절 감성표현,,감성후보,긍정,가격,1,1,,
매우 친절하다,8,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
매우 좋다,8,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
가격 괜찮다,8,Okt 2어절 감성표현,,감성후보,긍정,가격,1,1,,
정말 부드럽다,8,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
돼지갈비 맛있다,8,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
맛있다 최고,8,Okt 2어절 감성표현,,감성후보,긍정,일반,2,1,,
인테리어 깔끔하다,8,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
닭갈비 맛있다,8,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
국물 맛있다,8,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
꿀맛,7,Okt 단일 감성표현,Noun,감성후보,긍정,일반,1,1,,
음식 괜찮다,7,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
김치찌개 맛있다,7,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
찌개 맛있다,7,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
국물 좋다,7,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
국물 시원하다,7,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
매우 맛있다,7,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
국물 깊다,7,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
갈비 맛있다,7,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
엄청 좋다,7,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
내부 깔끔하다,7,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
신선하다 좋다,7,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
완전 친절하다,7,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
엄청 넓다,7,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
맛있다 맛있다,7,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
딱좋다,6,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
짱짱,6,Okt 단일 감성표현,Noun,감성후보,긍정,일반,1,1,,
개존맛,6,Okt 단일 감성표현,Noun,감성후보,긍정,일반,2,1,,
공간 넓다,6,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
밑반찬 깔끔하다,6,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
분위기 아늑하다,6,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
냄새 없이,6,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
데이트 좋다,6,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
곰탕 맛있다,6,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
정말 만족스럽다,6,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
육회 맛있다,6,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
완전 좋다,6,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
완전 강추,6,Okt 2어절 감성표현,,감성후보,긍정,일반,2,1,,
설렁탕 맛있다,6,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
매우 만족,5,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
보쌈 부드럽다,5,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
메뉴 추천,5,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
가격 싸다,5,Okt 2어절 감성표현,,감성후보,긍정,가격,1,1,,
완전 만족,5,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
냉면 맛있다,5,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
진짜 깔끔하다,5,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
완전 만족하다,5,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
진짜 추천,5,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
메뉴 좋다,5,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
성공하다,4,Okt 단일 감성표현,Adjective,감성후보,긍정,일반,1,1,,
간편하다,4,Okt 단일 감성표현,Adjective,감성후보,긍정,음식,1,1,,
존맛탱,4,Okt 단일 감성표현,Noun,감성후보,긍정,일반,2,1,,
가격 좋다,4,Okt 2어절 감성표현,,감성후보,긍정,가격,1,1,,
너무 추천,4,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
냄새 없다,4,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
담백하다 좋다,4,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
인테리어 좋다,4,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
데이트 추천,4,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
된장찌개 맛있다,4,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
담백하다 깔끔하다,4,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
매우 만족하다,4,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
너무 맛집,4,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
분위기 편하다,4,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
진짜 강추,4,Okt 2어절 감성표현,,감성후보,긍정,일반,2,1,,
고소하다 부드럽다,4,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
김치 최고,4,Okt 2어절 감성표현,,감성후보,긍정,음식,2,1,,
진짜 신선하다,4,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
너무 고소하다,4,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
맛있다 괜찮다,4,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
칼국수 맛있다,4,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
맛있다 맵다,4,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,, / 최종수정
주문 빠르다,3,Okt 2어절 감성표현,,감성후보,긍정,서비스,1,1,,
매우 훌륭하다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,2,1,,
보쌈 최고,3,Okt 2어절 감성표현,,감성후보,긍정,음식,2,1,,
완전 최고,3,Okt 2어절 감성표현,,감성후보,긍정,일반,2,1,,
보쌈 훌륭하다,3,Okt 2어절 감성표현,,감성후보,긍정,음식,2,1,,
너무 신선하다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
엄청 신선하다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
너무 정갈하다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
너무 괜찮다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
아쉽다 않다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
매우 부드럽다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
곰탕 깔끔하다,3,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
국밥 깔끔하다,3,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
테이블 넓다,3,Okt 2어절 감성표현,,감성후보,긍정,분위기,1,1,,
너무 깨끗하다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
고기 깔끔하다,3,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
기다림 없이,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
정말 추천,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
진짜 친절하다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
정말 만족하다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
완전 맛집,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
설렁탕 좋다,3,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
엄청 고소하다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
국물 최고,3,Okt 2어절 감성표현,,감성후보,긍정,음식,2,1,,
비빔밥 고소하다,3,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
비빔밥 추천,3,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
샐러드 맛있다,3,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
정말 신선하다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
고소하다 좋다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
간도 좋다,3,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
맛있다 부드럽다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
포장 추천,3,Okt 2어절 감성표현,,감성후보,긍정,서비스,1,1,,
정말 고소하다,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
김치 신선하다,3,Okt 2어절 감성표현,,감성후보,긍정,음식,1,1,,
매우 추천,3,Okt 2어절 감성표현,,감성후보,긍정,일반,1,1,,
가성비 미쳤다,0,수동 추가 감성표현,,감성후보,긍정,가격,2,1,,수동추가: 가성비 강한 긍정
돈값 하다,0,수동 추가 감성표현,,감성후보,긍정,가격,1,1,,수동추가: 가격 긍정
국물 얼큰하다,0,수동 추가 감성표현,,감성후보,긍정,음식,1,1,,수동추가: 음식 긍정
설명 자세하다,0,수동 추가 감성표현,,감성후보,긍정,서비스,1,1,,수동추가: 서비스 긍정
대처 좋다,0,수동 추가 감성표현,,감성후보,긍정,서비스,1,1,,수동추가: 서비스 긍정
추천드립니다,0,수동 추가 감성표현,,감성후보,긍정,일반,1,1,,수동추가: 추천 긍정
재방문 예정,0,수동 추가 감성표현,,감성후보,긍정,일반,2,1,,수동추가: 재방문 강한 긍정
또 갈게요,0,수동 추가 감성표현,,감성후보,긍정,일반,2,1,,수동추가: 재방문 강한 긍정
짜다,192,Okt 단일 감성표현,Verb,감성후보,부정,음식,-1,1,,
