word,category,polarity,score,,,,,,,,,,,,,,
별미,food,positive,2,,,,,,,,,,,,,,
부드럽다,food,positive,2,,,,,,,,,,,,,,
배부르다,food,positive,2,,,,,,,,,,,,,,
맛있다,food,positive,2,,,,,,,,,,,,,,
살살,food,positive,2,,,,,,,,,,,,,,
녹다,food,positive,2,,,,,,,,,,,,,,
야들야들,food,positive,2,,,,,,,,,,,,,,
고소하다,food,positive,2,,,,,,,,,,,,,,
환상,food,positive,2,,,,,,,,,,,,,,
궁합,food,positive,2,,,,,,,,,,,,,,
킥,food,positive,2,,,,,,,,,,,,,,
감동,food,positive,2,,,,,,,,,,,,,,
뚝딱,food,positive,2,,,,,,,,,,,,,,
적당하다,food,positive,1,,,,,,,,,,,,,,
최고,food,positive,2,,,,,,,,,,,,,,
만족스럽다,food,positive,2,,,,,,,,,,,,,,
알차다,food,positive,2,,,,,,,,,,,,,,
깔끔하다,food,positive,2,,,,,,,,,,,,,,
만족,food,positive,2,,,,,,,,,,,,,,
넉넉하다,food,positive,2,,,,,,,,,,,,,,
괜찮다,food,positive,1,,,,,,,,,,,,,,
달짝지근하다,food,positive,2,,,,,,,,,,,,,,
신선하다,food,positive,2,,,,,,,,,,,,,,
상큼,food,positive,2,,,,,,,,,,,,,,
정신없이,food,positive,1,,,,,,,,,,,,,,
자주,food,positive,1,,,,,,,,,,,,,,
건강하다,food,positive,2,,,,,,,,,,,,,,
위생,food,positive,2,,,,,,,,,,,,,,
색다르다,food,positive,2,,,,,,,,,,,,,,
비법,food,positive,1,,,,,,,,,,,,,,
굿굿,food,positive,2,,,,,,,,,,,,,,
질도,food,positive,1,,,,,,,,,,,,,,
양도,food,positive,1,,,,,,,,,,,,,,
끝내주다,food,positive,2,,,,,,,,,,,,,,
싱싱하다,food,positive,2,,,,,,,,,,,,,,
얼큰하다,food,positive,2,,,,,,,,,,,,,,
달콤하다,food,positive,2,,,,,,,,,,,,,,
곁들이다,food,positive,1,,,,,,,,,,,,,,
당기다,food,positive,2,,,,,,,,,,,,,,
눈물나다,food,positive,2,,,,,,,,,,,,,,
충분하다,food,positive,2,,,,,,,,,,,,,,
충만,food,positive,2,,,,,,,,,,,,,,
촉촉하다,food,positive,2,,,,,,,,,,,,,,
보드랍다,food,positive,2,,,,,,,,,,,,,,
미치다,food,positive,2,,,,,,,,,,,,,,
다양하다,food,positive,2,,,,,,,,,,,,,,
감탄,food,positive,2,,,,,,,,,,,,,,
편하다,food,positive,2,,,,,,,,,,,,,,
추천,food,positive,2,,,,,,,,,,,,,,
빠르다,food,positive,2,,,,,,,,,,,,,,
무척,food,positive,2,,,,,,,,,,,,,,
매우,food,positive,2,,,,,,,,,,,,,,
훌륭하다,food,positive,2,,,,,,,,,,,,,,
정갈하다,food,positive,2,,,,,,,,,,,,,,
인상,food,positive,1,,,,,,,,,,,,,,
어울리다,food,positive,2,,,,,,,,,,,,,,
야무지다,food,positive,2,,,,,,,,,,,,,,
여전하다,food,positive,2,,,,,,,,,,,,,,
담백하다,food,positive,2,,,,,,,,,,,,,,
쫀득쫀득한,food,positive,2,,,,,,,,,,,,,,
맛집,food,positive,2,,,,,,,,,,,,,,
인생,food,positive,2,,,,,,,,,,,,,,
압도,food,positive,2,,,,,,,,,,,,,,
존맛,food,positive,2,,,,,,,,,,,,,,
개존맛,food,positive,2,,,,,,,,,,,,,,
개굿,food,positive,2,,,,,,,,,,,,,,
굿,food,positive,2,,,,,,,,,,,,,,
크다,food,positive,2,,,,,,,,,,,,,,
뜨끈하다,food,positive,2,,,,,,,,,,,,,,
딱이다,food,positive,2,,,,,,,,,,,,,,
특색,food,positive,2,,,,,,,,,,,,,,
내공,food,positive,2,,,,,,,,,,,,,,
시원하다,food,positive,2,,,,,,,,,,,,,,
두툼하다,food,positive,2,,,,,,,,,,,,,,
충실하다,food,positive,2,,,,,,,,,,,,,,
두툼하다,food,positive,2,,,,,,,,,,,,,,
충실하다,food,positive,2,,,,,,,,,,,,,,
물질,food,negative,-2,,,,,,,,,,,,,,
흔하다,food,negative,-2,,,,,,,,,,,,,,
느끼하다,food,negative,-2,,,,,,,,,,,,,,
모호,food,negative,-2,,,,,,,,,,,,,,
아깝다,food,negative,-2,,,,,,,,,,,,,,
짜다,food,negative,-2,,,,,,,,,,,,,,
퍽퍽,food,negative,-2,,,,,,,,,,,,,,
적다,food,negative,-2,,,,,,,,,,,,,,
힘들다,food,negative,-2,,,,,,,,,,,,,,
부족하다,food,negative,-2,,,,,,,,,,,,,,
쿰쿰하다,food,negative,-2,,,,,,,,,,,,,,
비리다,food,negative,-2,,,,,,,,,,,,,,
배탈,food,negative,-2,,,,,,,,,,,,,,
심각하다,food,negative,-2,,,,,,,,,,,,,,
부실하다,food,negative,-2,,,,,,,,,,,,,,
달다,food,negative,-1,,,,,,,,,,,,,,
애매하다,food,negative,-2,,,,,,,,,,,,,,
의문,food,negative,-2,,,,,,,,,,,,,,
흐물흐물,food,negative,-2,,,,,,,,,,,,,,
차갑다,food,negative,-2,,,,,,,,,,,,,,
질김,food,negative,-2,,,,,,,,,,,,,,
질기다,food,negative,-2,,,,,,,,,,,,,,
미지근하다,food,negative,-2,,,,,,,,,,,,,,
맛있다,food,positive,1,,,,,,,,,,,,,,
너무 맛있다,food,positive,1,,,,,,,,,,,,,,
진짜 맛있다,food,positive,1,,,,,,,,,,,,,,
음식 맛있다,food,positive,1,,,,,,,,,,,,,,
고소하다,food,positive,1,,,,,,,,,,,,,,
담백하다,food,positive,1,,,,,,,,,,,,,,
신선하다,food,positive,1,,,,,,,,,,,,,,
고기 맛있다,food,positive,1,,,,,,,,,,,,,,
고기 부드럽다,food,positive,1,,,,,,,,,,,,,,
안주 맛있다,food,positive,1,,,,,,,,,,,,,,
김치 맛있다,food,positive,1,,,,,,,,,,,,,,
음식 깔끔하다,food,positive,1,,,,,,,,,,,,,,
반찬 맛있다,food,positive,1,,,,,,,,,,,,,,
국물 진하다,food,positive,1,,,,,,,,,,,,,,
느끼하다 않다,food,positive,1,,,,,,,,,,,,,,
국물 깔끔하다,food,positive,1,,,,,,,,,,,,,,
소스 맛있다,food,positive,1,,,,,,,,,,,,,,
메뉴 맛있다,food,positive,1,,,,,,,,,,,,,,
고기 좋다,food,positive,1,,,,,,,,,,,,,,
보쌈 맛있다,food,positive,1,,,,,,,,,,,,,,
비빔밥 맛있다,food,positive,1,,,,,,,,,,,,,,
재료 신선하다,food,positive,1,,,,,,,,,,,,,,
식감 좋다,food,positive,1,,,,,,,,,,,,,,
양념 맛있다,food,positive,1,,,,,,,,,,,,,,
반찬 깔끔하다,food,positive,1,,,,,,,,,,,,,,
음식 좋다,food,positive,1,,,,,,,,,,,,,,
고기 신선하다,food,positive,1,,,,,,,,,,,,,,
볶음밥 맛있다,food,positive,1,,,,,,,,,,,,,,
