word,category,polarity,score,kept
가성,price,positive,2.0,True
가성,price,positive,2.0,False
간편하다,food,positive,1.0,True
간편하다,소민,소민,1.0,False
감동,food,positive,2.0,True
감동,소민,소민,2.0,False
감사하다,service,positive,2.0,True
감사하다,소민,소민,2.0,False
강추,소민,positive,2.0,True
강추,소민,소민,2.0,False
개존맛,food,positive,2.0,True
개존맛,소민,positive,2.0,False
개존맛,소민,소민,2.0,False
개판,service,negative,-2.0,True
개판,소민,소민,-2.0,False
건강하다,food,positive,2.0,True
건강하다,소민,소민,1.0,False
고소하다,food,positive,2.0,True
고소하다,food,positive,1.0,False
고소하다,소민,소민,1.0,False
괜찮다,food,positive,1.0,True
괜찮다,소민,positive,1.0,False
괜찮다,소민,소민,1.0,False
굳이,service,negative,-2.0,True
굳이,소민,소민,-1.0,False
굿굿,food,positive,2.0,True
굿굿,소민,positive,1.0,False
굿굿,소민,소민,2.0,False
깔끔하다,food,positive,2.0,True
깔끔하다,소민,positive,1.0,False
깔끔하다,소민,소민,1.0,False
깨끗하다,atmosphere,positive,2.0,True
깨끗하다,atmosphere,positive,1.0,False
깨끗하다,소민,소민,2.0,False
꿀맛,소민,positive,1.0,True
꿀맛,소민,소민,2.0,False
끝내주다,food,positive,2.0,True
끝내주다,소민,positive,2.0,False
끝내주다,소민,소민,2.0,False
나쁘다,service,negative,-2.0,True
나쁘다,소민,소민,-2.0,False
넉넉하다,food,positive,2.0,True
넉넉하다,소민,positive,1.0,False
넉넉하다,소민,소민,1.0,False
넓다,소민,positive,1.0,True
넓다,소민,소민,1.0,False
눅눅하다,소민,negative,-1.0,True
눅눅하다,소민,소민,-1.0,False
느끼하다,food,negative,-2.0,True
느끼하다,food,negative,-1.0,False
느끼하다,소민,소민,-1.0,False
느끼하다,소민,소민,-1.0,False
느리다,소민,negative,-1.0,True
느리다,소민,소민,-1.0,False
다양하다,food,positive,2.0,True
다양하다,소민,소민,1.0,False
달짝지근하다,food,positive,2.0,True
달짝지근하다,소민,소민,1.0,False
달콤하다,food,positive,2.0,True
달콤하다,소민,소민,1.0,False
담백하다,food,positive,2.0,True
담백하다,food,positive,1.0,False
담백하다,소민,소민,1.0,False
답답하다,atmosphere,negative,-2.0,True
답답하다,소민,소민,-1.0,False
더럽다,service,negative,-2.0,True
더럽다,소민,negative,-1.0,False
더럽다,소민,소민,-2.0,False
던지다,service,negative,-2.0,True
던지다,소민,소민,-1.0,False
덥다,atmosphere,negative,-2.0,True
덥다,소민,소민,-1.0,False
두툼하다,food,positive,2.0,True
두툼하다,food,positive,2.0,False
든든하다,소민,positive,1.0,True
든든하다,소민,소민,1.0,False
딱딱하다,소민,negative,-1.0,True
딱딱하다,소민,소민,-1.0,False
딱이다,food,positive,2.0,True
딱이다,소민,소민,1.0,False
딱좋다,atmosphere,positive,2.0,True
딱좋다,소민,positive,1.0,False
딱좋다,소민,소민,2.0,False
뜨끈하다,food,positive,2.0,True
뜨끈하다,소민,소민,1.0,False
만족,food,positive,2.0,True
만족,소민,positive,1.0,False
만족,소민,소민,2.0,False
만족스럽다,food,positive,2.0,True
만족스럽다,소민,positive,1.0,False
만족스럽다,소민,소민,2.0,False
만족하다,소민,positive,1.0,True
만족하다,소민,소민,1.0,False
맛없다,food,negative,-2.0,True
맛없다,소민,소민,-2.0,False
맛있다,food,positive,2.0,True
맛있다,food,positive,1.0,False
맛있다,소민,소민,2.0,False
맛집,food,positive,2.0,True
맛집,소민,positive,1.0,False
미안하다,service,negative,-2.0,True
미안하다,소민,소민,-1.0,False
미지근하다,food,negative,-2.0,True
미지근하다,소민,소민,-1.0,False
배부르다,food,positive,2.0,True
배부르다,소민,소민,1.0,False
별로,service,negative,-2.0,True
별로,소민,negative,-1.0,False
별로,소민,소민,-1.0,False
부드럽다,food,positive,2.0,True
부드럽다,소민,positive,1.0,False
부드럽다,소민,소민,1.0,False
부실하다,food,negative,-2.0,True
부실하다,소민,소민,-1.0,False
부적합,atmosphere,negative,-2.0,True
부적합,소민,소민,-2.0,False
부족하다,food,negative,-2.0,True
부족하다,소민,소민,-1.0,False
불가,service,negative,-2.0,True
불가,service,negative,-2.0,False
불만족,소민,negative,-2.0,True
불만족,소민,소민,-2.0,False
불친절,service,negative,-2.0,True
불친절,소민,negative,-1.0,False
불친절,소민,소민,-2.0,False
불친절하다,소민,negative,-2.0,True
불친절하다,소민,소민,-2.0,False
불쾌하다,service,negative,-2.0,True
불쾌하다,소민,negative,-2.0,False
불쾌하다,소민,소민,-2.0,False
불편하다,service,negative,-2.0,True
불편하다,소민,negative,-2.0,False
불편하다,소민,소민,-1.0,False
비리다,food,negative,-2.0,True
비리다,소민,negative,-1.0,False
비리다,소민,소민,-2.0,False
비싸다,price,negative,-2.0,True
비싸다,price,negative,-2.0,False
비싸다,price,negative,-1.0,False
비싸다,소민,소민,-1.0,False
빠르다,food,positive,2.0,True
빠르다,소민,positive,1.0,False
빠르다,소민,소민,1.0,False
뽐내다,price,positive,2.0,True
뽐내다,price,positive,2.0,False
색다르다,food,positive,2.0,True
색다르다,소민,소민,1.0,False
시끄럽다,atmosphere,negative,-2.0,True
시끄럽다,소민,negative,-1.0,False
시끄럽다,소민,소민,-1.0,False
시원하다,food,positive,2.0,True
시원하다,소민,소민,1.0,False
시큰둥하다,service,negative,-2.0,True
시큰둥하다,소민,소민,-1.0,False
신선하다,food,positive,2.0,True
신선하다,food,positive,1.0,False
신선하다,소민,소민,2.0,False
실망,소민,negative,-2.0,True
실망,소민,소민,-2.0,False
실망하다,소민,negative,-2.0,True
실망하다,소민,소민,-2.0,False
싫어지다,service,negative,-2.0,True
싫어지다,소민,소민,-2.0,False
심각하다,food,negative,-2.0,True
심각하다,소민,소민,-1.0,False
심하다,service,negative,-2.0,True
심하다,소민,소민,-1.0,False
싱겁다,food,negative,-1.0,True
싱겁다,소민,소민,-1.0,False
싱싱하다,food,positive,2.0,True
싱싱하다,소민,소민,2.0,False
싸다,price,positive,2.0,True
싸다,price,positive,2.0,False
싸다,price,positive,1.0,False
아깝다,food,negative,-2.0,True
아깝다,소민,negative,-1.0,False
아깝다,소민,소민,-1.0,False
아쉬움,소민,negative,-1.0,True
