store_name,total_review_count,high_trust_review_count,all_avg_sentiment_star,high_avg_sentiment_star,score_change,rank_all,rank_high_trust,rank_change,kakao_review_count,naver_review_count,kakao_total_rating_count,kakao_all_avg_rating,kakao_high_rating_count,kakao_high_avg_rating,kakao_rating_change,analysis_scope,high_trust_ratio
뼈탄집 성수역점,393,261,4.34,4.56,0.22,1,1,0,193.0,200.0,193.0,4.94,96.0,4.93,-0.01,all,66.41221374045801
이태리국시 성수,400,274,4.32,4.49,0.17,2,2,0,200.0,200.0,200.0,4.86,91.0,4.82,-0.04,all,68.5
조선시대,400,187,4.17,4.49,0.32,5,3,2,200.0,200.0,200.0,4.91,61.0,4.87,-0.04,all,46.75
락희옥 마포본점,234,136,4.2,4.42,0.22,3,4,-1,39.0,195.0,39.0,3.82,20.0,3.6,-0.22,all,58.119658119658126
육산장 홍대본점,400,176,4.11,4.4,0.29,7,5,2,200.0,200.0,200.0,4.74,67.0,4.55,-0.18,all,44.0
홍대 육지,400,256,4.19,4.37,0.18,4,6,-2,200.0,200.0,200.0,4.4,91.0,3.93,-0.47,all,64.0
쭌곱창,368,180,4.12,4.36,0.24,6,7,-1,168.0,200.0,168.0,4.68,64.0,4.38,-0.3,all,48.91304347826087
보끔당 성수점,226,127,4.07,4.29,0.22,9,8,1,26.0,200.0,26.0,4.23,13.0,4.08,-0.15,all,56.19469026548673
금금 성수점,240,170,4.09,4.21,0.13,8,9,-1,40.0,200.0,40.0,3.62,21.0,3.24,-0.39,all,70.83333333333334
능동미나리 성수지점,356,232,3.8,3.99,0.2,11,10,1,158.0,198.0,158.0,4.15,92.0,4.17,0.02,all,65.1685393258427
일등식당,159,103,3.75,3.99,0.24,12,11,1,56.0,103.0,56.0,3.93,35.0,4.03,0.1,all,64.77987421383648
장인닭갈비 홍대점,356,224,3.82,3.95,0.13,10,12,-2,162.0,194.0,162.0,4.15,136.0,4.3,0.15,all,62.92134831460674
황금콩밭,165,117,3.71,3.83,0.12,13,13,0,60.0,105.0,60.0,3.78,44.0,3.61,-0.17,all,70.9090909090909
원조 조박집 본관,141,92,3.65,3.77,0.12,15,14,1,37.0,104.0,37.0,4.08,22.0,3.91,-0.17,all,65.24822695035462
태양곱창 성수점,278,168,3.69,3.72,0.04,14,15,-1,78.0,200.0,78.0,2.83,57.0,3.11,0.27,all,60.431654676258994
옥동식,313,240,3.62,3.7,0.08,17,16,1,130.0,183.0,130.0,3.5,97.0,3.41,-0.09,all,76.6773162939297
각시보쌈,248,168,3.65,3.69,0.05,16,17,-1,60.0,188.0,60.0,3.73,41.0,3.56,-0.17,all,67.74193548387096
훼미리손칼국수보쌈,266,198,3.58,3.68,0.1,18,18,0,75.0,191.0,75.0,3.36,51.0,3.39,0.03,all,74.43609022556392
할머니의 레시피,132,95,3.57,3.67,0.1,19,19,0,45.0,87.0,45.0,3.04,29.0,2.55,-0.49,all,71.96969696969697
을밀대 평양냉면,395,246,3.48,3.61,0.14,20,20,0,199.0,196.0,199.0,4.09,107.0,3.86,-0.23,all,62.278481012658226
마포양지설렁탕,150,78,3.43,3.55,0.12,21,21,0,46.0,104.0,46.0,3.28,22.0,2.64,-0.65,all,52.0
성수족발,192,134,3.37,3.45,0.08,22,22,0,42.0,150.0,42.0,3.1,26.0,3.0,-0.1,all,69.79166666666666
굴다리식당,129,79,3.17,3.16,-0.01,23,23,0,44.0,85.0,44.0,2.86,25.0,2.92,0.06,all,61.240310077519375
소문난성수감자탕,447,327,3.1,3.1,-0.01,24,24,0,248.0,199.0,248.0,2.49,174.0,2.39,-0.1,all,73.15436241610739
홍대 육지,200,165,4.49,4.58,0.09,2,1,1,,200.0,,,,,,naver,82.5
뼈탄집 성수역점,200,165,4.48,4.57,0.09,3,2,1,,200.0,,,,,,naver,82.5
락희옥 마포본점,195,116,4.31,4.56,0.25,4,3,1,,195.0,,,,,,naver,59.48717948717949
