analysis_scope,case_type,store_name,total_review_count,high_trust_review_count,all_avg_sentiment_star,high_avg_sentiment_star,score_change,rank_all,rank_high_trust,rank_change
all,감성별점 상승 TOP5,조선시대,400,187,4.17,4.49,0.32,5,3,2
all,감성별점 상승 TOP5,육산장 홍대본점,400,176,4.11,4.4,0.29,7,5,2
all,감성별점 상승 TOP5,쭌곱창,368,180,4.12,4.36,0.24,6,7,-1
all,감성별점 상승 TOP5,일등식당,159,103,3.75,3.99,0.24,12,11,1
all,감성별점 상승 TOP5,보끔당 성수점,226,127,4.07,4.29,0.22,9,8,1
all,감성별점 하락 TOP5,소문난성수감자탕,447,327,3.1,3.1,-0.01,24,24,0
all,감성별점 하락 TOP5,굴다리식당,129,79,3.17,3.16,-0.01,23,23,0
all,감성별점 하락 TOP5,태양곱창 성수점,278,168,3.69,3.72,0.04,14,15,-1
all,감성별점 하락 TOP5,각시보쌈,248,168,3.65,3.69,0.05,16,17,-1
all,감성별점 하락 TOP5,성수족발,192,134,3.37,3.45,0.08,22,22,0
all,순위 상승 TOP5,조선시대,400,187,4.17,4.49,0.32,5,3,2
all,순위 상승 TOP5,육산장 홍대본점,400,176,4.11,4.4,0.29,7,5,2
all,순위 상승 TOP5,보끔당 성수점,226,127,4.07,4.29,0.22,9,8,1
all,순위 상승 TOP5,능동미나리 성수지점,356,232,3.8,3.99,0.2,11,10,1
all,순위 상승 TOP5,원조 조박집 본관,141,92,3.65,3.77,0.12,15,14,1
all,순위 하락 TOP5,홍대 육지,400,256,4.19,4.37,0.18,4,6,-2
all,순위 하락 TOP5,장인닭갈비 홍대점,356,224,3.82,3.95,0.13,10,12,-2
all,순위 하락 TOP5,쭌곱창,368,180,4.12,4.36,0.24,6,7,-1
all,순위 하락 TOP5,락희옥 마포본점,234,136,4.2,4.42,0.22,3,4,-1
all,순위 하락 TOP5,금금 성수점,240,170,4.09,4.21,0.13,8,9,-1
naver,감성별점 상승 TOP5,락희옥 마포본점,195,116,4.31,4.56,0.25,4,3,1
naver,감성별점 상승 TOP5,육산장 홍대본점,200,109,4.28,4.53,0.25,5,5,0
naver,감성별점 상승 TOP5,쭌곱창,200,116,4.26,4.49,0.23,8,6,2
naver,감성별점 상승 TOP5,일등식당,103,68,3.86,4.08,0.22,11,11,0
naver,감성별점 상승 TOP5,보끔당 성수점,200,114,4.09,4.29,0.21,9,9,0
naver,감성별점 하락 TOP5,굴다리식당,85,54,3.29,3.27,-0.02,24,24,0
naver,감성별점 하락 TOP5,이태리국시 성수,200,183,4.51,4.56,0.04,1,4,-3
naver,감성별점 하락 TOP5,소문난성수감자탕,199,153,3.46,3.51,0.05,22,23,-1
naver,감성별점 하락 TOP5,각시보쌈,188,127,3.72,3.78,0.06,17,19,-2
naver,감성별점 하락 TOP5,옥동식,183,143,3.78,3.86,0.08,16,16,0
naver,순위 상승 TOP5,장인닭갈비 홍대점,194,88,3.83,4.02,0.19,15,12,3
naver,순위 상승 TOP5,쭌곱창,200,116,4.26,4.49,0.23,8,6,2
naver,순위 상승 TOP5,을밀대 평양냉면,196,139,3.67,3.79,0.12,20,18,2
naver,순위 상승 TOP5,홍대 육지,200,165,4.49,4.58,0.09,2,1,1
naver,순위 상승 TOP5,할머니의 레시피,87,66,3.84,4.0,0.16,14,13,1
naver,순위 하락 TOP5,이태리국시 성수,200,183,4.51,4.56,0.04,1,4,-3
naver,순위 하락 TOP5,태양곱창 성수점,200,111,3.86,3.97,0.11,12,15,-3
naver,순위 하락 TOP5,금금 성수점,200,149,4.28,4.36,0.08,6,8,-2
naver,순위 하락 TOP5,각시보쌈,188,127,3.72,3.78,0.06,17,19,-2
naver,순위 하락 TOP5,훼미리손칼국수보쌈,191,147,3.68,3.77,0.09,19,20,-1
kakao,감성별점 상승 TOP5,조선시대,200,61,4.07,4.55,0.48,3,1,2
kakao,감성별점 상승 TOP5,뼈탄집 성수역점,193,96,4.19,4.55,0.35,1,2,-1
kakao,감성별점 상승 TOP5,보끔당 성수점,26,13,3.92,4.23,0.31,6,4,2
kakao,감성별점 상승 TOP5,일등식당,56,35,3.54,3.8,0.26,11,10,1
kakao,감성별점 상승 TOP5,육산장 홍대본점,200,67,3.94,4.18,0.24,5,5,0
kakao,감성별점 하락 TOP5,할머니의 레시피,45,29,3.06,2.93,-0.13,22,23,-1
kakao,감성별점 하락 TOP5,소문난성수감자탕,248,174,2.82,2.73,-0.09,24,24,0
kakao,감성별점 하락 TOP5,성수족발,42,26,3.14,3.09,-0.05,19,20,-1
kakao,감성별점 하락 TOP5,마포양지설렁탕,46,22,3.12,3.09,-0.03,20,21,-1
kakao,감성별점 하락 TOP5,락희옥 마포본점,39,20,3.65,3.64,-0.01,9,11,-2
kakao,순위 상승 TOP5,조선시대,200,61,4.07,4.55,0.48,3,1,2
kakao,순위 상승 TOP5,보끔당 성수점,26,13,3.92,4.23,0.31,6,4,2
kakao,순위 상승 TOP5,금금 성수점,40,21,3.12,3.15,0.03,21,19,2
kakao,순위 상승 TOP5,옥동식,130,97,3.39,3.45,0.06,15,14,1
kakao,순위 상승 TOP5,일등식당,56,35,3.54,3.8,0.26,11,10,1
kakao,순위 하락 TOP5,쭌곱창,168,64,3.96,4.13,0.17,4,6,-2
kakao,순위 하락 TOP5,락희옥 마포본점,39,20,3.65,3.64,-0.01,9,11,-2
kakao,순위 하락 TOP5,각시보쌈,60,41,3.42,3.42,-0.0,14,16,-2
kakao,순위 하락 TOP5,뼈탄집 성수역점,193,96,4.19,4.55,0.35,1,2,-1
kakao,순위 하락 TOP5,이태리국시 성수,200,91,4.13,4.37,0.24,2,3,-1
