store_name,total_review_count,high_trust_review_count,all_avg_sentiment_star,high_avg_sentiment_star,score_change,rank_all,rank_high_trust,rank_change,kakao_review_count,naver_review_count,kakao_total_rating_count,kakao_all_avg_rating,kakao_high_rating_count,kakao_high_avg_rating,kakao_rating_change
뼈탄집 성수역점,393,261,4.34,4.56,0.22,1,1,0,193,200,193,4.94,96,4.93,-0.01
이태리국시 성수,400,274,4.32,4.49,0.17,2,2,0,200,200,200,4.86,91,4.82,-0.04
조선시대,400,187,4.17,4.49,0.32,5,3,2,200,200,200,4.91,61,4.87,-0.04
락희옥 마포본점,234,136,4.2,4.42,0.22,3,4,-1,39,195,39,3.82,20,3.6,-0.22
육산장 홍대본점,400,176,4.11,4.4,0.29,7,5,2,200,200,200,4.74,67,4.55,-0.18
홍대 육지,400,256,4.19,4.37,0.18,4,6,-2,200,200,200,4.4,91,3.93,-0.47
쭌곱창,368,180,4.12,4.36,0.24,6,7,-1,168,200,168,4.68,64,4.38,-0.3
보끔당 성수점,226,127,4.07,4.29,0.22,9,8,1,26,200,26,4.23,13,4.08,-0.15
금금 성수점,240,170,4.09,4.21,0.13,8,9,-1,40,200,40,3.62,21,3.24,-0.39
능동미나리 성수지점,356,232,3.8,3.99,0.2,11,10,1,158,198,158,4.15,92,4.17,0.02
일등식당,159,103,3.75,3.99,0.24,12,11,1,56,103,56,3.93,35,4.03,0.1
장인닭갈비 홍대점,356,224,3.82,3.95,0.13,10,12,-2,162,194,162,4.15,136,4.3,0.15
황금콩밭,165,117,3.71,3.83,0.12,13,13,0,60,105,60,3.78,44,3.61,-0.17
원조 조박집 본관,141,92,3.65,3.77,0.12,15,14,1,37,104,37,4.08,22,3.91,-0.17
태양곱창 성수점,278,168,3.69,3.72,0.04,14,15,-1,78,200,78,2.83,57,3.11,0.27
옥동식,313,240,3.62,3.7,0.08,17,16,1,130,183,130,3.5,97,3.41,-0.09
각시보쌈,248,168,3.65,3.69,0.05,16,17,-1,60,188,60,3.73,41,3.56,-0.17
훼미리손칼국수보쌈,266,198,3.58,3.68,0.1,18,18,0,75,191,75,3.36,51,3.39,0.03
할머니의 레시피,132,95,3.57,3.67,0.1,19,19,0,45,87,45,3.04,29,2.55,-0.49
을밀대 평양냉면,395,246,3.48,3.61,0.14,20,20,0,199,196,199,4.09,107,3.86,-0.23
마포양지설렁탕,150,78,3.43,3.55,0.12,21,21,0,46,104,46,3.28,22,2.64,-0.65
성수족발,192,134,3.37,3.45,0.08,22,22,0,42,150,42,3.1,26,3.0,-0.1
굴다리식당,129,79,3.17,3.16,-0.01,23,23,0,44,85,44,2.86,25,2.92,0.06
소문난성수감자탕,447,327,3.1,3.1,-0.01,24,24,0,248,199,248,2.49,174,2.39,-0.1
