store_name,total_review_count,high_trust_review_count,all_avg_sentiment_star,high_avg_sentiment_star,score_change,rank_all,rank_high_trust,rank_change,naver_review_count
홍대 육지,200,165,4.49,4.58,0.09,2,1,1,200
뼈탄집 성수역점,200,165,4.48,4.57,0.09,3,2,1,200
락희옥 마포본점,195,116,4.31,4.56,0.25,4,3,1,195
이태리국시 성수,200,183,4.51,4.56,0.04,1,4,-3,200
육산장 홍대본점,200,109,4.28,4.53,0.25,5,5,0,200
쭌곱창,200,116,4.26,4.49,0.23,8,6,2,200
조선시대,200,126,4.26,4.46,0.2,7,7,0,200
금금 성수점,200,149,4.28,4.36,0.08,6,8,-2,200
보끔당 성수점,200,114,4.09,4.29,0.21,9,9,0,200
능동미나리 성수지점,198,140,3.94,4.1,0.15,10,10,0,198
일등식당,103,68,3.86,4.08,0.22,11,11,0,103
장인닭갈비 홍대점,194,88,3.83,4.02,0.19,15,12,3,194
할머니의 레시피,87,66,3.84,4.0,0.16,14,13,1,87
황금콩밭,105,73,3.84,3.99,0.14,13,14,-1,105
태양곱창 성수점,200,111,3.86,3.97,0.11,12,15,-3,200
옥동식,183,143,3.78,3.86,0.08,16,16,0,183
원조 조박집 본관,104,70,3.71,3.86,0.15,18,17,1,104
을밀대 평양냉면,196,139,3.67,3.79,0.12,20,18,2,196
각시보쌈,188,127,3.72,3.78,0.06,17,19,-2,188
훼미리손칼국수보쌈,191,147,3.68,3.77,0.09,19,20,-1,191
마포양지설렁탕,104,56,3.57,3.73,0.16,21,21,0,104
성수족발,150,108,3.43,3.53,0.1,23,22,1,150
소문난성수감자탕,199,153,3.46,3.51,0.05,22,23,-1,199
굴다리식당,85,54,3.29,3.27,-0.02,24,24,0,85
