store,account_id,account_review,visit_date,visit_count,verification,review,review_text,photo,manual_label
이태리국시 성수,봄이오면 28,2132,2026.04.26,1번째 방문,영수증,​가족들과 함께한 성수동 나들~~ '이태리국시' 덕분에 더욱 특별해졌습니다. 한식과 양식의 경계를 허문 독창적인 메뉴들이 인상적이었어요. 자극적이지 않으면서도 깊은 풍미가 느껴져 어른들부터 아이들까지 모두 만족스러운 식사였습니다. 세련된 공간에서 정성 담긴 요리를 즐기고 싶을 때 다시 찾고 싶은 곳입니다. 특히나 오늘은 우리 손녀도 함께 너무 즐겁고 행복한 시간 되었어요~~~♡♡♡,214,TRUE,0
이태리국시 성수,리뷰맛집러,1203,2026.05.04,1번째 방문,영수증,평일 저녁 대기없이 입장했습니다~ 맛있어요! 반계닭이랑 숯불대창파스타 추천합니당,44,TRUE,0
이태리국시 성수,룰루햄이,1031,2026.01.31,1번째 방문,영수증,인스타에서 보구 오게 됐는데요! 분위기가 되게 모던하구 음료와 주류가 다양하더라구요 ㅎㅎ 음식은 전체적으로 한식 퓨전인데 새로운듯 익숙한 맛이었어요 어떤 음식이든 실패가 없을거 같은 곳이었구 에이드두 넘 맛있었어요~ 담에 기회가 되면 다른 메뉴도 먹어보러 또 올거 같아욤 😀,153,TRUE,0
이태리국시 성수,kal****,958,2026.04.11,1번째 방문,영수증,"이태리국시 성수 다녀왔는데 분위기도 좋고 음식도 전체적으로 깔끔해서 만족스러웠어요. 면 식감이 좋고 소스 맛도 너무 무겁지 않아서 끝까지 맛있게 먹을 수 있었고, 성수 특유의 감성이랑도 잘 어울리는 공간이라 데이트나 친구랑 가기 좋았어요. 재방문 의사 있습니다.",146,TRUE,0
이태리국시 성수,유니318,792,2026.02.03,1번째 방문,영수증,오랫만에 성수 나들이로 맛집 검색하다 오게 되었어요~ 6명 인원이 같이 앉을수없어 앞뒤로 앉아 먹었어요 역시 평 좋은 이유가 있었네요 음식 다 맛있어요 아이들도 넘 맛있다고 다 잘먹네요~^^ 이중 제일 맛난걸 뽑자고 하니 어려웠지만 전 첫번째사진 딸은 두번째 사진이네요ㅎㅎ,152,TRUE,0
이태리국시 성수,jjinniiv,790,2026.04.30,1번째 방문,영수증,궁금한 음식들이 있어 방문했는데 음식 맛있게 먹고 갑니다. 대창파스타에 대창이 킥! 인테리어도 멋있었어요.,59,TRUE,0
이태리국시 성수,꽃송이희,547,2026.04.30,1번째 방문,영수증,돌솥 대창 파스타라뉘 😋 먹을때까지 뜨끈뜨끈 맛있습니다‼️ 순식간에 순삭했습니다.,45,TRUE,0
이태리국시 성수,찐쫜,530,2026.05.08,1번째 방문,영수증,"새로운 맛집 발견. 지도에서 평점과 평점 개수가 괜찮아서 왔는데, 만족하고 갑니다. 청양라구갈비파스타와 반계마늘돌솥리조또를 주문. 인상 깊은 건 반계마늘돌솥리조또. 푹 고은 삼계탕을 잘 조려서 리조또하고 거기에 수비드한 튀긴 반계.. 이런게 진짜 퓨전이다 싶음.",146,TRUE,0
이태리국시 성수,꼬만10,491,2026.04.22,1번째 방문,영수증,너무 맛있어요~~ 성수맛집 강추,17,TRUE,1
이태리국시 성수,LuckyMoon5571,474,2026.03.07,1번째 방문,영수증,"인테리어가 멋지고 특별한날 찾아가기에 좋은 장소입니다!!!음식이 예쁘고 플레이팅이 멋집니다! 다만, 자극적이고 짜서 첫입먹고 깜짝 놀랐어요~~!! 원래 짜게 먹는데 이건 좀 심하게 짜요~ 양이 적어서 혼자서 2메뉴도 거뜬하겠어요",127,TRUE,0
이태리국시 성수,연지곤지korea,469,2026.02.11,1번째 방문,영수증,"헉 너무 맛있어요!!! 동서양의 만남! 게다가 숯불향이 나고 느끼하지 않게 한국적이면서, 또 너무 한국적이지 않게 로제 느낌도 나고요 고기도 야채도 다 맛나요 강추 꼭 오세요",97,TRUE,0
이태리국시 성수,imtrash001,465,2026.04.23,1번째 방문,영수증,성수동 놀러왔다가 맛집인 것 같길래 들렀는데 역시나... 넘 맛있게 먹고 갑니다. 인테리어도 멋지구요. 가족들이랑 같이 왔는데 다들 맛있게 잘 먹었다고 그러네용 ㅎ 다음에 또 먹으러 올께요~~,107,TRUE,0
이태리국시 성수,솔직한리뷰러입니다,463,2026.01.03,1번째 방문,영수증,대기없이 입장했어요! 분위기 좋고 친절하세요! 대창파스타가 매콤해서 다른 음식과 잘 어울렸어요😁 양이 조금 적은듯 했지만 먹으니 배부르네요!🤗 리뷰이벤트도 합니다 드시고 챙겨서 할인받으세요,105,TRUE,1
