platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,manual_label
naver,각시보쌈,likeorhate,10,2026-04-28,,영수증,밥먹는 중에 찌개에서 이물질이 나와 사장님으로 보이는 분께 말씀드렸더니 참치에서 나올수있는 이물질이다라는 식의 말도안되는 이상한 핑계를 대시면서 그럴수도 있지라는 엉뚱한 대처로 적당히 대충 마무리 하시길래 정상적인 대화가 어려울거같아 그냥 리뷰로 남깁니다. 사과만 똑바로해주셨다면 워낙 유명한 집이고 항시 바쁜데다 보니 하시다보면 그럴수도있지라고 생각하고 넘어갈수있는 상황임에도 굳이 저렇게 이상한 응대를 하는건 상식적으로 좀 아닌거같습니다. 다들 식사하실때 이물질없는지 음식 잘보시고 확인하고 드시길.,281,1,,,,1
naver,각시보쌈,brown28,1771,2026-04-26,,영수증,요즘 같은 고물가시대에 더 가치가 돋보이는 혜자스러운 보쌈집입니다.. 가성비 좋고 푸짐하고 맛있는 점심한끼 사먹기 딱 좋습니다.. 1인씩 보쌈고기가 따로 제공되서 위생적이기도 하고 모호한 양이 아닌 각각 정량이 제공되는 장점까지 있어요.. 그리고 함께 제공되는 참치김치찌개도 별미입니다.. 찌개만으로도 밥 한공기는 거뜬히 비울 맛입니다.. 보쌈 고기도 가브리살 부위로 제공되 잡내없고 아주 부드럽습니다... 거기다 카운터를 보는 키 큰 여자분 손님응대가 참 친절하세요.. 덕분에 늘 기분 좋게 식사 하고 갑니다..,287,1,,,,1
naver,각시보쌈,모나카아스크림,974,2026-04-21,,영수증,"브레이크 타임 끝나고 들어갔어요. 각시 정식. 항정살 수육과 두부와 참치가 들어간 김치찌개까지 나와서 배부른 한상 입니다. 상추 추가시 2,000원인데 고기와 상추 갯수가 같으니까 추가 주문할 일은 없을듯- 5시 이후엔 1인 정식 주문이 안될수 있으니 참고하세요.",147,1,,,,1
naver,각시보쌈,Amy26,35,2026-04-18,,예약,3시간 지나니깐 나가라고 눈치줘요. 양심껏 술 시키고 안주시켰는데.. 기분 안좋게 쫒겨나다시피 나왔네요. 다신 안갈꺼에요. 3-4번 방문했는데. 이런 푸대접 처음이네요. 다신 안가요!!,103,0,,,,1
naver,각시보쌈,jon****,3103,2026-04-18,,영수증,잘먹었어요,5,0,,,,0
naver,각시보쌈,닉넴므,1835,2026-04-18,,영수증,굿,1,1,,,,0
naver,각시보쌈,딱지맘17,1132,2026-04-16,,영수증,평일 점심인데도 사람 정말 많아요 보쌈 너무 맛있어요,29,1,,,,0
naver,각시보쌈,백수인,1607,2026-04-16,,영수증,저는 보쌈을 별로 안 좋아합니다. 아내가 국밥류 전체.밀가루.물고기.양식.브런치.빵 등등을 별로 안 좋아해서 이것저것 제외하면 갈 곳이 별로 없습니다. T T,88,1,,,,0
naver,각시보쌈,도토루짱,693,2026-04-15,,예약,지인 추천으로 방문 금요일 갔더니 손님이 너무 많네요. 웨이팅이 있긴 했지만 음식이 맛있어서 또 갈듯.,57,1,,,,0
naver,각시보쌈,북한산 방랑객,2248,2026-04-14,,영수증,"올때마다 대기후 입장이었는데 대기없이 기분좋게 자리잡고, 벗과 함께 즐겁게 먹고 마시고 왔습니다 항정살 보쌈이라 부드럽고 입안에서 살살 녹는 식감 너무 좋아요",88,1,,,,1
naver,각시보쌈,하겐다즈매니아,784,2026-04-13,,영수증,근처 참손길 마사지왔다가 방문했어요 각시보쌈은 애매한시간에 오는게 꿀팁 고기야들야들 보쌈김치도 맛있고 찬도 많은데 이가격 안믿겨요ㅠㅠ 각시보쌈 가게 오래오래 해주세요 ❤️,95,1,,,,1
naver,각시보쌈,엔딩닷,32,2026-04-12,,포장,맛있어요 🩷,6,0,,,,0
naver,각시보쌈,쮸크81,1467,2026-04-11,,영수증,보쌈이 먹고싶을때 첫번째로 생각나는 각시집~ 고기가 야들야들하고 씹을수록 고소해서 배가부른데도 끊임없이 들어가는맛 ㅎ보쌈+참치김치찌개는 환상궁합 웨이팅이 길어서 오래기다리는 불편함이 있지만 맛있으니까 😢,113,1,,,,1
naver,각시보쌈,강세로이,58,2026-04-07,,영수증,합정동에 추천받아서 간 보쌈집입니다 월요일 7시 25분쯤에 도착햇는데 앞에 웨이팅 3팀 있었고 10분가량 기다린 후 들어갓습니다 보쌈 반반중짜에 막국수소짜 시켯는데 남2여1조합으로 배부르게 맛있게 먹었어요 또한 공깃밥 시키면 서비스로 김치찌개를 주시는데 김치찌개가 킥입니다 추천드려요,158,1,,,,1
