식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
락희옥 마포본점,gmldud0727,26,2026.04.23,1번째 방문,예약,잡내 없이 야들야들하게 잘 삶아진 보쌈 고기가 정말 일품입니다. 함께 나오는 백김치와 감칠맛 나는 무속의 조화가 훌륭해서 마지막 한 점까지 질리지 않고 맛있게 먹었네요.,94,True
락희옥 마포본점,시종여일77,484,2026.04.20,15번째 방문,영수증,,0,True
락희옥 마포본점,ivy9712,61,2026.04.16,1번째 방문,영수증,맛있어요 계절음식이 있어서 다양한 메뉴를 맛 볼 수있어요 매장도 깔끔해요,40,True
락희옥 마포본점,ravelc,21,2026.04.15,1번째 방문,영수증,"밤에 갑자기 김치말이국수 생각나서 방문했어요. 원래 김치말이국수는 구운 고기랑 먹어야 제맛인데, 소세지가 자극적이지 않게 맛있어서 잘 어울렸습니다. 쿠폰으로 서비스 받은 전병도 너무 맛있었구요. 자리도 넓직하고 주류 종류가 다양해서 모임하기에도 좋아보여요",142,True
락희옥 마포본점,닥터킴11,8,2026.04.15,1번째 방문,영수증,공덕에 모임이 있어 예약 후 방문해서 보쌈과 육전을 시켰는데 넘 맛있고 가볍게 술한잔하기 딱 좋았습니다. 직원분들도 친절하고 매장도 넓고 깨끗합니다. 보쌈은 넘 맛있게 먹느라 사진을 못찍었네요. 다음에 재방문 할께요.,121,True
락희옥 마포본점,pre****,121,2026.04.12,1번째 방문,영수증,어른들 모시고 식사했는데 다들 너무 만족했네요! 황급히 먹느라 사진은 이렇지만 음식 하나하나가 정말 맛있었어요 💕,63,True
락희옥 마포본점,최원석9695,107,2026.04.05,1번째 방문,영수증,잘먹고괏습니다,7,True
락희옥 마포본점,cong53,4,2026.04.04,1번째 방문,영수증,깔끔하고 맛있고 친절하고 와인 콜키지 프리라 너무 좋아요!,32,True
락희옥 마포본점,욜로2451,3156,2026.04.04,1번째 방문,영수증,굿,1,True
락희옥 마포본점,Summer Greens,1002,2026.03.29,1번째 방문,영수증,친구들 점심 모임으로 예약후 이용. 낮부터 술 마실 수 있는 곳이라 밥값이라기보다 안주 값임. 맛은 괜찮았고 가격대비 양은 조금 적은 느낌. 식사만 하러가긴 좀 그렇고 술 좋아하는 사람은 괜찮을 듯. 친절하시고 깨끗함. 주차 편함.,129,True
락희옥 마포본점,스펀지송22,8,2026.03.27,1번째 방문,영수증,음식이 깔끔하고 정갈해서 또 생각나는 맛입니다. 맛있게 잘 먹었습니다!,39,True
락희옥 마포본점,도화sek7,7,2026.03.25,1번째 방문,예약,처음왔는데 너무 고급지네요. 식기 수저 분위기.. 어르신이나 회사에서 임원분들하고 오거나 부모님 거래처 다 좋을거같아요. 가격이 있지만 고급짐으로 답합니다. 맛있고 재료 좋고 조명도 좋아요. 추천합니다!!,114,True
락희옥 마포본점,라스트39,46,2026.03.23,1번째 방문,영수증,회사 모임으로 왔는데 메뉴도 깔끔해서 자주 방문합니다. 메뉴의 선택도 다양해서 추천합니다,49,True
락희옥 마포본점,xe****,6,2026.03.15,1번째 방문,영수증,음식이 깔끔하고 맛있습니다. 와인페어링 해서 먹으면 너무 맛있어요. 모임으로 오기 너무 좋아요,52,True
락희옥 마포본점,블루라이,57,2026.03.14,1번째 방문,영수증,먹다가 사진찍으니 좀 지저분하네요. 그만큼 맛있다는 뜻이겠지요. 매우 친절합니다.,45,True
락희옥 마포본점,si****,13,2026.03.12,1번째 방문,영수증,음식 깔끔하고 분위기가 고급스러워 만족합니다.,25,False
락희옥 마포본점,림우버,35,2026.03.08,1번째 방문,영수증,음식 하나하나가 깔끔하고 맛있어요!,19,True
락희옥 마포본점,yon****,13,2026.03.06,1번째 방문,영수증,제철메뉴 도다리쑥국 대박이예요. 문어도 맛있고 가격이 좀 있지만 전혀 아깝지 않아요. 오랜만에 만난 친구들이 신나게 먹고 수다떨며 좋은 시간 보냈네요!,84,True
락희옥 마포본점,붱철,1233,2026.03.06,1번째 방문,영수증,부추비빔밥 먹었어요! 된장의 감칠맛이 뛰어납니다 👍 꼭 드셔보세요!!,38,True
락희옥 마포본점,나나쑤와,14,2026.03.01,1번째 방문,영수증,음식이 깨큿하고 맛있습니다! 강추강추요😃,22,True
락희옥 마포본점,밥레레,703,2026.03.01,1번째 방문,,"🍽️방어회, 보쌈, 멍게비빔밥, 관자샐러드 와인 콜키지 프리여서 와인 1병 들고 왔다가 음식 맛있어서 여기서 와인 더 시켜 먹었어요! 음식 하나같이 정갈하고 깔끔해요. 단체로 오기 좋은 곳!!",107,True
락희옥 마포본점,gye****,8,2026.02.27,1번째 방문,영수증,분위기도 좋고 맛있어요! 예약시 전병도 증정해서 예약하고 방문 추천드려요~,41,True
락희옥 마포본점,jae****,20,2026.02.23,1번째 방문,영수증,"오늘이 두번째인데, 저녁에 오니 분위기가 더 아늑하고 좋네요. 음식도 맛있고, 서비스도 좋고 스탭들도 친절해요. 특별한 날 방문하시는 것 강추드립니다!!",85,True
락희옥 마포본점,시종여일77,484,2026.02.22,14번째 방문,영수증,,0,True
락희옥 마포본점,기하나비,19,2026.02.20,1번째 방문,영수증,미쳤어요!!! 쌰갈 사장님이 미쳤어요!!! 배고픈 중생 셋이서 방문했다가 사진 찍는거 깜빡하규 먹다가 찍었습니다 허허 너무 맛있어요 양도 짱많고 너무 친철하십니다. 데이트 친목 모임 전부 하기에 좋습니다! 꼭 방문하세요!!,124,True
락희옥 마포본점,PaulLee49,9,2026.02.16,1번째 방문,영수증,너무 맛있었어요 또방문하겠습니다!!,19,True
락희옥 마포본점,채채68,10,2026.02.16,1번째 방문,영수증,"음식이 너무 맛있어요 직원분들도 친절하시고 너무 만족한 식사였습니다 모임,회식 추천드려요 !",51,False
락희옥 마포본점,blue3159,6,2026.02.15,1번째 방문,영수증,,0,False
락희옥 마포본점,하와이안3,54,2026.02.11,1번째 방문,영수증,메뉴도 너무 좋고 맛있어요~,15,True
락희옥 마포본점,좋아하는거해,31,2026.02.10,1번째 방문,영수증,점심 메뉴 있어서 좋고 매장도 넓어서 회사 동료분들이랑 오기 딱입니다!! 서빙해주시는 분들도 너무 친절하셔서 식사 잘 하고 갑니다~,73,True
락희옥 마포본점,lim****,5,2026.02.07,1번째 방문,영수증,"와인이나 맥주와 함께 곁들이기에 딱 적당한 음식이 나오고, 와인/맥주 셀렉션도 꽤 다양하고 좋다. 만취하려는 게 아니고 반주로 가볍게 술을 하려거나, 술자리에서 안주로 식사까지 해결하는 데 딱 알맞은 곳. 육전과 김치메밀전병, 그리고 식사메뉴 중에 된장찌개 함께 나오는 부추된장비빔밥과 멍게비빕밥 시켜봤는데 입맛 돈다.",178,True
락희옥 마포본점,plusma,1849,2026.02.06,1번째 방문,영수증,"떡갈비는 달지 않아 좋았는데, 같이 곁들여주신 야채 양념이 너무 달았고, 된장찌개는 많이 짜네요.",54,True
락희옥 마포본점,오드리동80,11,2026.02.06,1번째 방문,영수증,추운날 뜨뜬한 된장국수랑 메밀전병 맛있게 먹었습니다,28,True
락희옥 마포본점,M0카,203,2026.02.02,1번째 방문,예약,가격대가좀잇는편인데 맛잇엇음. 콜키지가 되어서 갓던곳. 친절하신 남성직원분 감사합니다.ㅎ 다만 인당10정도 쓰고먹엇는데 주차2시간 써잇던데 30분두개넣어서 1시간 넣어주셧더라구요.잘못해주신건지 모르겟어요. 만얼마나오길래 주차비가시간당5천원이넘나햇어서 물어보니 무료주차30분두개넣어줫다구하드라구요. 별거아닌건데 같이갓던 지인들도 좀그렇다고 햇어요.ㅎ 확인잘해주시믄 좋을거같습니다,210,True
락희옥 마포본점,레드데블256,12,2026.01.28,1번째 방문,영수증,너무 맛있고 좋습니다. 콜키지피가 무료라서 더 좋아요.,30,False
락희옥 마포본점,엘리s310,7,2026.01.28,1번째 방문,영수증,음식도 맛있고 깖금해서 좋아요 와인 마시기 좋은 곳,28,True
락희옥 마포본점,whi****,42,2026.01.23,1번째 방문,영수증,콜키지 프리라 좋아요~!,13,True
