식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
육산장 홍대본점,dls****,3,2026.04.30,1번째 방문,영수증,분위기가 좋아요!!! 대기없이 야장쪽으로 입장했어요 주말이나 금요일 저녁에 오면 대기해야 할 수도 있을거같아요!! 고기 정말 맛있고 직원분들 너무 친절해서 기분좋은 식사 했습니다 매장도 크고 분위기도 좋아서 친구들이랑 기분좋게 식사했습니다🤤 최고최고!!!,142,True
육산장 홍대본점,고은1199,44,2026.04.30,1번째 방문,영수증,우대갈비ㅜㅜㅜㅜ너무맛잇어용 자주올게요 짱짱!!,25,True
육산장 홍대본점,eun****,19,2026.04.29,1번째 방문,영수증,친구들과 식사하러 왔습니다~ 정말 맛있어요 추천합니다~~^^,33,True
육산장 홍대본점,월요일23,27,2026.04.29,1번째 방문,영수증,홍대에서 야장느낌 나는 삼겹살집 찾아서 방문했는데 깔끔하고 고기도 두껍고 좋아요❤️ 번창하세요~,53,True
육산장 홍대본점,하히잉,21,2026.04.29,1번째 방문,영수증,맛있어용 야외테이블 있어서 왔어요 굿!!,22,True
육산장 홍대본점,hsa****,23,2026.04.28,1번째 방문,영수증,가게 분위기도 좋고 구성이 알차서 좋네요 셀프바도 좋습니다!,33,True
육산장 홍대본점,raN12,5,2026.04.28,1번째 방문,영수증,홍대 쪽 삼겹살집 찾아보다가 리뷰가 넘 좋아서 방문했어요! 고기 맛도 좋고 가게 분위기가 좋아서 잘 먹고 갑니다ㅎㅎ,64,True
육산장 홍대본점,sjsj6677,12,2026.04.28,1번째 방문,영수증,고기 초벌해서 나와서 깔끔하고 매장도 청결해요 !!고기두 맛있고 조아용🫶🏻,41,True
육산장 홍대본점,밍시오,31,2026.04.28,1번째 방문,영수증,나중에 또 올게용 좋아요,13,True
육산장 홍대본점,슈크림보고수요일좋아,32,2026.04.28,1번째 방문,영수증,셀프바도 작지 않고 양도많아요 종류다양해용 밥 위에 햄 올려주는것도 좋고 소스도 많구 재방문의사 10000프로,61,True
육산장 홍대본점,120713,16,2026.04.27,1번째 방문,영수증,맛있어요!! 친구들이랑 조은 시감 보냇어요,23,True
육산장 홍대본점,Dddddddddddddddddddd38,11,2026.04.27,1번째 방문,영수증,고기 퀄리티 최고👍 육즙 가득하고 너무 부드러워요!!!! 직원분도 친절하시고 전체적으로 만족스러운 식사였습니다ㅎㅎ 재방문 의사 100!!!!,78,True
