식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
을밀대 평양냉면,klp****,116,2026.04.23,1번째 방문,영수증,남편하고 점심으로 을밀대 평양냉면이 유명하다 해서 방문했는데 먹어보니 슴슴한 맛이고 녹두전도 괜찮네요,56,False
을밀대 평양냉면,대한민국여권소지자,368,2026.04.18,1번째 방문,영수증,유명 해서 많이 들어 봤는데 처음 가봤어요. 국물은 시원하고 회냉면 맛있네요.🙂👍🏻,46,True
을밀대 평양냉면,dms****,33,2026.04.17,1번째 방문,영수증,"밖에 좌석도 많았어요 . 롱부츠에 치마 입었는데 식당안쪽으로 안내하더니 좌식인것도 모자라 너무 불편해 결국 밖으로 다시 신발신고 이동 날이 더워 일반 물 부탁드린다 말씀드리니 대답없이 2초쳐다보다가 물만 툭 던지고 가고 물티슈 여쭤보니 물티슈 없는데요? 라 말하고 옆에 다른테이블들한테는 친절하고 어리다고 무시하는건지 정말 여러므로 불쾌한 경험이었네요 웬만하면 이런댓글 안남기는데 최근 리뷰도 안좋고 배가 부른거같네요,",234,True
을밀대 평양냉면,hewpqlff1,8,2026.04.16,1번째 방문,영수증,"​평소 혼자서도 자주 찾던 단골집인데, 오늘 서비스는 정말 최악이었습니다. 성수기라 바쁜 건 이해하지만 인원수에 따른 서비스 차별이 너무 노골적이네요. ​주문을 받을 때나 음식을 주실 때 대꾸 한마디 없이 툭툭 던지고 가셔서 식사 전부터 무척 불쾌했습니다. 정작 옆 테이블 다인원 손님들에게는 웃으며 친절히 인사하시는 모습을 보니, 혼자 온 손님은 눈치를 주는 건가 싶어 어처구니가 없더군요. ​믿고 찾던 을밀대였는데 서비스는 물론 맛까지 예전만 못해 정말 속상합니다. 1인 손님을 홀대하는 태도에 큰 실망을 느껴 이제는 다시 방문하지 않을 것 같습니다",309,False
을밀대 평양냉면,emilee,127,2026.04.15,2번째 방문,영수증,주전자에 뜨거운 하얀 색 물이 나와 면수인줄 알았는데 간이 된 것이 육수인가 봅니다.,47,True
을밀대 평양냉면,무스마,66,2026.04.15,1번째 방문,영수증,맛있게 잘먹었습니다 육수도 일품이고 고기가 너무 맛있네요 1등입니다 줄도 길었는데 회전율이 좋아서 금방 빠지더라고요 5분에서 10분안에 들어가서 먹었어요ㅎㅎ 맛있네요,92,True
을밀대 평양냉면,ilillllilii,188,2026.04.12,14번째 방문,영수증,,0,True
을밀대 평양냉면,호란맘,2896,2026.04.12,1번째 방문,영수증,"평양냉면 맛집, 녹두전은 진짜 인생녹두전이에요, 넘 맛있음!!!!",36,True
을밀대 평양냉면,웰시사냥,17,2026.04.11,1번째 방문,영수증,꽉 차고 미친 밸런스의 평양냉면 평냉 입문자들에게도 추천 가능 할 맛,38,True
을밀대 평양냉면,Cadillac,1801,2026.04.08,2번째 방문,예약,"11:40 방문. 대기 없이 바로 입장. 수육 녹두 빈대떡 냉면 4개 122,000원 ! 살 얼음 빼서 달라 하면 육수가 좀 더 진하고 강한 느낌이라고 하네요!",89,True
