식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
일등식당,망원동대박부동산,3685,2026.04.30,2번째 방문,영수증,좋아요,3,True
일등식당,예거슈니첼,6925,2026.04.26,10번째 방문,영수증,푸짐하고 자극적인 느낌이 없어서 좋아요,21,True
일등식당,굿끼니는제때먹어야지,671,2026.04.21,1번째 방문,영수증,굿,1,True
일등식당,미즈팝,320,2026.04.18,1번째 방문,영수증,요즘 스타일은 아니고 그냥 깔끔한 맛이에요.,24,False
일등식당,용맹톨,1368,2026.04.15,1번째 방문,영수증,좋아요,3,False
일등식당,실버스톤과루피맘,866,2026.04.12,2번째 방문,영수증,주말 저녁에 아내와 함께 마포구 망원동의 전설적인 맛집 일등식당에 다녀왔습니다. 이곳은 워낙 유명한 곳이라 기대를 많이 했는데 매장에 들어서자마자 느껴지는 정겨운 분위기와 맛있는 냄새 덕분에 식사 전부터 기분이 좋았습니다. ​우리는 뼈해장국을 주문했는데 뚝배기 가득 담겨 나온 고기의 양에 깜짝 놀랐습니다. 뼈에 붙은 살코기가 정말 부드러워서 젓가락만 대도 쏙 빠질 정도였고 국물은 자극적이지 않으면서도 깊고 구수한 맛이 일품이었습니다. 아내도 잡내 없이 깔끔한 맛이라며 인생 해장국이라고 칭찬을 아끼지 않더군요. 곁들여 먹는 김치와 깍두기도 적당히 잘 익어서 해장국과 환상의 궁합을 자랑했습니다. ​망원동 인근에서 든든한 한 끼 식사나 제대로 된 뼈해장국을 찾으신다면 일등식당을 추천합니다.,387,True
일등식당,코리안비버,1407,2026.04.12,1번째 방문,영수증,"요즘에도 웨이팅이 있는지 모르겠는제 점심 지나고 2시쯤 애매한 시간에 방문했더니 웨이팅 없이 먹을 수 있었어요. 메뉴는 단일 메뉴 뼈해장국 하나! 와이프는 일반, 저는 특으로 먹었는데 가격이 매우 착합니다. 8처넌, 1만1천원ㅎㅎ 가장 중요한 맛!은 우선 일반 감자탕 처럼 자극적인 스타일이 아니라 옛날 할머니가 끓여준 시래기국인데 진한 돼지 육수로 끓인거 같아요. 사진으로는 맹맹해보이지만 간이 딱 좋습니다! 그리고 여기는 무엇보다 뼈다귀 고기가 매우 부드러워서 좋았어요👍👍 다 먹을 때 쯤 또간집 풍자님이 알려준 후추팍팍팍 쳐서 먹으면 또 다른 맛이니 도전해보세요 :)",320,True
일등식당,Gratia78,1961,2026.04.04,1번째 방문,영수증,최근 먹은 뼈해장국 중에 가장 맛있는 맛이에요. 끝까지 깔끔 담백합니다.,40,True
일등식당,수원시장,803,2026.04.04,2번째 방문,영수증,,0,True
일등식당,QuartzBae,3,2026.04.02,1번째 방문,예약,"너무너무 맛있어요 고기가 부드럽고, 양도 많아요",26,False
