식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
황금콩밭,CnLMJ,1832,2026.04.07,6번째 방문,예약,수제 두부요리가 너무 맛있어요,16,True
황금콩밭,율무s2s2,53,2026.04.07,1번째 방문,영수증,두부가 크림치즈같아요 도랐나 진짜ㅠㅠㅠ 수육은 두꺼운데 촉촉해서 육즙 가득 머금고 있어요 인정인정맛집인정 입니다!,63,True
황금콩밭,숙녀72,1,2026.03.22,1번째 방문,예약,이런 두부를 먹을 수 있어서 식사하는 동안 내내 너무 행복했습니다. 한가지 재료로 이렇게 다양한 음식으로 맛을 볼 수 있어서 너무 감사드려요...오래오래 먹을 수 있기를 바래봅니다. 감사합니다.,108,False
황금콩밭,sds****,14,2026.03.16,1번째 방문,영수증,방송 나온곳은 거르라는말을 알게해주는곳.. 왜 웨이팅이 걸리는지 이해가 안된다.. 전부다 느끼해서 거의다 남기고 돌아왔다.. 세가지 시켜봤는데 이해가안된다.. 진짜맛집은 방송 안탄다는거.. 기대는 하지말고 가시길..,120,True
황금콩밭,하이 하와,26,2026.03.16,1번째 방문,영수증,11시40분에 도착했는데 웨이팅 번호가 18번 이었다 맛집이군 !! 사실 티비에서 보고 소쿠리두부랑 짜글이 먹어보려고 갔는데 후기보고. 청국장이랑 두부부침으로 시켰다. 짜글이도 궁금했고~ 50분정도 기다린후 입장!!! 반찬 그냥보통/ 청국장은 맛있고/ 짜글이는 기대이하라 다 남김. 아까비~/두부부침 부들부들 고소하니 맛있음 그러나 두조각먹으니 느끼함 두부맛집은. 확실하다!!! 두부만 꼭 먹으보면 좋을듯♡♡♡ 근데 시간 돈 모든걸 쓰기엔 아까운듯 해요,253,True
황금콩밭,채리이62,26,2026.03.15,1번째 방문,영수증,오픈런 웨이팅 후 살짝 쌀쌀한 날씨라 버섯전골을 먹었어요 고기와 버섯과 두부의 궁합은 최고! 소쿠리두부샐러드 블루베리랑 정말 잘 어울려요🤍,77,True
황금콩밭,CnLMJ,1832,2026.03.13,5번째 방문,예약,수제 두부요리 맛집으로 부드럽고 고소한 두부가 너무 맛있어요!!,35,True
황금콩밭,mars12,1824,2026.03.12,1번째 방문,영수증,음식이 다 짜요,8,False
황금콩밭,세잎클로버1394,106,2026.03.12,1번째 방문,영수증,"두부가 부드러우면서도 고소한 맛이고, 특별하고 맛있는 가정식 백반을 대접받은 기분입니다.",49,True
황금콩밭,노시13,3370,2026.03.10,1번째 방문,영수증,웨이팅은 있었지만 두부가 담백하고 너무 맛나요.. 평일인데도 웨이팅이 왜 많은지 알 것 같아요,52,True
황금콩밭,리락쿠마쓰,293,2026.03.07,1번째 방문,예약,점심때쯤 갔고 웨이팅 없었어요! 두부가 진짜 부드럽고 맛있었어요 근데 감칠맛은 덜한 건강한 맛이였습니다🙂 반찬은 5가지 정도 나오고 같은 메뉴를 2인분 이상 시키시면 버너에 끓여서 먹을 수 있으니 통일 하시는 걸 추천드려요😉 아쉬운점은 반찬 리필할때 직원 호출 하기가 너무 어려워요..,159,True
황금콩밭,CnLMJ,1832,2026.03.04,4번째 방문,예약,"수제 두부 맛집으로 매일 만드는 신선한 두부로 맛있는 요리를 먹고 왔어요,",41,True
황금콩밭,국85,61,2026.03.01,1번째 방문,영수증,"부모님과 같이 방문했어요. 반찬을 포함한 청국장, 두부김치전골 모두 맛있었어요. 특히나 신선하다는 느낌이 들고 모두 국산재료를 사용한 것같았어요. 조미료 맛이 세지 않아서 더 좋았어요. 직원분들도 친절하시고 맛있는 점심 먹었어요! 다음에도 또 방문할 것같아요~! 조금 아쉬운점은 공기밥이 갓지은 밥이라면 더 좋을 것같아요!",180,True
황금콩밭,대흥로,2860,2026.02.28,1번째 방문,영수증,"유명한 곳이라, 꼭 가보고 싶었는데요 두부가 진짜 맛있어요",32,True
황금콩밭,kkseob9444,1299,2026.02.22,5번째 방문,영수증,좋아요,3,True
황금콩밭,띠아이인,268,2026.02.21,1번째 방문,영수증,아기도 좋아하는 황금콩밭 두부 넘 맛있어요,23,False
