feature,4차_출현건수,5차_출현건수,4차_출현비율,5차_출현비율,차이_5차-4차
specific_review,573,441,91.5,93.6,-132
has_reason,435,345,69.5,73.2,-90
has_generic_praise,418,322,66.8,68.4,-96
has_menu,394,301,62.9,63.9,-93
has_experience_context,281,263,44.9,55.8,-18
positive_narrative,214,222,34.2,47.1,8
has_detailed_negative,221,209,35.3,44.4,-12
first_visit,237,191,37.9,40.6,-46
short_but_specific_food_review,203,156,32.4,33.1,-47
detailed_negative_narrative,151,200,24.1,42.5,49
mixed_opinion_review,166,166,26.5,35.2,0
has_temporal_context,141,104,22.5,22.1,-37
temporal_experience_review,139,103,22.2,21.9,-36
has_sensory_detail,88,100,14.1,21.2,12
short_review,111,49,17.7,10.4,-62
has_mixed_opinion,86,59,13.7,12.5,-27
has_quality_detail,58,82,9.3,17.4,24
has_number_detail,41,41,6.5,8.7,0
revisit,45,24,7.2,5.1,-21
low_information_review,38,11,6.1,2.3,-27
generic_without_detail,20,2,3.2,0.4,-18
