가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
갸우뚱,파랑새,206,3.6,2026-03-19,2.0,False,72,여자 직원분 성실성 및 친절 1점 남자 직원분 성실성 및 친절 5점 맛 3.5점 여자 직원분 태업하시는 것 손님에게는 다 보입니다,골드 레벨
갸우뚱,아공,856,3.2,2026-03-03,3.0,True,44,엄청 맛있다고 할 정도는 아니었지만 하가우가 좋았고 마파두부는 기대외로 좋았다.,골드 레벨
갸우뚱,구혜진,33,3.6,2026-01-29,1.0,True,165,물 대신 제공되는 차 퀄리티가 최악이에요 그냥저냥한 차를 억지로 오래 우려서 쓴맛맛 남은 느낌이었어요.. 해산물볶음밥 - 그럭저럭 괜찮았어요 마파두부 면추가 - 마파두부는 먹을만 했으나 면이 아니라 떡을 추가했나 생각할 정도로 불어있었어요 테이블 간격도 너무 좁아서 합석하는 곳인 줄 알았어요..,실버 레벨
갸우뚱,맛집러버,62,4.1,2026-01-26,2.0,True,37,"중식 좋아하는데 엥?? 비주얼 좋았는데 맛이 조금씩 다 아쉬웠음,,",골드 레벨
갸우뚱,솔,136,5,2026-01-12,5.0,True,66,저렴한가격에 퀄리티도 좋고 맛도 좋은 퓨전 중식들이 한가득이라서 좋았습니다. 특히 동파육 부들부들하니 너무 맛있었습니다,골드 레벨
갸우뚱,부암동 성찬이,386,2.8,2025-12-09,1.0,False,13,기억 속에 흐려지는 맛.,골드 레벨
갸우뚱,얌얌펀취,628,3.9,2025-09-12,3.0,True,42,장점: 볶음밥 불향나서 괜찮았어요 단점: 평이한 맛에 에그누들은 좀 딱딱했음,골드 레벨
갸우뚱,꺼어억뿌우웅,6,4.3,2025-08-15,2.0,False,42,동파육이랑 마파두부 샤오룽바오 먹었는디 동파육은 질겨서 이 사이에 다 낑겼음,브론즈 레벨
갸우뚱,서부,48,3.8,2025-07-16,4.0,False,67,배달 시켰는데 딤섬 가격 좀 있지만 너무 맛있고 잡채밥도 양도 많고 좋아요 ! 근데 면보다 야채가 많긴 해요 ㅋㅋㅋㅋㅋㅋ,실버 레벨
갸우뚱,Brendan,86,4.2,2025-05-27,5.0,True,505,"The main reason we went here was for the dongpo pork dish. The meat was tender and well spiced and coupled with the soft boa bun, it just melted in your mouth. The mapo tofu was made with silken tofu and served with noodles. The taste of the sichuan pepper was really good and we couldn't stop eating it. The restaurant was really busy and we had to put our name on a list and waited about 30minutes to be seated. The dishes were a bit expensive however, I would order and eat it again as it was worth it.",골드 레벨
갸우뚱,ㅇㅅㅇ,53,3.9,2025-03-16,2.0,False,84,탄탄멘 먹어봤는데 매우 별로였어요. 같은메뉴 두개 시켰는데 두개 맛이 달랐어요. 저렴하지도않은데 대부분의 메뉴는 별로고 마파두부정도만 괜찮은가봅니다..,실버 레벨
갸우뚱,.,110,3.6,2025-03-10,5.0,False,34,마파두부에 면추가+꿔바로우 주문해서 3명이 진짜 배부르게 먹음,골드 레벨
갸우뚱,ㅇㅅaㅇ,6,2.8,2025-03-03,1.0,False,36,소고기 차오미엔 에그누들 덜 익었어요 가지새우는 맛이 어중간하고요,브론즈 레벨
갸우뚱,맛집만 노리는 검은 복면,355,3.8,2025-02-03,3.0,True,116,맛있긴한데 너무 짜고 마파두부는 하나도 안 매워서 아쉬움… 두부 자체는 맛있었음 먹고 나면 나트륨에 몸이 절여진 느낌이라 물 한바가지 먹어도 갈증이 해소가 안 됨 추운 날 따뜻한 물 줘서 좋지만 역시 너무 짬,골드 레벨
