가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
계향각,뽐뽐,35,3.7,2026-03-14,5.0,False,6,최고임당!!,실버 레벨
계향각,박예현,51,3.7,2026-03-06,5.0,True,180,"깔끔함, 정갈함, 덜어냄, 절제미, 본연의 맛, 짜지 않은 간. 압도적인 기본기 위에 올린 특별함 한 꼬집 재료별로 익힘의 정도에 따른 식감이 완벽하고 특히 국물류가 아름답게 맛있다. 가격은 조금 비쌀 수 있긴한데 그 값은 한다. 종업원 교육이 굉장히 잘 되어있다. 부모님과 또 오고 싶다. 남녀노소 누구와든 와도 되는 집",실버 레벨
계향각,루루,12,3.3,2026-02-18,1.0,False,27,"일부러 찾아갔는데. 이 가격에 만족도는 배신감,.",실버 레벨
계향각,상상용,551,3.6,2026-02-12,5.0,True,9,최고였습니다!!!,골드 레벨
계향각,냠냠,14,3.4,2026-02-11,5.0,True,25,음식도 맛있고 쉐프님도 너무 멋있으셨습니다!!,실버 레벨
계향각,맛잘알 선생,3,4.3,2026-02-01,5.0,True,28,"싸인,사진 까지 잘받았습니다. 모든음식 맛있었습니다",브론즈 레벨
계향각,후기 미제공은 거른다,114,3,2026-01-31,5.0,False,70,"가성비로 오는 식당 아님. 자극적이지 않은 정통 중국식이다. 맛 보장가능, 다만 지갑이 많이 아파짐. 셰프 교수님 성격 좋으심",실버 레벨
계향각,정원선,69,3,2026-01-30,3.0,False,125,"음식은 괜찮습니다만, 예약 후 실제 이용 시간이 너무 짧구요. 가격도 상상 이상으로 너무 높습니다. 이 가격이면 비행기표 끊고 중국 청도 가서 먹는 게 나을 정도예요. 가격 정책을 이해하기 어렵네요. 재방문 의사는 없습니다.",실버 레벨
계향각,도자기,61,2.6,2026-01-21,5.0,False,73,친절하고 재료 좋고 음식 훌륭하고 제공되는 차 마저 너무 맛있고 개운함 미쳤음 콜라도 5000원이라 그런지 계향각 콜라가 젤 맛있음,실버 레벨
계향각,찐팩폭,993,2.8,2025-11-26,2.0,False,132,찐맛집인진 몰겠는데 가격이 넘 사악해서 요리하나 잘못 시키면 존망일듯. 너무 비싸서 여긴 무조건 단체로만 가얄텐데 잘못 델고갔다간 욕먹을거 같은데 드셔본분들 소감이 어떨지… 그나저나 이동네서 저런 고가정책이 먹힐리가 만무한데 곧 폐업할듯,블루 레벨
계향각,김서현,8,4.5,2025-11-22,5.0,True,7,맛이 아름다움,브론즈 레벨
계향각,풀피리비빔밥,17,4.4,2025-11-17,1.0,False,2,최악,브론즈 레벨
계향각,주관적감별사,238,4.2,2025-11-15,5.0,True,56,"쏸차이탕면, 라즈지, 동파육, 오이무침 시켰고 너무 맛있게 잘 먹었습니다. 특히 라즈지가 킥이었어요!",골드 레벨
계향각,yoakim,132,1.7,2025-11-09,2.0,True,126,전복 1개에 3만원.동파육도 조그만한거 한 덩이에... 볶음밥 주문하니 딸랑 볶음밥만 줘서 반찬 없냐 했더니 없다고 함. 맛은 있는데 볶음밥만 먹자니 단무지 한 쪽이라도 하는 생각이 간절하게 ~ 나와서 탄산수 사서 마셨습니다.,골드 레벨
계향각,심정현,1,2,2025-11-09,2.0,False,58,"테이블 끈적거림. 청결도 너무 아쉽고, 모기 너무 많고, 맛은 보통.. 가격 대비 맛이 아쉬웠습니다...",브론즈 레벨
계향각,맛집찾아삼만리,125,3.3,2025-10-14,3.0,False,14,맛은 괜찮으나 양이 아쉬움,실버 레벨
계향각,캐리안,100,3.2,2025-10-11,5.0,True,34,"정성스러운 음식, 보양식 같아요. 부모님 모시구 오려구요 ㅎㅎ",골드 레벨
계향각,Hallo,465,3.5,2025-10-04,5.0,True,37,좋은 재료로 정성껏 만든 요리 친절함과 두 병까지 콜키지 프리는 덤,골드 레벨
계향각,Kirk.jr,8,2.1,2025-09-11,1.0,False,28,동파육 한 덩어리에 2만2천원인데 너무 질겨요...,브론즈 레벨
계향각,JK5735,1,5,2025-08-29,5.0,True,33,친절하신 점도 좋고 일단 음식 너무 맛있게 잘먹었습니다. 💯,브론즈 레벨
계향각,왔다리갔다리,14,2.7,2025-08-29,5.0,False,17,절대 가지마세요. 나만 갈 거임,실버 레벨
계향각,pendulum,25,4,2025-07-05,5.0,False,152,"중식을 한국 말고 중국에서 많이 드셔보신분들은 아실거라 생각함, 요리에 시간을 적게 들이고 많이 들이고의 차이가 맛에서 느껴지기 때문임 불조절은 기본이고.. 중식이지만 호텔보다도 더 고급진 중식요리라 생각함 개개인의 입맛 차이는 있겠지만 이 가격도 사실 굉장히 저렴해 보임",골드 레벨
계향각,SOL,5782,3.3,2025-05-01,4.0,False,304,"가야는이유 : 고급스러운 중식을 경험할 수 있는 신계숙셰프의 매장 안가는이유 : 기본 가격대가 있는 편 동파육,생선찜,탕수갈비,해선볶음밥,오이냉채,빠스 : 청나라시대의 요리를 재현했고 유명한 셰프님이시기에 한 번 방문해보고 싶었던, 동파육은 그동안 먹어온 것과는 차원이 다를만큼 녹아내림이 느껴지는 맛이어서 놀라운, 생선찜은 생선은 맛있었지만 다진고추의 매운맛이 너무 강했던, 탕수갈비는 단맛이 기분 좋았는데 갈비뜯기가 힘들었던 것이 불편, 볶음밥 오이냉채 빠스 모두 만족, 인당 5만원선에서 충분히 즐겼고 2병까지 콜키지프리라 더욱 잘 즐겼던",퍼플 레벨
계향각,Hasslefree__,66,2.8,2025-01-25,2.0,False,198,직원들 친절하고 응대는 나쁘지 않은데 음식 가격 고려하면 시리즈 오브 정말 어정쩡한 음식들 환기 시설이 잘 안되어있음 한겨울에 답답해서 룸 문을 열었다 닫았다 디저트류는 괜찮았음... 희귀한 조리 방식이어서 의미있는 곳이라면 그렇다치지만 여기가 진짜 맛있었다는 리뷰어들은.....한국에 맛있는 곳 정말 많은데...이보다 훨씬 맛있는곳 정말 많아요...;;,실버 레벨
계향각,ㅎ,10,4.1,2025-01-20,4.0,True,238,"연말모임위해 큰 맘먹고 방문, 팔보오리&갈비찜은 며칠 전 예약했고, 사진으로는 음식량 가늠이 안돼 냉채류/기타는 음식 나오는 거 보면서 주문해도 음식 나오는 속도 좋았음. 콜키지프리인게 장점인데, 술을 많이 안먹는 인원구성이면 메뉴가격대가 높아 메뉴판 사전 공부하고 가는 걸 추천. 흔치않은 메뉴에 옛 궁중요리법이라 구성/맛/서비스에 사장님 유쾌한 응대까지 기분좋은 식사였고, 다음에 간다면 다른곳에서 못 본 메뉴만 먹어볼께요",브론즈 레벨
