가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
1940금문,뉴펜,1,1,2026-02-25,1.0,False,127,후기대로 최악의 식당 주문후 한시간 오십분을 기다리게하는 양심없는 식당 예약자가 많았다는 성의없는 응답만 되풀이 중간에 나가지도 못하게 기다리게하는 거짓멘트 짜장은 떡져있고 튀김은 태워져 있는듯 능력이 안되면 손님을 받지 말던가,브론즈 레벨
1940금문,🌽,92,2.9,2026-02-23,1.0,False,92,혜화 오래 살았고 졸업식때 종종갔는데 제글 보신분들은 졸업식때는 절대 가지마세요. 음식 한시간 반 걸려도 안나와서 그냥 나왔습니다. 원래 이정도는 아니었는데 변했어요,골드 레벨
1940금문,5점아니면1점,17,2.9,2026-02-13,1.0,True,73,맛 없다는 평들을 보고 간단하게 시켰는데 정답이었습니다 맛 없어요 군만두는 뭘 어캐 한건지 군만두가 맛 없기 쉽지 않은데 참....,실버 레벨
1940금문,맛집탐방러,1,1,2025-12-30,1.0,False,99,"제가 먹어본 짜장면중에 제일 최악이었습니다.. 맹맛에 가까운…ㅠㅠ 어렸을때 먹어본 기억으로 재방문한거 였는데…리뷰처음써보는데 너무 속상하네요 ㅠㅠㅠㅠ 짬뽕,탕수육은 무난했습니다~",브론즈 레벨
1940금문,신종철,16,4,2025-12-14,1.0,False,99,"13명이서 70만원어치 먹었는데 양이 적어 계속 배고팠고, 세상 젤 맛없는 짬뽕도 경험했너요. 저 정도 매상에 군만두 서비스도 안주더군요. 그냥 짜장면만 먹으러 가야할 집입니다.",실버 레벨
1940금문,김마루,536,3.8,2025-11-03,3.0,True,3,무난함,블루 레벨
1940금문,푸드이퀄라이저,883,4.5,2025-11-03,4.0,True,22,"난자완스, 울면 굿 탕수육, 잡채밥 보통",블루 레벨
1940금문,나아갈 進 형통할 亨,9,3.2,2025-10-27,1.0,False,107,옛날 생각해서 방문했습니다. 그런데 완전히 이상하게 변했네요... 형편없는 요리를 내오면서 가격은 3만원이 훌쩍넘었습니다. 다시는 방문하지 않겠습니다. 정말 해도해도 너무하고 어처구니가 없네요,실버 레벨
1940금문,20309김하온,4,2.3,2025-10-26,2.0,True,111,짜장 맛은 맛은 좋습니다. 그리고 밥 종류는 진짜 맛있네요. 근데 고춧가루통이 다이소에서 비닐도 안떼고 솔직히 비닐안쪽에 물이없어서 통을 안씻은거같아요.. 숟가락도 젓가락도 찐득허고 그렇네요.....,브론즈 레벨
1940금문,김록운,142,4.2,2025-10-08,3.0,True,141,"짜장면, 탕수육 탕수육은 뎀뿌라 스타일로, 소스에 젖어도 바삭한 맛이 남아있습니다. 그것은 좋네요. 20년전 고등학생때 먹었던 그 맛과는 사뭇 다르네요. 가게가 없어진줄 알았는데, 같은 이름이 있어서 기회가되어 방문했습니다만... 많이 바뀌었습니다...",골드 레벨
1940금문,아아하하,107,3.3,2025-01-08,4.0,True,31,쏘쏘인데 왜 별점 낮은지 모르겠네 맛 ㄱㅊ음 밥류 잘하심,골드 레벨
1940금문,평범한사람,68,3.8,2025-01-03,2.0,False,34,맛도 없고 메뉴는 누락되고 친절하지도 않고 싸지도 않음. 4B,실버 레벨
