가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
나누미떡볶이 성대본점,눈누난나,1206,3.7,2026-04-04,4.0,False,5,떡볶이맛집,블루 레벨
나누미떡볶이 성대본점,김지훈,95,3.5,2026-03-28,5.0,False,2,맛남,실버 레벨
나누미떡볶이 성대본점,쏠찍헌후기만남김,76,2,2026-03-24,3.0,True,86,떡볶이 맛은 평범(오뎅과 같이 먹어야 맛있음!) 오뎅꼬치가 넘 맛있었어요 첨 방문했을보다 맛나게 먹엇네요 공간이 좁은게 아쉬워요ㅠ 물도 나올때나 마실수있을,실버 레벨
나누미떡볶이 성대본점,아나키,3,3.7,2026-03-23,1.0,False,17,직원분 말씀이 화장실이 없답니다,브론즈 레벨
나누미떡볶이 성대본점,산토리드,21,4.8,2026-03-09,5.0,True,44,최고...❤️💛 떡볶이 순대 오뎅 김밥 다 맛.있.어!! 요!!💯 강력추천!!!,실버 레벨
나누미떡볶이 성대본점,"박준용, 지혜의 한 편린을 좇아",118,4,2026-03-09,1.0,False,7,달고.. 비쌈,골드 레벨
나누미떡볶이 성대본점,김지현,3,5,2026-03-03,5.0,True,18,가까이 있어주어서 다행이야❤️‍🔥,브론즈 레벨
나누미떡볶이 성대본점,동네주민,387,3.4,2026-02-04,4.0,True,70,한 입에 쏙 들어가는 매콤 쫀득 달달 진한 쌀떡볶이. 다른건 다른 곳이 더 맛있지만 떡볶이는 독보적이고 찍어먹을건 필요하니까.,골드 레벨
나누미떡볶이 성대본점,-,78,3.1,2026-01-25,4.0,False,26,맛은 있는데 어묵간장 좀 방식을 바꿔주면 좋겟음,실버 레벨
나누미떡볶이 성대본점,노랑푸딩,73,3.1,2026-01-11,5.0,True,123,떡이 진짜 말캉말캉 보들보들 이런 쌀떡볶이는 처음 먹어봄 가히 놀라운 식감 압도적임 가격 비싼거 맞는데 그래도 먹을 가치는 충분하다고 생각함 평일 저녁 6시 웨이팅 없이 들어갔으나 다음에 30분 정도는 웨이팅할 의향 있음,실버 레벨
나누미떡볶이 성대본점,단초,18,4.3,2026-01-09,3.0,True,3,무난~,실버 레벨
나누미떡볶이 성대본점,만두보이,118,3.4,2026-01-01,5.0,True,428,"감사합니다 사랑합니다 오래오래 있어주세요 15년전부터 다닌 나의 단골 떡볶이집!! 자기주장 강한 고추장 베이스의 양념, 애기볼살마냥 보들보들한 쌀떡, 위에 올라간 알싸한 쪽파의 조합이 좋습니다. 사실 양념이 엄청 맛있다고 하기엔 제 떡볶이 기준이 여기로 잡혀버려서, 객관적인 판단이 힘들 것 같아요..ㅎㅎ 근데 떡은 진짜 압권입니다. 보들한 쌀떡? 이거 귀하거덩요 오뎅도 n년전까지는 쫄깃하고 두툼해서 압권이었는데, 요즘은 뭐 오뎅 맛있는 곳도 많아서 필수코스는 아닌듯 + 김밥과 순대도 그냥 그렇습니다 여기는 떡볶이가 맛있는 곳이에요 가격도...예전에 비해 올라서 서운하긴 하지만 예전에도 싼 떡볶이는 아니어서 그냥 그러려니합니다. 추가로 매년 1번쯤은 제가 입맛이 변했나 확인하는 척도로 사용할 정도로 맛이 15년전과 동일!합니다 이건 진짜 갈때마다 놀라움...",골드 레벨
나누미떡볶이 성대본점,카다이프피그🐷,89,3.8,2026-01-01,5.0,True,170,ㅁㄷㅂㅇ의 소중한 추억이 담긴 곳.. 혜화 처음 와봤는데 따뜻하고 아늑한 손님들로 북적이는 식당이라 맘에 들었어요 떡은 너무 퐁신하고 갓 뽑은 듯한 보들쫄깃한 맛이에요 양념이 내 스타일이 아니었음에도 떡때문에 이 동네 지나칠때마다 계속 생각날 것 같네요 ㅁㄷㅂㅇ의 추억 한 켠에 이젠 나도 있겠구만! ㅎㅎ,골드 레벨
나누미떡볶이 성대본점,뉴,109,4.3,2025-12-29,5.0,False,71,값이 증말 많이 올랐음. 비싸서 못 사먹음 그렇지만 여기 떡뽀끼가 젤 맛있는 것 같음 떡이 애기귱둥이처럼 몰랑몰랑야들야들쫀득쫀득,실버 레벨
