가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
동해루,맛집탐방,109,3.4,2026-04-10,5.0,True,137,"나중에 또 오고 싶어요. 짜장은 맛있었고, 탕수육은 간이 약한 것 같아요. 단독으로는 비추천 드려요. 젓가락으로 짜장과 탕수육을 같이 혼합해서 먹어야 밸런스가 맞아요. 그렇게 먹으니까 찰떡궁합이었어요. 일부로 같이먹으라고 그렇게 만드신거같았어요.",골드 레벨
동해루,흐미,107,4.2,2026-03-26,5.0,True,27,"탕슉이 아주 맛나요, 다른집과는 아주 확 달라요.",골드 레벨
동해루,불친절극혐함,37,3.3,2026-03-15,4.0,True,46,연슐랭 4.0 자극적이지 않고 진짜 기본값 짜장 탕수육 그래도 근처에 있우면 또갈집,실버 레벨
동해루,캐주얼큐,403,4.1,2026-01-26,5.0,True,208,"저는 탕수육 소스 찍먹을 지향하여 왔었거든요. 바삭함을 지키려고. 그런데 이곳, 부먹 탕수육은 고기선택 익힌정도 튀김옷 등 밸런스가 딱 맞아요 . 쫄깃하고 적당히 기분좋은 육질. 그리하여, 어설픈 부먹이 아니라 완성도 높은 <코팅>을 손님에게 선사합니다. 다른 메뉴도 경험하고 싶도록, 가게 내부와 건물주변, 음식의 맛과 여주인의 자부심에서 깊은 내공이 잔잔히 느껴집니다.",골드 레벨
동해루,Jisoo*,120,4.3,2026-01-21,5.0,True,15,요근래 먹은 간짜장중 원탑!,골드 레벨
동해루,맛집만남기는,9,5,2026-01-09,5.0,False,77,여기는 탕수육을 드시면 안돼요.... 고기튀김(덴뿌라) 를 시켜서 드셔야합니다. 아무도 모르시는것 같아서 남겨요!!! 진짜 꼭꼭 드셔보세용,브론즈 레벨
동해루,육구205,3,5,2026-01-08,5.0,False,17,"탕수육, 새우간짜장 진짜 맛있음",브론즈 레벨
동해루,"은평-서대문, 서울서북 가성비 매장들",197,3,2025-12-30,3.0,True,382,"1. 12시 10분이 넘었는데 여전히 빈자리가 있음 2.생양파 뭐하러 따로 먹음? 양배추, 양파는 아삭아삭함. 면과 샐러드먹는기분 ㅠㅜ 3. 간짜장말고 볶음밥 짬뽕도 많이먹음. 간짜장 때문에 오는걸 절대 비추!! 🥹🥹🥹 4. 여길오면 짜장면의 하향평준화를 느낌. 예전에 여기 맛집이라고 데려오면 정말 욕먹음. 5. 그럼에도 불구하고 7,000원의 착한가격. 새우간짜장 9,000 솔직히 이게 위부분을 많이 상쇄함. 요즘은 걍 비싸고 맛없는 짜장면집도 워낙 많아서 토핑추가되었는데 만원 밑이명 동네보다도 싼 가격이라고 생각됨. 6. 결론. 3점을줄지 4점을줄지고민이 되었으나 4점을 주기에는 단점이 너무 많음. 무엇보다 간짜장에 국물 흥건한게 너무 짜증났음.재방문의사없음.😍☺️☺️☺️",골드 레벨
동해루,마츠다세이코,28,2.8,2025-12-28,5.0,True,25,탕수육 고트🥲 근래 먹었던 탕수육중 최고입니다,실버 레벨
동해루,머그러다니는1인,50,4,2025-12-18,5.0,True,69,"간짜장,탕수육 진짜 너무 맛있어요~!!꼭 다시 먹으러 올꺼예요!! 탕수육 찍먹파는 좀 아쉬울수 있지만 ㅋㅋ 그래도 맛있어요!",실버 레벨
