가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
소친친,호다닥,31,4.3,2026-03-18,5.0,False,45,가성비 미쳤고 혜화 중식당은 그냥 여기가세요 유명한 곳보다 더 맛있었음 개인적으로,실버 레벨
소친친,푿잘알,37,3.4,2026-03-16,4.0,False,19,혜화 맛집임 데이트코스로도 괜찮은듯,실버 레벨
소친친,얌냠냠,56,3.8,2026-03-02,4.0,True,11,맛도좋고 분위기도좋다,실버 레벨
소친친,정예린,1078,4.5,2025-12-31,5.0,True,23,깐풍기 개쳐존맛 볶음밥이랑 새우탕면도 맛남,블루 레벨
소친친,3점부턴맛있음,208,3.3,2025-12-19,3.0,True,48,+ 준수한 맛의 홍콩 요리 + 독립적 좌석 구성 + 저렴한 가격 - 약간은 어쉬운 개성,골드 레벨
소친친,냥!,28,4.3,2025-11-30,5.0,False,64,꿔바로우 맛집 학생들 없는 평일 방학에 점심에 가면 웨이팅 없어요 다른 메뉴는 무난한 편이고 꿔바로우 꼭 시켜야해요,실버 레벨
소친친,3.3,32,3.1,2025-11-22,5.0,True,31,맛있습니다 브레이크타임 이후 주말에는 금방 만석이 돼요!,실버 레벨
소친친,놀이터흙이제맛,120,4,2025-11-08,3.0,False,7,음... 그닥,골드 레벨
소친친,🫠🫠,7,3.3,2025-11-01,5.0,False,42,무조건 새우탕면. 맛도 좋고 가성비도 좋음. 전체적인 메뉴 양이 마음에 듦.,브론즈 레벨
소친친,ㅅㅎ,81,4,2025-10-29,5.0,True,5,가성비 짱,실버 레벨
소친친,익묭,73,3.6,2025-10-16,3.0,True,145,라로미엔인가 빨간 국물 면 땡길 때 상당히 괜찮아요 근데 우육면~의 범위에서 생각할 수 있는 그 흔한 맛이고 꿔바로우도 먹었는데 여느 분들의 말씀대로 가성비가 좋은 것과는 좀 거리가 있어요.. 사진이 대자에요 점심 시간대 이용해서 식사만 할거면 괜찮을수도..?,실버 레벨
소친친,앙이,116,4.3,2025-10-13,3.0,False,9,맛있는지 몰르겟다,실버 레벨
소친친,HaLo.win,58,2.9,2025-09-21,1.0,False,159,"종종 가던 곳인데 우리집 막내 초딩5학년 애랑 4식구 갔더니 노키즈존이라고 안된다네요 키즈 뜻도 모르나? 우리집 애가 거기 알바녀보다도 큰데 적게 먹어서 오지 말라는건가, 떠들까봐 오지 말라는건가 그것도 아닌데 노키즈라니 어이상실 거기서 먹은게 코로나전부터 수십번인데 어이 없는 집이네",실버 레벨
소친친,ㅅㄹㅌㄹ,135,4.2,2025-09-15,4.0,True,52,볶음밥 고슬고슬하니 맛있고 꿔바로우가진짜 너무맛있어요 근데 식사류가 좀 비싸다고 느껴져서 4점,실버 레벨
소친친,라마,120,3.3,2025-09-03,3.0,True,26,"주의, 저녁에 먹고 자면 다음날 얼굴이 퉁퉁퉁퉁",골드 레벨
