가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
오이지,솔,136,5,2026-04-05,5.0,True,115,퓨전한식집으로 인기가 상당히 많으며 특히 외국인분들도 많이 찾는곳입니다. 차돌들기름 국수는 고소한 맛있었고 치즈감자전은 식감이 대박이었습니다. 명란치즈순두부 또한 한국인입맛에 딱 맞는 훌륭한 음식이었습니다.,골드 레벨
오이지,맛있는게joa ^_^,1,2,2026-04-04,2.0,True,187,흑임자크림수제비랑 차돌들기름국수 먹었어여. 흑임자크림수제비는 흑임자 맛이 거의 안 났고 수제비는 밀가루반죽 씹는 거 같았음. ㅠㅠ 차돌들기름국수는 처음 먹었을 때는 괜찮다고 생각했는데 식으니까 고기 냄새 나고 너무 달았어여 옛날에 먹었던 명란치즈순두부랑 꼬막비빔밥은 맛있었던 기억있으니 얘네 추천합니당. 음식이 빨리 나오는건 조았어요.,브론즈 레벨
오이지,맛도리사냥,52,3.7,2026-03-30,5.0,False,7,맛있어요 :),실버 레벨
오이지,깜냥,84,4.1,2026-03-10,3.0,True,12,음식 빨리나오는건 좋음,골드 레벨
오이지,밤,28,3.4,2026-03-02,5.0,False,35,반주가 너무 잘어울리는 음식들이 많아요ㅠㅠㅠ 짱맛있어요!!!강추,실버 레벨
오이지,앙이,116,4.3,2026-02-19,3.0,False,28,유명한데 그렇게 맛있지는....않은거같애영 무난무난,실버 레벨
오이지,meow,191,3.6,2026-02-18,2.0,True,171,퓨전 한식 맛있고요 한옥이 예뻐요. 근데 이 좋은점을 갖고도 직원들 서비스가 영 별로에요. 옆에서 밥먹고있는데 상 치우는데 진짜 그릇 집어던지고 부딪히는 소리 계속 내고요. 특히 빡빡머리 나이있는 남자 화가 난건지.. 무표정 짜증으로 손님 응대하시고요. 진짜 서비스 매너 하나도 없어요.. 진짜 이제 안와요,골드 레벨
오이지,13층돼지부부,34,4.3,2026-02-12,2.0,True,113,홍석천이원일 유튜브 보고 방문했어요 너무 기대하고 가서 그런지 한식주점인데 다양한 메뉴가 있는것도 아니고 특색 있지도 않고 맛도 많이 아쉬웠어요 (｡•́ - •̀｡) 가격은 괜찮아요! 가격만 괜찮았어요🥲,실버 레벨
오이지,63세김춘식할아버지의마지막두쫀쿠,43,4.6,2026-02-06,5.0,False,44,순두부 들기름국수 온국수 다 맛있었어요 내부 분위기도 무슨 정원에서 밥먹는 느낌,실버 레벨
오이지,도야지,227,3.4,2026-02-01,3.0,False,304,"퓨전 한식주점이고 가격 합리적. 몰랐는데 인기가 많은집같고 밥시간에 오면 웨이팅 오래 할듯. 주말 5시반쯤 방문했고 조금기다리고 입장함. 테이블간 간격이 좁고 데이트하는 커플들이 주로 많이보였음. 다만 테이블을 띄워서 앉아서 테이블에 주문패드가 없어서 직원을 불러야 되는데 자동주문시스템이라 그런가 직원들이 테이블을 보지를 않음. 결국 캐셔대 가서 주문함ㅋ 명란치즈순두부랑 차돌메밀국수? 먹었고 둘다 맛있었음. 본인은 순두부, 일행은 국수가 맛있다 함. 근데 가게이름이 오이지인데 오이지가 영.. 짜기만함. 우리집 오이지가 더 맛있는 아이러니.",골드 레벨
오이지,후후,45,3.6,2026-01-31,3.0,True,40,차돌메밀국수 뭔가 뜨끈하고 밍밍햇어요 들깨수제비랑 명란순두부는 맛있습니더,실버 레벨
오이지,..,119,4,2026-01-28,4.0,True,23,명란치즈순두부 맛있음!! 살짝 짜긴 합니다,골드 레벨
오이지,관상가 양반 내가 후기왕이될상인가,554,3.6,2026-01-15,1.0,True,140,매장은 예쁘게 생겼는데 직원들이 불친절하고 더러워요. 수저통 안에 머리카락있는거 보고 입맛 뚝 떨어졌습니다. 계산할 때도 본인들이 다른 테이블걸로 잘못 계산해놓고 저에게 따지듯이 말하더라구요. 주변 다른 맛집 많은데 여길 가야할 이유를 못 찾겠습니다.,블루 레벨
오이지,머여,430,3.2,2026-01-13,2.0,True,226,"굳이 다신 가지 않을 곳인 거 같네요. 맛은 그냥 그랬고 전체적으로 느끼하고 달았습니다. 가격대도 꽤 나가요. 근데 직원분들이 너무 불친절하셔서 더 실망스러웠고.. 맛은 둘째치고 점원분들 너무불친절하셔서 다신 안가고싶어요. 음식이나 반찬 나와서 세팅 해주실때도 그냥 슥 오셔서 툭 놓고가시고 .. 퓨전 식당에 데이트하기 좋은곳인 건 알겠지만, 저라면 점원분들 너무불친절 하셔서 데이트하다 기분나빠질거같아요",블루 레벨
오이지,Master peace,199,4.1,2026-01-02,4.0,True,93,맛있긴한데 다른 리뷰처럼 느끼하긴합니다. 매콤한 국물류 추가 필수 1시간 이상 웨이팅하면서까지 먹을 맛은 아니고 오픈런이나 평일 일찍 와서 빨리 먹고 가는거 추천이요.,골드 레벨
오이지,또똥,2,3.5,2025-12-19,2.0,True,58,"달고 느끼한 음식 좋아하면 가세요 근데 전 왜 인기가 많은지 모르겠는 곳,, 이름따라 오이지가 젤 맛있음",브론즈 레벨
오이지,뚜,20,4.2,2025-11-30,3.0,False,41,맛은 있는데 너무 비싸고 옛날에 예약이벤트로 사과 막걸리줬을때가 좋았어요…,실버 레벨
오이지,현민,75,4.4,2025-11-26,5.0,True,19,맛있고 양 많고 분위기 좋았습니다.,실버 레벨
