가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
청화원,사람이먼저이다,13,2.2,2026-04-07,2.0,True,62,직원이 자리 잘 못 안내 해주셨는데 왜 손님 탓에 해? 맛이 아예 대만맛 아닌데 대만 육우면이름으로 뻥치지마세요,실버 레벨
청화원,윤빔,176,3.5,2026-03-17,5.0,True,567,"<청화원에 있는 음식 전부 먹어보기 중..> 어향가지 덮밥: 가지 편식한 나에게 가지를 사랑할 이유를 줌. 소스 진짜 맛있고 가지 맛 거의 안나고 고구마 같을 정도임. 좋은?건진 모르겠지만 ㅋㅋ 가지 불호여도 드셔보세요. ㄹㅇ 존맛탱구리. 어향 육슬보다는 소스가 덜 짜고 덜 자극적인 느낌 어향육슬 덮밥: 첫 입 먹었을때 진짜 기분 다운될때 먹으면 입맛 싹 돌겠다는 생각이 들었음. 근데 한 75% 먹었을때쯤 조금 물림. 친구랑 둘이 와서 두 그릇 중 하나 이걸로 시켜서 나눠먹으면 좋을듯 면류 다 괜찮아요. 볶음면은 제 스타일은 조금 아니었지만, 다시 시킬 의향은 백퍼 있음 저 딤섬 진짜 요물임 꼭 시켜드세요!! 전 찐따라 맨날 남들 사이드로 시킨거 부러운 눈빛으로 쳐다봄 <아래는 내가 작년에 여러차례 추가하며 적은 후기> 음식 나오는데 한 20-25분 걸린듯 야마 돌뻔해서 별 한 개 뺌 건더기도 많고 ㄱㅊ음 막 개특별은 아닌듯 재방문은 할거임 다양한 메뉴 먹고파서 단, 시간이 많을때 오늘 또 왔음 오늘은 음식 금방 나옴. 종업원은 약간 무례 딤섬 직접 빚으시는 거 보고 감동 받아서 시켰음. 매우 맛있다",골드 레벨
청화원,aaaa,1,1,2026-02-18,1.0,False,379,맛도 괜찮았고 가격도 싸고 가게도 깨끗하고 다 좋은데 서비스가 엉망이네요 명절 전날 8시 20분쯤 방문했는데 직원분이 8시 30분이 라스트오더인데 괜찮은지 물어보셔서 괜찮다고 하고 바로 주문했습니다 주문한 음식은 8시 30분이 좀 지나서 나왔고 8시 40분쯤부터 직원분이 계속 영업 끝났습니다 죄송합니다 외치면서 돌아다니셨어요 명절 전날이라 영업을 짧게 하실 수도 있는건 이해하지만 라스트오더 시간만 듣고 빨리 먹고 가야겠다 싶어서 음식을 시킨 입장에선 굉장히 당황스러웠습니다 저보다 늦게 들어오신 손님도 계셨고 저보다 음식이 늦게 나온 손님도 계셨는데 일단 본인들은 주문받고 팔았으니 끝이고 손님이 다 먹었든 못 먹었든 쫓아내려고 안달난 꼴 너무 잘 봤구요 굉장히 불쾌했습니다,브론즈 레벨
청화원,정이,22,3.9,2026-01-31,5.0,False,18,맛있음 유린기도맛있고볶음면도맛잇옹,실버 레벨
청화원,[Jacky!],5,5,2026-01-20,5.0,True,112,우육도삭면 먹어봤는데 김치와 양파를 다져서 넣어 김치찌개와 된장찌개 중간의 짭짤한 국물과 식감에 꽤 만족하며 먹었습니다 고기는 딱 다섯점이지만 부드럽고 꽤 맛있더라구요 다른 메뉴들도 먹어볼 것 같네요~,브론즈 레벨
청화원,곰중,6,4.7,2026-01-16,4.0,True,89,만두 바로 만들어 주시는 거라 맛있으니까 꼭 드세요 밥도 맛있고 매운 면 메뉴 + 볶음밥 + 만두 조합 추천 근데 사람 많은 점심시간 때 가면 쫌 기다려야 돼요,브론즈 레벨
청화원,일단미소,43,4.6,2025-12-18,5.0,True,80,"소롱포, 우육면, 꿔바로우 시켰는데 너무 맛있게 잘 먹었어요. 입 짧은 유치원생이 이렇게 집중해서 먹는 것도 오랜만에 봄... 조만간 또 갑니다",실버 레벨
청화원,mnnn39,4,3,2025-12-03,2.0,False,43,약간 수제비먹는느낌 저는 그냥 그럿저럭 먹을만했는데 친구는 별로래요 다 못먹음,브론즈 레벨
청화원,후기조작이면말없이1점,118,4.4,2025-11-15,5.0,False,25,여기다맛있어서 둘이서 다섯그릇 시킴 넘맛있어요,실버 레벨
청화원,유채은,2,5,2025-10-14,5.0,False,27,도삭면이랑 가지튀김 맛집 딤섬 괜춚 소룡포 맛나요,브론즈 레벨
청화원,몽몽,26,4.1,2025-10-11,5.0,False,43,주문하고 음식 나오는데 뭔 30분이 걸리길래 개빡쳤다가 먹고 맛있어서 화 풀림,실버 레벨
청화원,banana lizard,150,3.5,2025-09-27,5.0,False,101,2025.09.27 5점 제가 좋아하는 중국 음식점들이 슬슬 사라지고 있어요. 지난 해에 3곳이나 문 닫았어요. 여기라도 살아남았으면 합니다.. 2025.07.13 3점 맛 괜찬아요,골드 레벨
청화원,듀이,3,3.7,2025-09-17,5.0,False,34,맛있게 먹었는데 분실물 찾으려고 해도 연락할 방법이 없네요ㅜㅜ,브론즈 레벨
청화원,프로맛집러,14,3.6,2025-09-01,5.0,True,76,진짜 너무 맛있어요ㅠㅠㅠ 파리가 좀 날아다긴 했고 주차는 안 되지만 앞으로 여기 제 최애 맛집 중 하나가 될 듯 해요ㅎㅎ 맛 변치 않길🙏,실버 레벨
청화원,국이아니라리뷰가짜다,38,3.2,2025-07-29,5.0,False,42,"인생맛집 뭘 먹어도 다 개존맛 면 중에는 볶음면류/ 요리류는 딤섬, 크림새우",실버 레벨
청화원,미완예찬,23,3.9,2025-07-01,4.0,False,76,"솔직히 3.5점이라고 생각하지만 반올림해드렸음,, 맛이 없지는 않으나 면이 두꺼워서 씹기 힘들었음. 먹으면서 수제비같다는 생각이 들 정도",실버 레벨
청화원,김강수,393,4.3,2025-06-22,4.0,True,67,도삭면은 수제비와 면의 중간.. 두터운면을 개인적으로 좋아해서 만족했어요. 샤오롱바오는 쏘쏘했지만 전체적으로 만족입니다.,블루 레벨
청화원,낭,19,4,2025-06-15,2.0,True,137,"우육면, 딤섬(수정달만두) 먹었는데.. 우육면은 먹을 만하지만 면이 두꺼워서 먹다가 좀 질리고, 딤섬 맛집이라고 하는데 그건 잘 모르겠다... 여기가 맛집이라고 말하는 사람들은 제대로 된 곳 가본적이 없는듯 😢(만두는 냉동을 쪄서 주는 거 같음)",실버 레벨
청화원,뽀,71,3.1,2025-06-12,2.0,True,60,"친절합니다 맛은… 아닌것 같습니다 ㅠㅜ 그리고 수저 식기 더럽고, 앞치마에서 냄새납니다ㅠㅜ구역질나서 벗었어요",실버 레벨
청화원,미니말리스트,13,3.3,2025-05-26,5.0,False,151,"우육면은 비교할 만한 기준이 없어 정확히 말하긴 어렵지만, 제 입맛에는 꽤 괜찮았어요. 딤섬은 수정달만두와 쇼마이를 하나씩 먹어봤는데, 만두 맛집이라는 말이 괜히 나온 게 아니더라고요. 직원분들은 대부분 외국인으로 보였는데, 정말 친절하게 응대해 주셔서 인상 깊었습니다.",실버 레벨
청화원,비니,33,3.4,2025-05-18,5.0,False,13,우육면 크림새우 맛있어요,실버 레벨
청화원,ㅇㅇ,1,5,2025-05-02,5.0,True,270,진짜 별점 왜 낮은지 모르겠어요... 직원분들 레전드 친절하심. 매운 소스 부탁드렸는데 주방에서 꺼내서 가져다 주시고 바지에 흘렸는데 퐁퐁 묻은 티슈 가져다 주시고...🥹🥹 우육면은 원래 새콤한 맛 나서 뭐 사람에 따라 입에 안 맞을수도 있겠다 싶었긴 했는데 제 입엔 너무 맛있었고 요!!!! 쇼마이가 ㄹㅇ 개맛있음 ㅁㅊ세기임 제가 떵개엿으면 아마 어향육사 덮밥도 시켰을텐데 아쉬버요... 다음에 또 올 듯 진짜!! 최고 맛있음 짱친절 서비스에 하루가 행복해졌네여.^^ 개래전더리추천,브론즈 레벨
청화원,제육볶음,44,3.2,2025-04-23,3.0,True,2,평범,실버 레벨
청화원,👾,93,3.9,2025-04-15,4.0,True,346,원래 가려했던 곳 말고 지나가다가 메뉴가 너무 맛있어보여서 들어왔어요 직원분들 엄청 친절하셨고 회전율도 좋아서 피크타임에 한 10분정도 기다리고 앉은 것 같아요 호랑이 볶음이라는게 있길래 궁금해서 한번 시켜봤는데 단맛이 하나도 없는 제육맛이었어요 와 맛있다!! 까진 아니었는데 먹을만 했어요 밑에 불을 놔줘서 끝까지 따뜻하게 먹을 수 있어 좋았어요 우육면은....제가 알던.. 생각했던 맛이 아니었어요 왜 뭔가 살짝 짜장에 물탄맛도 났고 면발 자체는 딱좋았는데 그냥 맛이 이상했음 그래도 쇼마이가 진짜 맛있었어요 돼지랑 새우.. 실패할 수 없는 조합 아 그리고 공기밥 무료인거 개큰감동... 많이먹진 못하지만 일단 감동,골드 레벨
청화원,강치형,44,4.4,2025-03-15,4.0,False,19,호기심에라도 꿔바로우는 시키지 마소,실버 레벨
청화원,듀앙,100,3.2,2025-02-23,4.0,False,21,무난함 가지튀김 드세요 면류는 그냥그럼,실버 레벨
청화원,Filterless table,218,4,2025-02-23,4.0,True,109,"면에 간이 하나도 안베어있어요 면 데쳐서 그냥 국물에 넣은맛 국물, 쇼마이는 맛있어요 음식 나오는 시간 차이가 좀 심함 다 식어서 먹음 쇼마이 다 식었을때쯤 우육면 나옴 젊은 알바분들은 친절하세요",골드 레벨
