가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
핏제리아오,🥑,365,4,2026-04-11,4.0,True,48,"알리오올리오, 스텔라 피자 시켰는데 진짜 맛있었어요 스텔라 짱! 소스가 킥인 것 같아요",골드 레벨
핏제리아오,뾰로롱,8,3.8,2026-04-11,3.0,False,30,"기대하고갔는데 정말 평범한 맛의 피자,파스타 였습니다!",브론즈 레벨
핏제리아오,え,68,3.9,2026-04-05,4.0,True,23,양도 푸짐하고 피자 파스타 다 맛있어요!!,실버 레벨
핏제리아오,Alexandr,1,1,2026-03-31,1.0,False,134,Excellent service. The pizza was made from old dough. The dough was sour and had an unpleasant smell. I really liked the Caesar salad.,브론즈 레벨
핏제리아오,Yoon,43,4.4,2026-03-27,4.0,False,22,피자는 가성비가 참 좋아요 파스타는 별로,실버 레벨
핏제리아오,예림,58,4.2,2026-03-26,1.0,False,83,"담당 직원분이 식기를 정리할때 집어던지듯 쾅쾅 거려서 굉장히 불편했고, 피자, 파스타 둘다 최근 먹었던 음식 중… 그 외에도 또 있지만 말하지 않겠음",실버 레벨
핏제리아오,최다영,14,5,2026-03-17,5.0,True,179,"10년 이상 대학로, 혜화 양식 맛집으로 유명한 지 단번에 알 수 있었던 경험이었어요. 피자와 파스타 종류도 많아서 다음에 또 방문해서 다양한 메뉴들을 먹어보고 싶을만큼 피자, 파스타 모두 대만족이에요! 음식들이 신선하고, 독특해서 데이트, 소개팅, 기념일에 방문하기 좋은 혜화 대학로 맛집으로 핏제리아오 추천드립니다:)",실버 레벨
핏제리아오,.,31,3.7,2026-03-17,5.0,True,7,정말 맛있어요,실버 레벨
핏제리아오,tnksj,114,4.1,2026-03-15,3.0,False,92,손님은 많고 예약하고 가는 걸 추천 다른 지점에 없는 본점만의 메뉴들이 많음 일부 서빙직원 응대가 매우 아쉽고 피자는 맛은 있지만 본점에 너무 기대를 너무 많이 한듯,실버 레벨
핏제리아오,박지은,1,5,2026-03-11,5.0,True,49,가게 분위기도 아늑하고 조명이 예뻐서 사진도 너무 잘나와요! 음식도 맛있고 금방 나옵니당,브론즈 레벨
핏제리아오,울랄라,3,4,2026-03-11,5.0,True,22,피자 파스타 다 너무너무 맛나요~~~💜💜,브론즈 레벨
핏제리아오,맛집정글탐방,165,4.8,2026-03-10,5.0,True,5,와우!!!,골드 레벨
핏제리아오,깜냥,82,4.1,2026-03-09,5.0,True,56,네이버예약 하고 가면 웨이팅 없이 먹을 수 있어요 음식도 맛있고 직원분들도 친절하셔서 기분좋게 식사함,골드 레벨
