index,full_text,candidate_count,first_candidate
1,냠냠얌냠 브론즈 레벨 7 후기 5별점평균 3.2팔로워 0 메뉴 더보기 2026.02.25. 양이 애매한 느낌.. 초밥 금방먹는 양이고 보통 분이면 배가 다 차지는 않고 반정도? 찰 것 같아요 왼쪽 음식 밥에 있는 가루가 너무 많... 더보기 근처 사진 위치기반 0,17,양이 애매한 느낌.. 초밥 금방먹는 양이고 보통 분이면 배가 다 차지는 않고 반정도? 찰 것 같아요 왼쪽 음식 밥에 있는 가루가 너무 많... 더보기
2,민지 브론즈 레벨 3 후기 1별점평균 5팔로워 0 메뉴 더보기 2026.02.10. 맛 가성비 +2 벌써3번째 방문!! 부드럽고 너무 맛있어용 재방문의사 있음 !! 친절하시고 꼭 먹어보세요 근처 사진 근처 사진 근처 사진 근처 사진 위치기반 0,21,벌써3번째 방문!! 부드럽고 너무 맛있어용 재방문의사 있음 !! 친절하시고 꼭 먹어보세요
3,YBR 브론즈 레벨 2 후기 1별점평균 5팔로워 0 메뉴 더보기 2026.02.06. 맛 가성비 +1 연어를 엄청 좋아해가지구 기대하고 방문했는데 너무너무 맛있어요 ❤️❤️ 근처 사진 위치기반 0,20,연어를 엄청 좋아해가지구 기대하고 방문했는데 너무너무 맛있어요 ❤️❤️
4,꿈꾸는봉공이 블루 레벨 73 후기 965별점평균 4팔로워 226 메뉴 더보기 2024.04.14. 비쥬얼은 좋고 연어 선도 나쁘지않고 무난함 근처 사진 근처 사진 위치기반 0,17,비쥬얼은 좋고 연어 선도 나쁘지않고 무난함
5,둡 실버 레벨 19 후기 53별점평균 4.5팔로워 5 메뉴 더보기 2024.03.10. 맛 친절 +1 연어국수보단 꼬꼬동이 맛있네요 근처 사진 위치기반 0,20,연어국수보단 꼬꼬동이 맛있네요
6,후후 실버 레벨 26 후기 45별점평균 3.6팔로워 0 메뉴 더보기 2026.01.31. 홍대점은 진짜 맛잇었는데... 후토마키 너무 퍽퍽하고 맛이없어서 약간 숙연해졌어요... 공간도 작고 테이블도 작고 덜컹거려서 데이트할때 비추 0,14,홍대점은 진짜 맛잇었는데... 후토마키 너무 퍽퍽하고 맛이없어서 약간 숙연해졌어요... 공간도 작고 테이블도 작고 덜컹거려서 데이트할때 비추
7,jjj22 브론즈 레벨 2 후기 1별점평균 5팔로워 0 메뉴 더보기 2026.01.22. 맛 친절 +1 너무 맛잇어요 !!!!!!!!!!!!!!! 0,18,너무 맛잇어요 !!!!!!!!!!!!!!!
8,애벌레 실버 레벨 17 후기 23별점평균 3.6팔로워 0 메뉴 더보기 2024.05.13. 웨이팅 한거에 비하면 .. 0,14,웨이팅 한거에 비하면 ..
9,예원 실버 레벨 15 후기 16별점평균 4팔로워 2 메뉴 더보기 2024.03.23. 후기 왜 저렇게까지 안 좋은지 모르겠다.. 연남점보다 부족한 건 사실이지만 저렇게 욕할 정도는 아니라고 생각한다. 일단 내가 먹어본 메뉴 한정으로 꼬꼬동은 연남점에서 ... 더보기 0,15,후기 왜 저렇게까지 안 좋은지 모르겠다.. 연남점보다 부족한 건 사실이지만 저렇게 욕할 정도는 아니라고 생각한다. 일단 내가 먹어본 메뉴 한정으로 꼬꼬동은 연남점에서 ... 더보기
10,맛없는거먹으면짖음 브론즈 레벨 10 후기 5별점평균 1팔로워 0 메뉴 더보기 2024.03.22. 한국 식당에서 혐한을 당하면 무슨 기분일까? 원래는 주문 누락이어도 웬만해서 기분 안 상하고 그럴 수 있지. 하고 넘어가는... 더보기 3,15,한국 식당에서 혐한을 당하면 무슨 기분일까? 원래는 주문 누락이어도 웬만해서 기분 안 상하고 그럴 수 있지. 하고 넘어가는... 더보기
11,밈 실버 레벨 25 후기 58별점평균 3.7팔로워 6 메뉴 더보기 2024.03.20. 네이버 후기 체험단 뿌리는 것 까지는 좋지만 방문 없이 그냥 후기만 적는 알바 뿌렸네요.. 사진이라도 다양하게 쓰지.. 카카오맵에서 식당 검색하면 네이버 블로그 사진들 한번에 보여요.... 더보기 7,15,네이버 후기 체험단 뿌리는 것 까지는 좋지만 방문 없이 그냥 후기만 적는 알바 뿌렸네요.. 사진이라도 다양하게 쓰지.. 카카오맵에서 식당 검색하면 네이버 블로그 사진들 한번에 보여요.... 더보기
12,멸망 실버 레벨 22 후기 43별점평균 2.1팔로워 0 메뉴 더보기 2024.02.28. 충격적이네요 ㅎㅎ.. 초밥이 젓가락에 안집혀요. 간장에 푹 적셔진 밥알이 다 흐트러져서요. 이렇게까지 안뭉쳐진 밥을 내놓는 의도를 모르겠어요. 와사비나 초생강이나 전체적으로 성의가 부족해요. 간도 지나치... 더보기 2,15,충격적이네요 ㅎㅎ.. 초밥이 젓가락에 안집혀요. 간장에 푹 적셔진 밥알이 다 흐트러져서요. 이렇게까지 안뭉쳐진 밥을 내놓는 의도를 모르겠어요. 와사비나 초생강이나 전체적으로 성의가 부족해요. 간도 지나치... 더보기
13,대명소곱창인생맛집ㅜㅜ 실버 레벨 12 후기 9별점평균 4.4팔로워 1 메뉴 더보기 2024.02.24. 맛 친절 가격때문에 4점 ㅠㅠ 연어국수 하나만 시키기에는 탄수화물이 없어서 대왕연어초밥도 시킴 기본반찬은 피클이랑 장국?이 나오구요.. 대왕연어초밥 ... 더보기 1,19,가격때문에 4점 ㅠㅠ 연어국수 하나만 시키기에는 탄수화물이 없어서 대왕연어초밥도 시킴 기본반찬은 피클이랑 장국?이 나오구요.. 대왕연어초밥 ... 더보기
14,맵용 브론즈 레벨 4 후기 8별점평균 1.5팔로워 0 메뉴 더보기 2026.03.27. 비린내 나고 맛없으며 양도 적은데 가격은 비슷한 음식점 대비 30프로 정도 비쌈 0,14,비린내 나고 맛없으며 양도 적은데 가격은 비슷한 음식점 대비 30프로 정도 비쌈
15,내가 보려고 쓰는 리뷰 실버 레벨 23 후기 75별점평균 3.5팔로워 7 메뉴 더보기 2026.03.25. 산더미카츠동 너무 짜요... 0,14,산더미카츠동 너무 짜요...
16,uni 실버 레벨 12 후기 13별점평균 3.6팔로워 0 메뉴 더보기 2026.02.17. 연어 비린내 심하고 직원 불친절 1,14,연어 비린내 심하고 직원 불친절
