식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
계향각,빼드걸,1999,2026.04.01,1번째 방문,영수증,"중요한자리라 음식사진은 못찍었습니다만, 넘 맛있었습니다. 꼭. 다시 가겠습니다.",44,True
계향각,zja****,196,2026.03.21,1번째 방문,영수증,처음 방문하시는 분들도 찾기 쉽게 입구가 딱 제가 계향각입니다 합니다(인터넷으로 몇번 검색했더니 바로 찾을 수 있었어요) 입장과 동시에 교수님을 찾게 되더라구요 실물 영접~ 너무 감격스러웠어요 맛터사이클 출연하셨을 때부터 팬이거든요 식기들이 귀엽고 주전자 예뻐요 식기들 덕분에 대접받는 느낌이 첫 번째로 들고요 음식들 하나하나 맛있고 덜어 먹을 수 있는 젓가락 놓아주십니다 새심한 배려가 돋보입니다 오이냉채는 선택이 아닌 필수구요 동파육 부드럽습니다 볶음밥 간이 세지 않아 모든 음식과 잘 어울렸습니다 빠스 정말 대박입니다~ 모든 음식이 맛있어서 행복한 한 끼를 하고 왔습니다 감사합니다 😀,330,True
계향각,혼밥하는 판다,48,2026.03.13,1번째 방문,영수증,"캐치테이블 앱으로 예약해서 방문했고 동파육, 솬롱새우찜, 총유반면, 디저트로 복숭아빵 먹었습니다. 동파육은 굉장히 부드러워서 식감이 좋았고 솬롱새우찜은 마늘소스와 새우가 궁합이 좋았고 복숭아빵도 식후로 먹기 좋았습니다. 전날 급하게 예약해서 사전예약 메뉴를 주문하지 못했는데 시그니쳐 메뉴를 먹지 못해서 그게 아쉬웠습니다. 그래도 충분히 맛있었습니다.",196,True
계향각,DDreview,914,2026.03.07,1번째 방문,영수증,"신계숙셰프님 팬이어서 예약하고 다녀왔어요 그 어디서도 맛볼 수 없는 특별한 음식들에 감동 또 감동💛🫢 이제 다른 중국집 어떻게 가라고 이렇게 맛있고 퀄리티 높은 음식을 하시는건지,,,,,, 솬차이탕면은 시원한 국물이 별미였고 연근디저트 차갑게 먹는 거 완전 강추 강추 ❣️ 셰프님 넘 친절하시구 직접 사진도 찍어주세요😉🩶",179,True
계향각,pip****,11,2026.02.26,1번째 방문,영수증,맛있게 잘먹었어요. 쉐프님과 직원분들도 친절하세요.,28,True
계향각,오브네 OVENE,34,2026.02.22,1번째 방문,영수증,나만 먹고 즐기게 더 유명해지지 말아다오 vs 그래도 신계숙 셰프님 잘되고 식당이 유명해져야 좋은거지 라는 마음속의 갈등... 정말 동파육 여기저기 먹어보지만 국내에서 여기만큼 현지와 같은 맛있는 동파육을 만드는 곳이 있긴 할까 의문이네요 아직 캐치테이블 예약 난이도가 쉬운 편이라 안도하며 다니는 중인데 중식 즐기시는 분들 중에 안가보신 분들은 꼭 가보세요 동파육이 흐드러지는게 아니라 입에서 거의 녹는 수준이에요 해삼주스도 해삼 퀄리티 이정도 나오는 업장 우리나라에 그렇게 많지 않습니다😭 오리 주문도 필수.. 생선찜 소스는 상큼하고 매콤한게 아주 쉽게 설명하자면 동남아 음식을 연상케 합니다 못올린 사진이 많은데 하여튼 제발 와서 드셔주세요 셰프님도 너무나 유쾌하고 친절하고 젠틀하시답니다😊,389,True
계향각,난다신난다73,460,2026.02.15,1번째 방문,영수증,동파육 부들부들해요. 1인 4입 먹을수있는 크기구요. 팔보오리는 잘라주시는데 한두숟가락 정도 먹을 수 있어요. 해물누룽지도 제대로더라구요. 전체적으로 양이 적긴한데 맛은 있어요. 중식이긴 하나 짜장 짬뽕 그런거 있는 집 아니니 참고하세요. 신계숙님과 예약 상담 전화받는 분 서빙하는 분 모두 매우 친절하셨어요.,173,True
계향각,The Aid,3756,2026.02.14,1번째 방문,영수증,"26.02.14. 토요일 오전 11시 30분에 예약 후 방문했습니다. 예약은 캐치테이블 앱에서 했습니다. 미리 예약해야하는 메뉴 두 가지 중 한 가지인 팔보오리(4인분 180,000원)만 예약했고, 나머지는 당일에 주문했습니다. 7명 방문해서 디저트 포함 총 9가지 정도 메뉴 주문했고, 엄청 배부르게 먹었는데, 조금 덜 주문해도 괜찮을 것 같습니다. 동파육은 기름진 편이라 인당 1개 보단 2~3명이서 1개 정도 주문하면 좋을 것 같았습니다. 왕태수팔보두부, 삼선누룽지탕, 팔보오리 메뉴가 호응이 좋은 편이었습니다. 밑반찬이 따로 나오지 않아서 오이냉채 같은 새콤한 메뉴를 주문해서 같이 먹어야 합니다. 주차는 발렛(발렛비 4천원 외 주차비 별도) 가능하고, 화장실은 가게 내부에 남녀 구분되어 있습니다",394,True
계향각,이승현712,1720,2026.02.07,1번째 방문,영수증,너무맛있게 진짜 음식이란 이런것이구나........ 정말 맛나게 만족 2만프로 하고 갑니다,50,True
계향각,피키봉키,63,2026.02.03,1번째 방문,영수증,"예전 세계테마기행에서 보고 반했던 분이 이번에 흑백요리사 나오셔서 너무 반가웠고 직접 매장도 운영하신다는걸 알게됐네요. (뒷북;;) 꼭 와보고 싶었는데, 오늘 즉흥적으로 예약없이 오픈런 방문했어요. 맵찔이지만 산초,마라 좋아해서 용감하게 마라갈비시켜 쪽쪽 먹고 있었더니, 대표님 직접 오셔서 이 메뉴는 이십대들이 좋아하는 메뉴라며ㅎㅎ 그치만 저도 이십대기분? 너무 좋았답니다. 포장해가고 싶을정도로 맛있었어요! 다니시며 직접 인사도 다 해주시고 내일 또 오라고 농담도 하셨어요. 진짜 내일 또 가고싶은 맛집. 술도 꼭 곁들여서 더 다양한 메뉴 먹으러 갈게요! 증교는 말할것도 없고 마지막 특이한 '조'로 만든 디저트도 맛있었어요.",352,True
