식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
금문,michin56,584,2026.04.10,1번째 방문,영수증,군만두 맛있구 한입 앙 하면 육즙이 튀어나와요💗짬뽕이랑 볶음밥도 맛잇어요 남자친구 따라 왔는데 국물이 좋네용,60,True
금문,jnike18,41,2026.03.28,1번째 방문,영수증,친구가 오자고해서 왔는데 너무 맛있게 먹었어요. 탕수육이 약간 양념치킨 한 것처럼 신기해요 ㅎㅎ,53,True
금문,ltj****,16,2026.03.27,1번째 방문,영수증,,0,True
금문,jh7425,29,2026.03.16,3번째 방문,영수증,너무 맛있게 잘 먹었습니다. 짬뽕 맛있습니다,24,True
금문,이정수3447,50,2026.03.14,1번째 방문,영수증,맛도 좋고 재료도 신선해서 너무 맛있게 잘 먹었습니다 감사합니다,35,True
금문,minn213,43,2026.03.09,1번째 방문,영수증,맛있어서 또 왔어요:),12,True
금문,bibiruby,56,2026.03.03,1번째 방문,영수증,탕수육이 특히 맛있어요!!,14,True
금문,럭셔리옥샘,1105,2026.03.03,1번째 방문,영수증,옛날추억의 탕슉맛 양은 작지만! 맛있어요. 짜장도 면발이 쫄깃쫄깃~~,38,True
금문,wlsgh7706,9,2026.03.01,1번째 방문,영수증,너무 맛있아요!! 담에 또 올듯요,18,True
금문,먹고먹고또먹고또먹고,1653,2026.03.01,1번째 방문,영수증,지난번에 굴짬뽕 먹고 맛있어서 또 방문했어요. 해물짬뽕도 맛있네요^^,38,True
금문,다녀온곳리뷰다씀,558,2026.02.22,1번째 방문,영수증,"양적고 맛도 별로 가격 비쌉니다. 서비스도 별로임 제기준 어느하나라도 (양, 맛, 가격) 만족 하면 리뷰잘쓰려 노력합니다. 요리 3개 + 식사 시켰는데, 중식당에 가장 기본이 되는 것들이 미흡… 짬뽕국물은 조미료 맛만 나고 자장면은 진짜 무슨 맛인가 싶습니다. 졸업식이라 갔는데, 로컬이면 절대 안갑니다.",170,True
금문,황가네가족,110,2026.02.15,1번째 방문,예약,오가지냉채 오품냉채라고도 하는데 이과주에 한잔 맛있네요,30,True
금문,이니1097,198,2026.02.05,1번째 방문,영수증,해물누룽탕 미니사이즈인데 바싹 촉촉맛나요,22,True
금문,ddo****,6,2026.02.02,1번째 방문,영수증,,0,True
금문,bel****,1839,2026.01.24,1번째 방문,영수증,,0,True
금문,asd****,21,2026.01.17,1번째 방문,영수증,학교 앞 근처라 자주 방문하는데 짬뽕이 정말 맛있어요!! 추천합니다~😊,39,True
금문,six****,770,2026.01.16,1번째 방문,영수증,음식맛은 괜찮았는데 테이블 위 냅킨이 아니고... 화장실에서 사용하는 향기나는 두루마리휴지인줄 모르고 입닦다가 입맛을 잃어버렸어요...,75,True
금문,lilylilylilylily,13,2025.12.29,1번째 방문,영수증,음식이 전체적으로 다 맛있어요. 다음에 또 방문하려고요,30,True
금문,루비스타s,5,2025.12.29,1번째 방문,영수증,탕수육 소스가 적당히 달고 짜장도 고소해요!,24,True
