식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
나누미떡볶이 성대본점,bea****,1433,2026.04.07,6번째 방문,예약,항상 반갑게 맞아주셔서 감사합니다. 선물로 주신 디저트 간식도 감사해요~ 나의 최애 떡볶이~~♡,53,True
나누미떡볶이 성대본점,서연 맑음,257,2026.04.06,1번째 방문,영수증,"순대,떡볶이,김밥 모두 5천원 다 시키기에는 부담스럽고 세트메뉴가 없는게 좀 그랬고 떡볶이는 말랑하니 맛있네요 감사합니다",67,True
나누미떡볶이 성대본점,brulog,48,2026.04.02,1번째 방문,영수증,"성균관대 가는 길에 처음 들렀는데, 어묵이랑 국물이 너무 맛있어서 저녁 먹고 돌아오는 길에 또 들렀어요 🍢😊 Stopped by on the way to Sungkyunkwan University — the fishcake and broth were so good we came back again after dinner on the way home 🍢😊",198,True
나누미떡볶이 성대본점,이슬처럼 사라질93,1106,2026.04.01,1번째 방문,예약,성대 유명한 떡볶이집이라고 해서 와 봤어요. 저에게 좀 매운데 단짝단짝해요. 떡이 엄청 쫀득거립니다. 같이 나오는 어묵 국물도 좀 맵지만 맛있었어요. 순대나 김밥을 같이 먹어야할 거 같아요.,106,True
나누미떡볶이 성대본점,지니온리,542,2026.03.30,2번째 방문,영수증,밤에 야식이 땡겨서 매콤하고 쫄깃한 쌀떡볶이 포장해왔어요 진짜 너무 맛있어요🥹 집앞이었으면 좋겠어요..,57,True
나누미떡볶이 성대본점,성북동불주먹,402,2026.03.28,3번째 방문,예약,최고 24시간,7,True
나누미떡볶이 성대본점,먹박사잉,1304,2026.03.25,1번째 방문,영수증,단일메뉴 1초만에 나옵니당 ㅎ 떡볶이만 추천요,25,True
나누미떡볶이 성대본점,77b****,7,2026.03.20,1번째 방문,영수증,도둑놈 심보로 장사를 하나 봄 순대 일인분 시키고 머릿고기 빼고 간만 달라 주문 옆 테이블들과 비교를 해도 현저하게 양 차이가 남 남 직원은 머릿고기 빼달래면 순대를 더 준다... 여 직원은 순대 양 은 같고 간만 달라하면 간을 두조각 더 준댄다. 아니다.. 순대 양도 작았어! 혼자 먹으니 남길까봐 적게 준거임? 오천원이나 받으면서? 여기 양 엄청 작아요.,200,True
나누미떡볶이 성대본점,ghdek홍다,21,2026.03.20,1번째 방문,예약,혜화 연극보러 왔다가 런닝맨 촬영했던 곳이라 저장해뒀던게 생각나서 방문했습니다 ! 떡볶이 떡이 엄청나게 잘 불어져서 쫀득쫀득하고 맛있어요 !! 순대보다는 떡볶이가 더 맛있었습니다 식사 중에는 대화는 자제한다는 문구가 있어 조용히 맛있게 먹다 왔습니다 😀,141,True
나누미떡볶이 성대본점,BCAT,1298,2026.03.14,1번째 방문,영수증,떡볶이가 너무 맛있다!,12,True
