식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
서래향 대학로점,겨울엔쿠키,311,2026.04.10,1번째 방문,영수증,,0,True
서래향 대학로점,도토리야도토리야,13,2026.04.10,2번째 방문,영수증,일반 중국집과 다르게 특별한 맛이 있어요~! 여기는 특히 어향동고 마파두부같은 요리가 찐입니다!! 혜화올때마다 들리는데 완전 강추입니다&gt;&lt; 맛있어요~~~!!!,94,True
서래향 대학로점,코바코단무지,179,2026.04.07,2번째 방문,영수증,서래향 맛있어서 자주 와요. 짬뽕과 볶음밥 기본도 맛있는 서래향에 또 올래요!! 냉인짬뽕도 기대되어요.,57,True
서래향 대학로점,Baneberry,280,2026.04.05,1번째 방문,영수증,"잡채밥, 짜장면, 라조기 시켰어요! 맛있고 직원 분들도 친절하세요~",37,True
서래향 대학로점,분홍설탕코끼리,52,2026.04.05,1번째 방문,영수증,맛있어요~ 3대가 같이 왔는데 아이도 좋아하고 어른도 좋아하시는 깔끔한 맛이네요! 매장이 너무 깔끔하고 넓어서 좋았고 간짜장도 맛있고 탕수육도 맛있었습니다,86,True
서래향 대학로점,Imperium,2701,2026.03.31,1번째 방문,영수증,"혜화역 대학로 인근에서 단체석, 프라이빗 룸 완비 훌륭한 맛과 퀄리티의 중식을 맛볼 수 있었던 혜화 중식당. 소고기 100% 난자완스와 유산슬, 잡탕밥으로 부모님과 오붓한 시간을 보냈다.",104,True
서래향 대학로점,nodia,43,2026.03.31,1번째 방문,영수증,서비스도 좋고 음식도 맛있네요!,17,True
서래향 대학로점,OBND,1858,2026.03.26,3번째 방문,영수증,누룽지탕 든든하고 맛있어요,14,True
서래향 대학로점,win****,17,2026.03.26,1번째 방문,영수증,매장 넓고 뮤지컬 보기 전 딱 이네요,20,True
서래향 대학로점,그린백,610,2026.03.26,1번째 방문,예약,"대학로 마로니에 공원 가까이에 고급 중식당입니다. 발렛 가능한 곳이라 자차를 가지고 와도 되요. 룸과 홀이 같이 있는 캐주얼한 대형 중식당 이예요. 일단 음식들이 양이 많아서 먹고 뭔가 허전하지는 않을꺼예요. 맛은 고급 중식당의 맛과 비슷해요. 연극을 본 후, 친구들 만남에 가기좋은 곳이며 데이트 맛집이기도 합니다. 단체모임 하기에도 좋구요. 냉이 짬뽕은 시그니처 메뉴답게 시원하고 개운한 맛이었어요. 이건 꼭 드셔보세요. 물론 나머지도 너무 맛있었어요",254,True
서래향 대학로점,dou****,28,2026.03.25,1번째 방문,영수증,삼선짬뽕 냉이짬뽕 둘다 제철 재료로 신선하고 맛있게 먹었습니다!! 과한 조미료맛 없이 깔끔해서 정말 좋았어요👍👍,62,True
서래향 대학로점,맛집8012,23,2026.03.24,1번째 방문,영수증,양이 엄청 많고 맛도 너무 맛있어요!! 대학로 최고의 중국집!!!,36,True
서래향 대학로점,쑥부인84,9,2026.03.21,1번째 방문,영수증,하나하나 다 맛있어요. 재료가 신선해서 씹을때마다 건강한 맛이 느껴졌어요. 양도 엄청 많아서 배두드리고 나왔어요.,63,True
서래향 대학로점,hyc****,41,2026.03.19,2번째 방문,영수증,음식이 맛있어서 2번째 방문합니다. 넓은 매장과 맛있는 음식.,34,True
서래향 대학로점,purple blossom,1458,2026.03.18,3번째 방문,영수증,지난번에 먹고 맛있어서 또 방문했어요~^^,23,True
서래향 대학로점,yon****,21,2026.03.18,1번째 방문,영수증,비오는날 맥주와 함께 낮의 여유를 즐겼습니다 ^^,27,True
서래향 대학로점,유랴쥬,224,2026.03.18,1번째 방문,영수증,너무나 잘 먹었습니다 짱친절하세요!!!!,22,True
서래향 대학로점,다영4467,39,2026.03.17,1번째 방문,영수증,대학로 최고 중식집!!‼️⭐️,16,True
서래향 대학로점,깨몽몽,12,2026.03.14,1번째 방문,영수증,여기 지나가다가 리뷰가 넘 좋아서 들어왔는데 진짜 넘 맛있어요 !! 깐풍기 강추,44,True
