계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
jita94,153,2026.02.18,1번째 방문,영수증,"음식이 간이 센 편이어서 맥주한잔 하면서 즐기기 너무 좋고, 분위기도 홍콩 분위기가 나서 독특함.",54,True
heina,20,2026.01.30,1번째 방문,영수증,"꿔바로우, 딴딴미엔, 특제차오판 먹었어요! 음식이 엄청 빨리 나와서 연극보러가기 전에 후다닥 먹었는데, 다 맛있었어요~ 간이 전반적으로 강하기는 해요! 엄청 짜다! 이런건 아니라서 괜찮았어요!",107,True
300252,807,2025.12.30,1번째 방문,영수증,,0,True
gsg****,1388,2025.12.26,1번째 방문,영수증,,0,True
연구대상34,1487,2025.12.26,1번째 방문,영수증,맛있게 잘 먹었어요.,11,True
수기0707,1441,2025.12.11,1번째 방문,영수증,음식이 다 깔끔하고 맛있어요,15,True
Pa Duck,151,2025.12.01,1번째 방문,,맛집 인정👏👏👏,8,True
sad****,515,2025.11.27,1번째 방문,영수증,,0,True
bla****,96,2025.11.25,1번째 방문,영수증,뭔가 입구부터 홍콩 바이브 홍콩 영화 중흥기를 리마인드는 해주는 영화 포스터들이 정겹다 옆자리 성균이들이 화양 영화를 아는 것이 신기한 부분 난 어제 면을 먹었고 오늘을 볶음밥에 도전한다 새로운 식당엔 메뉴중 제일비싼게 국룰 특제 차오판에 도전했다!! 한입 먹었을때 제대로 볶는 집이란 걸 알게 됬다 중화느낌의 소스를 잘 맥인 밥알들이 홑씨처럼 움직인다. 단백질로는 새우 2마리와 한국 너낌을 주는 햄? 어떤 햄인지는 모르겠다. 숙주가 아삭아삭 씹히면서 녹진한 밥알과 혼연 일체되니 꽤 괜찮은 볶음밥이구나 싶다. 한가지 홍콩의 느낌을 흠뻑 주다가 현지의 그 쾌한 냄새 까지 살짝 들인 부분은 음.. ㅋㅋ 암턴 재방문 의사 101% 다음엔 면요리닷!!,363,True
레어43,438,2025.11.19,1번째 방문,예약,"홍콩 분위기가 물씬 나는 대학로 중화요리집, 소친친입니다. 메뉴 가격은 괜찮은 편이었어요. ​특제 차오판 (13,500원): 양 많음. 큼직한 칵테일 새우 두 마리가 들어있고, 닭고기와 당근도 있어요. 특제 소스에서 짜장, 잡채밥 양념, 그리고 볶아서 불맛도 느껴집니다. 중독성 O ​꿔이러우 라오 깐풍기 (소) (16,000원): 깐풍기가 길고 칠리 소스에 가까운 소스 맛. 매콤함은 약합니다. 고기는 닭고기인데 부드러웠으나 튀김옷이 두껍고 고기양이 적은 게 아쉽습니다. 소스는 칠리인지 케첩인지 애매한 홍콩 맛이 나서, 깐풍기로 생각하면 대실망할 좋있습니다",313,True
망고베베77,54,2025.11.10,1번째 방문,영수증,뭔가 홍콩느낌 뿜뿜입니다!!! 현지식처럼 맛도 좋았구요! 개인적인 추천으로는 저는 특제차오판 진짜 강추합니다!!! 어제 먹었는데 또 생각나요.,79,True
원둑시니,675,2025.10.03,1번째 방문,영수증,맛있어요! 음식이 금방 나와요,16,True
Jake웅,1425,2025.09.20,1번째 방문,영수증,간도 써지않고 맛있어요,12,True
하루27,67,2025.09.09,1번째 방문,예약,지인 추천으로 방문했는데 요리모두 맛있었어요 :),27,True
Agatha0205,375,2025.09.06,3번째 방문,영수증,새우탕면은 늘 옳다. 불향과 깊은 맛이 일품👍🏻 라오미엔은... 새우탕면이랑 같이 먹어서인지 맛 자체가 없었다. 깐풍기는.. 소스가 정말 맛있었다! 소스만..,88,True
포켓몬웅이,56,2025.08.22,1번째 방문,영수증,맛있어요 그리고 양이 엄청 많은 거 같아요!,24,True
이이름이없어요,924,2025.08.18,1번째 방문,영수증,깐풍기랑 해선 챠오미엔 둘 다 맛있어요!! 다음에 또 방문하려고요 😋,38,True
nightcord9820,25,2025.08.04,1번째 방문,영수증,양많고 빨리나오구 맛있어요 꿔바로우는 바삭하진 않았는데 그래도 맛있어요 작은사이즈도 두명이서 먹기 충분해요,59,True
날다람쥐얏호,1316,2025.07.25,1번째 방문,영수증,연극보고 맛집이라고해서 기대없이 들어갔는데 음식하나하나 맛있네요~^^ 저희는 새우탕면+깐풍기 시켜먹었는데 깐풍기바삭바삭하니 맛있어요^^ 넘 맵지않고 딱 알맞게 맛있어요~^^ 다음에 또 재방문하겠습니다♡,112,True
두아이맘018,3091,2025.07.14,1번째 방문,영수증,굿,1,True
연양갱4,110,2025.07.03,1번째 방문,영수증,"또간집 혜화편 댓글에 종종 보였던 식당이어서 방문해봤어요! 현지 음식같이 생소한 이름의 메뉴들이 많아요! 먹었을 때 전체적으로 간이 세긴하지만,, 맛있었어요! 먹은 음식 두개는 라즈지츠랑 딴딴미엔인데 완전 맥주 안주! 삼삼한 메뉴 찾아서 딴딴미엔이랑 함께 먹으러 또 방문하고 싶었어요!",159,True
롤루라잇,29,2025.06.21,1번째 방문,영수증,꿔바로우 갈비차오판 딴딴미엔 시켰고 음식은 모두 빨리 나왔어요 다만 시킨 음식이 다 너어어무 짜고 간이 세요ㅠㅠ 면과 같이 주는 꽃빵은 위에를 물로 적셔서 전자레인지에 돌린 듯한 느낌이였고.. 면이랑 궁합도 잘 맞지는 않지만.. 아무맛도 안나는 아이템이 있다는게 다행이네요 ㅎ,154,True
냠냠춘배,330,2025.05.10,1번째 방문,영수증,,0,True
몽그리몽,978,2025.05.01,1번째 방문,영수증,너무 맛있어요!!,9,True
Agatha0205,375,2025.04.26,2번째 방문,영수증,"늘 새우탕면만 먹다자 해선 볶음면도 주문해봤는데, 새우의 통통함에 반하고, 맛에 또 한번 반하고! 너무 맛있었어여~",64,True
knight75,560,2025.04.16,1번째 방문,예약,늘 잘 이용하고 있습니다 감사합니다,19,True
joo****,281,2025.04.15,3번째 방문,영수증,원픽은 갈비차오판! 계란이 몽글몽글 넘 부드럽고 넘 맛있어용 딴딴미엔 라로미엔 갈비차오판 합이 좋았어용 꿔바로랑 같이나온 양파도 맛있었어요,77,True
skc339805,98,2025.04.10,1번째 방문,영수증,양 많고 맛있는데 가성비도 좋아요~,19,True
나야야야야야,436,2025.04.09,1번째 방문,영수증,,0,True
