식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
아시안테이블,연동22,211,2026.04.10,1번째 방문,영수증,재방문입니다! 너무 맛있어요 혜화 맛집이에요,24,True
아시안테이블,혜리킹,12,2026.04.10,1번째 방문,영수증,대학생때 와보고 거의 몇년만에 처음 왔는데 여전히 맛있네요. 태국음식치고 가격도 저렴해서 좋아요.,54,True
아시안테이블,xjs****,7,2026.04.09,1번째 방문,영수증,너무 맛있어요 항상 쌀밥 잘 안 먹는데 너무 맛있어서 2개 먹었어 배 터질 것 같아요,47,True
아시안테이블,윰윰1,17,2026.04.06,1번째 방문,영수증,푸팟퐁커리가 진짜 너~~무 맛있어요. 팟타이에 나오는 고춧가루 뿌려먹으니 더 맛있었어요. 양도 푸짐해서 든든히 먹을 수 있어 좋았습니다,75,True
아시안테이블,god****,33,2026.04.05,1번째 방문,영수증,여자친구랑 3번째 오는데 올 때마다 너무 맛있어요,27,True
아시안테이블,leeho14,30,2026.04.05,1번째 방문,영수증,처음 와보는 곳인데 직원분이 엄청 호감상이고 친절하시고 좋습니다! 앞으로 주말에 자주자주 방문 할 거 같습니다!! 강추 드려요!! 👍,74,True
아시안테이블,psl101122,24,2026.04.05,1번째 방문,영수증,아이들과 박물관 나들이하고 점심으로 방문했어요~~ 인테리어가 특이하고 멋져서 아이들이 신기해했어요ㅋㅋ 메뉴들이 맵지 않아서 먹기 좋고 메뉴도 다양해서 좋았습니당ㅋㅋ 잘먹고 갑니다🤍,100,True
아시안테이블,son929,34,2026.04.05,1번째 방문,영수증,현지에서 먹던맛 그대로에요 맛있습니다!,21,True
아시안테이블,애배재,9,2026.04.05,1번째 방문,영수증,학교에서도 가깝고 메뉴 구성도 좋아서 자주 방문해용 넘 맛있어요 넘넘 추천합니다!,45,True
아시안테이블,킹콩3253,70,2026.04.05,1번째 방문,영수증,"혜화역 근처 아시안테이블은 태국 음식 맛집으로 유명해요. 뿌팟퐁커리는 고소한 코코넛 커리에 바삭한 소프트 크랩이 잘 어우러져서 밥과 함께 먹으면 정말 맛있어요. 등뼈 쌀국수는 진한 육수가 깊은 감칠맛을 내고, 돼지 등뼈가 들어가 든든해요. 텃만꿍은 속이 꽉 찬 새우 고로케로 겉은 바삭하고 속은 탱글탱글해 사이드 메뉴로 딱 좋습니다. 가격도 착해서 부담 없이 즐길 수 있는 혜화의 숨은 맛집이에요. 분위기도 깔끔하고 동남아 감성이 물씬 느껴져 데이트나 친구들과 가기 좋답니다",265,True
아시안테이블,히진82,111,2026.04.05,1번째 방문,영수증,제가 태국에서 먹은 뿌팟퐁커리맛이랑 똑같아서 놀랬어요! 진짜 맛있었습니다 또 올게요!,47,True
아시안테이블,ejw****,55,2026.04.04,2번째 방문,영수증,진짜 너무 맛있어요 삼겹살튀김꼭시키세요,21,True
아시안테이블,seo****,11,2026.04.04,1번째 방문,영수증,음식도 맛있고 금새 나오고 직원분들이 친절하세요~!,28,True
아시안테이블,달콤한좋은꿈,984,2026.04.04,1번째 방문,영수증,성균관대 진입로에서 골목길 안쪽에 있는 태국음식점 아시안테이블 카오카무 족발덮밥 족발이 완전 부드럽고 함께 준 소스에 찍어먹으니 새콤매콤 풍미도 좋고 간도 딱 맞아서 맛있었구요 랭쌥도 레몬그라스로 맛낸 국물과 고수랑 고추로 맛을 더해서 맛있어요 주차는 매장바로 맞은편 유료주차장 있어요,159,True
아시안테이블,DYDWO12,9,2026.04.03,2번째 방문,영수증,개맛있어용 깨끗하고 냄새도 좋음 음료도 진하고 맛있어요 강추,33,True
아시안테이블,aks****,48,2026.04.02,1번째 방문,영수증,세트로 시켰는데 다 완전 맛있어요!! 뿌팟퐁 커리 진짜 꼭 먹어야 하고 타이식 밀크티 정말 진하고 너무너무 맛있어요🥹🥹 완전 추천합니다!!,77,True
아시안테이블,hyo****,36,2026.04.02,1번째 방문,영수증,봄인데도 땡모반이 너무 맛있어요!! 그리고 가성비가 너무 좋아요~~ 또 올게요! 꿈에 나올 것 같은 매력적인 맛!! 꿀맛입니다,70,True
아시안테이블,수기이이,17,2026.04.02,1번째 방문,영수증,매장이 바쁜데도 직원들 친절하시고 음식도 맛있어요 특히 족발덮밥 완전 녹아요 녹아,45,True
아시안테이블,해피버쓰데이,90,2026.04.02,1번째 방문,영수증,맛있어요... 재방문 입니다!!,17,True
