식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
정돈 대학로본점,005,26,2026.04.10,1번째 방문,영수증,오랜만에 들린 정돈입니다. 늘 맛있고 직원분이 친절하십니다 오늘도 맛있게 먹었습니다!,47,True
정돈 대학로본점,Wisdom_baby,53,2026.04.10,2번째 방문,영수증,제가 좋아하는 돈까스 집중 하나에요 ☺️💕 추천!,27,True
정돈 대학로본점,hzxksk,44,2026.04.10,1번째 방문,영수증,너무 바삭하고 반찬도 많고 맛있어요!!,21,True
정돈 대학로본점,postrocke,18,2026.04.10,1번째 방문,영수증,고기질이 좋고 반찬도 맛있네요 잘먹었습니다 또 방문하도록 할게요!,36,True
정돈 대학로본점,계란프라2,10,2026.04.10,1번째 방문,영수증,2인 세트로 시켰습니다! 양도 정말 많고 소스가 다양하게 나와서 좋아요 😀 같이 나온 카레도 꾸덕하고 진해서 맛있어요,65,True
정돈 대학로본점,디자웅75,13,2026.04.10,1번째 방문,영수증,명불허전 정돈 요즘은 대기가 적어 10분~15분정도 대기했습니다. 맛있는 돈가스집 많아져서 선택지가 늘어났지만서도 정돈은 여전히 정돈이네요 맛있습니다.,84,True
정돈 대학로본점,리즈37,44,2026.04.10,1번째 방문,영수증,너무 맛있고 양도 많아요~~ 다음에 또 오고 싶어요!,29,True
정돈 대학로본점,몰리몰림,32,2026.04.10,1번째 방문,영수증,자꾸 생각나는 맛이라 두번째 방문 안심이 유명하지만 등심 맛있어요^ 카레까지 같이 먹으니 거한 한끼,55,True
정돈 대학로본점,바다요정,225,2026.04.10,1번째 방문,영수증,바싹하고 정갈하고 먹음직스러워요.맛있어요~ 친구들과 맛있게 저녁먹고 연극관람하러 가려고 들렸는데 역시 맛있네요^^~,64,True
정돈 대학로본점,해일주의보,11,2026.04.10,1번째 방문,영수증,세트메뉴 시켰는데 비주얼이 완전 먹음직스러워요..!👍🏻사진보다 새우크기가 엄청 큽니다! 카레랑 같이 먹으니까 몸도 따뜻해지고 맛있게 잘 먹었습니다~!☺️,85,True
정돈 대학로본점,앙투아뜨라,483,2026.04.09,1번째 방문,영수증,고기 질이 좋고 너무너무 맛있네요 잘먹었습니다,25,True
정돈 대학로본점,전서희306,39,2026.04.09,1번째 방문,영수증,대학로 오면 늘 찾아오는 가게입니다! 비 오는 날이라서 그런지 대기도 짧아서 금방 입장했어요~ 부드러운 안심이 정말정말 맛있습니다🫶🫶 새우도 정말 실해서 하나 시켜서 나눠먹으면 딱 좋아요!!,106,True
정돈 대학로본점,찬이솔차니,72,2026.04.09,1번째 방문,영수증,점심시간 맞춰왔는데 웨이팅도 딱 없고 너무 좋았어요 :) 특히 스폐셜 등심은 진짜 꼭 드셔보십쇼🙂🙂 역시 정돈입니다 잘먹었습니다 !!,74,True
정돈 대학로본점,ahn****,21,2026.04.08,1번째 방문,영수증,분위기도 너무 좋고 맛있어요!! 부들부들하고 여기 자주 올 것 같아요! 꼭 오세요!,46,True
정돈 대학로본점,hy****,25,2026.04.08,1번째 방문,영수증,넘넘 맛있게 잘먹었습니다!,14,True
정돈 대학로본점,jfit65,14,2026.04.08,1번째 방문,영수증,지인 추천이었지만 별 기대없이 왔다가 맛보고 깜짝놀랐어요. 돈까스가 진짜 연하고 튀김옷은 바삭하면서 얇아서 살살녹아요!!,67,True
정돈 대학로본점,md****,17,2026.04.08,1번째 방문,영수증,맛집으로 소문난 정돈 오랜만에 방문했어요 대기가 조금 있긴했지만 질 좋은 맛있는 음식으로 가족과 함께 기분 좋은 점심 시간 즐겼어요 항상 변함없이 맛있어요,86,True
정돈 대학로본점,배고프당17,10,2026.04.08,1번째 방문,영수증,24년에 한 번 방문하고 너무 맛있어서 친구에게 소개해주러 다시 왔어요! 고기 퀄리티가 너무너무 좋고 맛있어서 또 올 것 같습니당💗💗,74,True
정돈 대학로본점,일상기로기,87,2026.04.08,2번째 방문,영수증,오랜만에 방문한 정돈. 역시 변치 않는 맛인데 제 픽은 역시나 안심입니다..평일에 10분전 오픈런했더니 바로 들어갈 수 있었어요. 요즘 돈까스집 많긴해도 적당한 튀김옷에 퀄리티 좋은 일식돈까스의 정석을 먹고 싶다면 역시나 정돈 추천.,130,True
정돈 대학로본점,정기노,15,2026.04.08,1번째 방문,영수증,너무너무 만족합니다 추천합니다,16,True
정돈 대학로본점,최지유567,32,2026.04.08,1번째 방문,영수증,혜화역에서 맛집인 정돈 다녀왔습니다. 저녁 타임 오픈부터 사람이 바글바글하네요 ㅎㅎ 지난번에 왔을 때 맛있어서 재방문했습니다! 꼭 와보세용~,78,True
정돈 대학로본점,1025638,23,2026.04.07,2번째 방문,영수증,항상 대학로 올때마다 먹는 돈까스집 입니다!! 너무 맛있어요😆😆,35,True
정돈 대학로본점,HYEMIN71,41,2026.04.07,2번째 방문,영수증,새우 안심카츠가 진짜 존맛탱입니다👍🏻 가격은 비싼 편이지만 그 정도 값을 하는 돈까스집이에요!🤤,53,True
정돈 대학로본점,Nyeoooong,180,2026.04.07,1번째 방문,영수증,너무 맛있습니다 또 방문하고 싶어요 가족모임 데이트로 추천드립니다!,37,True
정돈 대학로본점,SO3452,38,2026.04.07,1번째 방문,예약,믿고 가는 정돈! 수년째 방문 중이에요!,22,True
정돈 대학로본점,bluelove,19,2026.04.07,1번째 방문,영수증,서울대병원 올때마다 먹는 돈까스 맛집이에요 서울시내 돈까스 중에서 순위안에 들어요,45,True
정돈 대학로본점,gri****,12,2026.04.07,1번째 방문,영수증,"돈까스가 먹고 싶어서 찾아왔는데, 기대 이상이에요! 특히 안심 돈까스가 정말 촉촉하고 부드러워서 입에서 녹네요. 식사 내내 즐거웠습니다. 돈까스 좋아하시는 분들이라면 꼭 들러보세요!",101,True
정돈 대학로본점,juzjuu,13,2026.04.07,1번째 방문,영수증,돈카츠가 너무 맛있어요 안심 등심이 특히 맛있고 다음엔 와서 카레도 먹고싶어요!,44,True
정돈 대학로본점,lastonekiss,106,2026.04.07,1번째 방문,영수증,매번 대기가 많아서 못먹었는데요 드뎌 먹어보네요 주문하고 기다려야하는 시스템이 힘들지만.. 맛나네요 담에 또 올께요,64,True
정돈 대학로본점,wld****,50,2026.04.07,1번째 방문,영수증,병원다녀서 주변 맛집찾다가 발견해서 오게되었는데 돈까스가 엄청 바삭하고 속은 부드럽고 너무맛있어요:)~~ 매장도 넓고 웨이팅도 빨리 빠져서 오래대기하지 않아서 좋네요~ 안내해주시는것도 친절하시고 너무좋네요 자주 애용하겠습니다~,126,True
