식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
청화원,eveloveqkr,59,2026.03.30,1번째 방문,영수증,전에도 여러번 왔었는데 리뷰 해야지 미루다가 오늘 온김에 ㅋ 혼밥을 자주해서 최애 메뉴는 어항가지덮밥♡ 원래는 메뉴 회전이 빨라서 땅콩 먹을새도 없는데 평일 저녁 시간에 와서 오늘은 주섬주섬 땅콩도 먹으면서 메뉴 기다림 ㅋ 리뷰 쓸 생각 했어서 올때마다 등이 이뻤던게 남기고 싶어 같이 올렸음 ^^,166,True
청화원,hwa****,1,2026.03.30,1번째 방문,영수증,好吃，推荐，中国人不骗中国人,14,True
청화원,topbuilding,9,2026.03.28,1번째 방문,영수증,"육즙 가득한 소룡포와 진한 우육도삭면, 달콤바삭한 크림새우까지 완벽했던 신촌 중식 맛집! 신촌에서 제대로 된 도삭면과 딤섬을 즐기고 싶다면 꼭 들러야 할 곳, 크림새우는 필수 선택!",101,True
청화원,mun1485,11,2026.03.22,1번째 방문,영수증,우육면 맛있었고 소룡포도 맛있었습니다 궁보계정덮밥도 맛있었습니다 사장님이 너무 매우 친절하셔서 기억에 남았습니다,62,True
청화원,민또16,14,2026.03.08,1번째 방문,영수증,"재방문이고, 언제나 변함없는 맛과 친절한 직원분들 덕에 늘 좋은식사하고 갑니다. 다음엔 지인과 함께 올게요! 💜",62,True
청화원,VFK,2250,2026.03.07,1번째 방문,예약,,0,True
청화원,얍실아우얍순,1231,2026.03.06,3번째 방문,영수증,현지맛에 가장 가깝고 맛있다는 우육도삭면! 볶음양념맛이 기가 막힌 호랑이덮밥! 바삭쫀득한 꿔바로우까지~~~ 서울 갈때마다 가자는~ㅎㅎ,74,True
청화원,먹보박사곰,569,2026.02.26,1번째 방문,영수증,와 수정달만두 진짜 맛있었어요! 피가 얇고 안에 새우 식감도 좋았어요..어향가지 덮밥도 맛있네요!! 신촌에 가성비 좋은 맛집 찾아서 행복했어요😆👍 다음에 또 가고싶어요,93,True
청화원,보스앤텍,976,2026.02.25,1번째 방문,영수증,4,1,True
청화원,qktml2903,11,2026.02.16,1번째 방문,예약,맛도 괜찮았고 가격도 싸고 가게도 깨끗하고 다 좋은데 서비스가 엉망이네요 명절 전날 8시 20분쯤 방문했는데 직원분이 8시 30분이 라스트오더인데 괜찮은지 물어보셔서 괜찮다고 하고 바로 주문했습니다 주문한 음식은 8시 30분이 좀 지나서 나왔고 8시 40분쯤부터 직원분이 계속 영업 끝났습니다 죄송합니다 외치면서 돌아다니셨어요 명절 전날이라 영업을 짧게 하실 수도 있는건 이해하지만 라스트오더 시간만 듣고 빨리 먹고 가야겠다 싶어서 음식을 시킨 입장에선 굉장히 당황스러웠습니다 저보다 늦게 들어오신 손님도 계셨고 저보다 음식이 늦게 나온 손님도 계셨는데 일단 본인들은 주문받고 팔았으니 끝이고 손님이 다 먹었든 못 먹었든 쫓아내려고 안달난 꼴 너무 잘 봤구요 굉장히 불쾌했습니다,379,True
청화원,seo****,6,2026.02.13,1번째 방문,영수증,우육면 생각날 때마다 들러서 먹을 정도로 정말 맛있었습니다! 한 그릇에 만 원도 안 해서 더 좋아요 맛있어서 국물까지 먹을 정도였습니다!,76,True
청화원,han****,5,2026.02.09,2번째 방문,영수증,청화원에서 가지 덮빕을 먹으면서 가지가 정말 맛있는 음식이구나 새삼 느끼게 됩니다. 게다가 오늘은 딤섬을 서비스로 주셔서 맛있고 배부르게 잘 먹었습니다.,85,True
청화원,히리미야,2,2026.02.09,1번째 방문,영수증,친구의 추천으로 찾아가본 집인데 메뉴도 알차게 구성 잘해놓으셨고 음식들도 하나같이 장난없이 맛있었음. 처음엔 메인메뉴에 적당한 사이드만 시켰었는데 이모님 추천으로 딤섬 하나 시켰다가 모든 딤섬종류를 한가지씩 다먹게됨 우리가 시킨메뉴중에서는 하나도 빠짐없이 모든메뉴를 추천하고싶음.,156,True
청화원,jeo****,2,2026.02.08,1번째 방문,영수증,"오늘 여기서 저녁을 먹었어요. 메뉴가 많아서 뭘 골라야 할지 고민하고 있었는데, 안경 쓰신 이모님께서 추천해 주셨어요. 추천해 주신 음식들이 다 정말 맛있었고, 이모님도 너무 친절하셔서 기분 좋게 식사하고 돌아갔어요. 다음에 또 올게요 🙂",133,True
청화원,han****,5,2026.02.06,1번째 방문,영수증,치과 근처라 자주 가서 먹습니다. 직원분들 모두 친절하시고 음식은 정말 맛있어요. 저희 치과에 방문하시는 손님은 무조건 이곳으로 오시고 갑니다. 너무 자주 가니 사진도 안찍어놨네요.,101,True
청화원,the****,2737,2026.02.06,1번째 방문,영수증,좋아요,3,True
청화원,지니호야네,588,2026.02.05,3번째 방문,영수증,아이들이 좋아하는 꿔바로우 먹으러 오는곳 ㅎㅎ 가성비 장난아님,34,True
청화원,Geniedonie,18,2026.01.31,1번째 방문,영수증,🙆‍♂️전반적으로 친절. 도삭면 면 맛있음 🙅‍♂️우육면은 토마토계란탕 맛. 산미가 너무 강함. 가지덮밥 가지가 너무 특이했음. 깍둑썰기가 아니라 감자튀김 같은 모양. 우육면 25분만에 나옴. 📍주차안됨. 도보방문 추천. 혼밥 가능,129,True
청화원,리 리 린,601,2026.01.31,1번째 방문,영수증,"가성비 있고 여럿이서 다양하게 시켜 먹기 좋아요. 토마토계란볶음, 우육도삭면, 소고기볶음면, 쇼마이, 쇼룽포오 먹었어요. 역시 딤섬이 먼저 나오는데 나오자마자 먹어야해요. 도삭면도 탱글했고 친구는 토달볶을 제일 맛있다고 했어요.",127,True
청화원,뚜뚜루81년식,1289,2026.01.29,1번째 방문,영수증,맛있게 잘먹었어요.,10,True
청화원,라임달1,134,2026.01.26,10번째 방문,영수증,마라두부랑 새우살볶음밥이 진짜 잘 어울리는데 혼자로만 많이 와서 못 시키다가 그냥 시켰었어요 &gt;&lt; 남은 건 포장했는데 넘 맛있어요,78,True
청화원,mede927,1202,2026.01.24,1번째 방문,영수증,,0,True
청화원,한수진6617,6,2026.01.22,1번째 방문,영수증,음식들이 다 너무 맛있고 직원분들도 너무 친절하셔서 자주 찾게되는것 같아요 양도 푸짐하고 메뉴가 다양해서 좋았어요,63,True
