식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
페르시안궁전,sun****,35,2026.04.10,1번째 방문,영수증,식당 인테리어가 정말 화려하고 현지에 온 거 같은 느낌이 드네요!!!ㅋㅋㅋㅋ 카레도 정말 맛있고 밥도 엄청 맛있습니다!!!!!! 카레 먹으러 또 올 거 같습니다,89,True
페르시안궁전,thi****,7,2026.04.10,1번째 방문,영수증,"드디어 와본 페르시안 궁전! 통닭카레에 적셔먹는 난과 밥이 엄청 맛있다고 많이 들어서 기대를 많이 했는데, 기대보다 더 끝내주는 맛입니다~ 너무 만족스러운 식사였어요",92,True
페르시안궁전,떠나자아,35,2026.04.10,8번째 방문,영수증,몇번째 온건지 기억도 안나네요ㅋㅋ맛이야 말모~언제까지 다닐껀지도 확답못함요..나이가 너무 들어서 못올때까지 와서 먹을꺼같네요!!!짱맛,74,True
페르시안궁전,메롱이다aa,30,2026.04.10,1번째 방문,영수증,완전 페르시안궁전에 온 것 같아요..분위기짱 카레도 너무너무 맛있습니다ㅜㅜ 사장님도 친절하세요👍👍,54,True
페르시안궁전,열과옴살,34,2026.04.10,1번째 방문,영수증,"처음 와봤는데, 맛있게 먹고 갑니다. 분위기도 현지 분위기라 독특하고 신기해요!",44,True
페르시안궁전,저글링2,16,2026.04.10,2번째 방문,영수증,인도식 커리 좋아해서 인도식 커리 가게 자주 다니는데 경복궁 왔다가 근처에서 유명하다길래 먹었습니다. 굉장히 맛있었고 가격도 괜찮은 편입니다. 다음에도 또 방문할거 같습니다,96,True
페르시안궁전,종석박,23,2026.04.10,1번째 방문,영수증,오랜만에 방문한 페르시안궁전! 역시 쿠비데케밥은 너무 맛있어요. 커리말고 케밥도 드셔보세요!,51,True
페르시안궁전,니까뮈체,39,2026.04.09,1번째 방문,영수증,궁금해서 처음 와봤는데 존맛입니당!! 또 와볼게오,27,True
페르시안궁전,dlr****,20,2026.04.08,1번째 방문,영수증,유명해서 항상 와보고 싶었는데 처음 방문합니다 더들리 맛집 인증입니다 다음에 또 올게요~,49,True
페르시안궁전,ekt****,21,2026.04.08,1번째 방문,영수증,인도카레가 땡겨서 왔는데 너무 맛있어요! 가게도 컨셉추알하게 꾸며져 있어서 구경하는 맛이 있었습니다ㅎㅎ 맛있게 잘 먹었습니당☺️,71,True
페르시안궁전,최태원91,72,2026.04.08,1번째 방문,영수증,성대 앞 맛집 페르시안궁전 방문했어요 현지 스타일이고 기름에 튀기듯이 나온 밥이랑 매콤한 카레 궁합이 좋아요,60,True
페르시안궁전,be_****,47,2026.04.07,1번째 방문,영수증,"현지 느낌 낭낭한 이색 인테리어에 풍성한 양과 메뉴 구성, 대학로 데이트 맛집으로 추천해요!",51,True
페르시안궁전,qnrdj,24,2026.04.07,1번째 방문,영수증,대표메뉴인 양고기카레 시켜봤어요 카레맛 자체는 일반적인 카레맛이랑 비슷한데 맵기 선택이 폭넓어서 취향대로 먹을 수 있어요 양고기가 잡내 없이 부드럽고 카레를 넉넉하게 줘서 끝까지 촉촉하게 맛있게 먹었네요,113,True
페르시안궁전,잰8275,24,2026.04.07,1번째 방문,영수증,"인도 음식이 땡겨서 혜화 온 김에 맛집 찾아서 왔어요! 점심 시간대에 와서 점심특선으로 주문했는데, 메뉴 구성도 알차고 맛있었습니다🤤🤤 가끔 인도 음식점 가면 호불호 갈리는 맛이 있던데 여기는 그런거 없이 딱 맛있었어요 ㅎㅎ 특이한 노래 덕분에 인도 여행 온 기분으로 즐겼어요🤩",155,True
페르시안궁전,kun****,30,2026.04.06,1번째 방문,영수증,"양고기커리, 치킨마크니 시켰는데 맛있어요! 인테리어도 너무 멋집니다👍🏻 인도에 온 기분이 나요♥️",54,True
페르시안궁전,기현14,44,2026.04.06,1번째 방문,영수증,너무너무 맛있어용!! 역시 더들리 조합 짱맛 양고기카레도 맛있도 난도 맛있어요!!!,46,True
페르시안궁전,ㅇㅇ295,29,2026.04.05,1번째 방문,영수증,색다른 치킨요리 드시려면 강추합니다. 맵기 2단계 적당했어요 재방문 의사 있습니다!,46,True
페르시안궁전,검정머리다이애나,1316,2026.04.05,1번째 방문,영수증,대학로에서 오래된 맛집~ 오랜만에 와봤는데 여전히 그때그시절 그느낌ㅎㅎ 라이스케이크(누룽지)와 먹는 커리가 매력적입니다. 리뷰이벤트로 라씨를 제공해주세요.,86,True
페르시안궁전,박성주38,23,2026.04.05,1번째 방문,영수증,성대 정문 앞 이국적인 인테리어 덕분에 부모님과 여행 온 기분 냈네요! 내부도 쾌적하고 세트 메뉴 구성이 알차서 가족 모두 대만족이었습니다. 커리도 정말 맛있고 뻔한 외식 메뉴가 아니라 더 특별했어요. 부모님 모시고 가기 딱인 혜화 맛집으로 강추합니다!,141,True
페르시안궁전,World of Ronny,152,2026.04.04,1번째 방문,예약,"오랜만에 인도 요리 먹고 싶어서 방문했는데 음식도 엄청 맛있고, 매장 인테리어가 정말 멋져요!",52,True
페르시안궁전,joo****,12,2026.04.04,1번째 방문,영수증,들리햄 레전드 맛집입니다. 소문대로 너무 맛있습니다~~ 매운맛 2.5로 레전드 카레!!,48,True
페르시안궁전,soo****,33,2026.04.04,1번째 방문,영수증,이미 유명한 성대 맛집이지만 더들리 유튜브로 보고 더 궁금했던 페르시아 궁전입니다 다른 커리도 궁금한 게 많았지만 첫 방문이라 통닭카레정식을 시켰어요 색다른 치킨 요리를 찾으시는 분께 추천입니다 향신료 강하지 않아서 완전 한국인 맞춤이고요 인테리어와 사운드가 멋집니다 진짜 궁전에 온 거 같아요,164,True
페르시안궁전,다이어트37,29,2026.04.04,1번째 방문,영수증,치킨카레세트 무조건 드세요. 더들리 추천 맛집일만 합니다. 저도 300번 올 것 같아요!,49,True
페르시안궁전,정지원5863,8,2026.04.04,1번째 방문,영수증,"주말 점심에 왔는데 자리를 정말 빠르게 치워주셔서 금방 들어왔어요!! 사장님이 너무 친절하시고 재밌으셔서 일단 기분이 좋았고, 음식도 너무 맛있어요 무조건 재방문 할 예정입니다 ㅎㅎ",101,True
페르시안궁전,Tae97,6,2026.04.03,1번째 방문,영수증,"사무실 근처에 있어서 가봐야지 가봐야지 하다가 드디어 와봤어요. 원래 인도커리보다는 일본커리를 선호했는데, 여기서 먹어보니 기존 생각이 변하네요. 너무 맛있어서 자주 오려구요. 내부도 깨끗하고 부모님 모시고 와도 될만큼 이국적인 느낌이 아주 훌륭합니다.",141,True
페르시안궁전,cadenzah,14,2026.04.03,1번째 방문,영수증,카레가 엄청 맛있어요 양고기카레 굿~ 그리고 이색적인 분위기 독보적입니다 ㅎㅎ 근처에 찾아보기힘든곳,55,True
페르시안궁전,germinal,51,2026.04.03,5번째 방문,영수증,언제나 너무 맛있어요!,12,True
페르시안궁전,빠나나161,28,2026.04.03,1번째 방문,영수증,더들리 유튜브 보고 알게된 곳으로 한번 와보고싶어서 저장해뒀는데 역시 맛있어요! 맵기 조절도 세분화되어있고 사장님도 친절하셔서 대학로 주변 놀러오시면 함 드셔보세요!,92,True
페르시안궁전,성유준33,6,2026.04.03,1번째 방문,영수증,페르시안 궁전 제 최애 카레맛집이에요! 인테리어도 현지느낌나고 좋습니다 ㅎㅎ,42,True
