식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
핏제리아오 대학로 본점,Meerkat22,80,2026.04.10,1번째 방문,영수증,차원이 다른 맛. 오기잘했다고 생각해요. 너무 맛있게 잘먹었습니다.,37,True
핏제리아오 대학로 본점,jjm****,272,2026.04.10,1번째 방문,영수증,저녁시간보다 좀 일찍 도착했어요 2-3분 대기하고 입장했고 야외라 좀 춥긴 했지만 직원분들이 친절하시고 음식도 맛있었어요!! 엄마랑도 즐거웅 시간 보냈습니다,87,True
핏제리아오 대학로 본점,닥다리,825,2026.04.10,1번째 방문,영수증,"오핏자, 라구파스타, 스파클링 와인 조합 맛있게 잘먹었습니다. 분위기 좋은 화덕피자 맛집 연극보기전에 잘먹었습니다~^^",66,True
핏제리아오 대학로 본점,정수진6564,45,2026.04.10,1번째 방문,영수증,두번째 방문중입니다 대학로 화덕피자 맛집 !! 1등입니다 피자 1인1판은 필수입니다!! 기본 피자부터 특별한 피자까지 다 맛있어용,72,True
핏제리아오 대학로 본점,4baremhana9,2,2026.04.09,2번째 방문,영수증,매번 피자가 땡길때마다 전철타고 와서 먹는 핏제리아오 비가 부슬거리는날 먹는 피자와 매콤한 아라비아따가 너무 맛있네요. 이태리 출장중 먹은피자보다 핏제리아오가 더 맛있어요,95,True
핏제리아오 대학로 본점,AGATHA103,467,2026.04.09,1번째 방문,영수증,"다음 방문 때 먹어보고 싶다고 생각했던 세이포르마지와 까프리초사를 먹었는데, 너무 맛있었어요! 세이포르마지는 치즈 맛이 제대로라 좋았고 약간 도전이었던 까프리초사는 처음 먹어보는 맛인데 적당히 매콤해서 두 피자의 조합이 너무 좋았습니다!",132,True
핏제리아오 대학로 본점,gra****,343,2026.04.09,1번째 방문,영수증,맛있는 화덕피자와 샐러드 정말 맛있어요 리코타치즈도 신선해요~~ 역시 챔피언!!+,45,True
핏제리아오 대학로 본점,mud****,19,2026.04.09,1번째 방문,영수증,#대학로맛집 #혜화맛집 #화덕피자맛집 #핏제리아오 #데이트코스 평소 화덕 피자를 정말 좋아하는데 여기 도우가 진짜 쫄깃하고 담백해요. 특히 스텔라 피자는 비주얼도 예쁘고 토핑이 신선해서 먹는 내내 행복했습니다. 매장 분위기도 활기차고 직원분들도 친절하셔서 친구랑 기분 좋게 식사하고 왔네요. 분위기가 아늑하면서도 세련돼서 데이트 장소로 강추합니다. 메뉴가 다양해서 고민했는데 베스트 메뉴들 위주로 시켰더니 실패가 없네요. 화덕에서 바로 구워져 나오는 피자의 풍미가 확실히 달라요. 대학로 연극 보고 나서 들르기 딱 좋은 위치라 앞으로 자주 방문할 예정입니다!,312,True
핏제리아오 대학로 본점,oo아쌈oo,31,2026.04.08,1번째 방문,예약,갑자기 피자가 먹고 싶어서 예약 후 방문했어요^^ 평일에도 웨이팅이 있으니 미리 예약하시고 방문하시면 좋으실 거 같아요~ 음식은 당연히 넘 맛있어요ㅎ 날씨가 좋으니 더 맛있네요... 테라스 강추ㅋ,109,True
핏제리아오 대학로 본점,구짜,37,2026.04.08,1번째 방문,예약,핏제리아오 갔다왔는데 기대 이상이었어요. 피자 도우가 쫀득하고 재료도 신선해서 그냥 맛있다 이런 느낌보다 계속 먹고 싶어지는 맛이었어요. 가게 분위기도 너무 꾸민 느낌 아니고 자연스럽게 멋있어서 편하게 있기 좋았고요. 사진 찍어도 잘 나오더라구요. 직원분들도 부담 없이 친절해서 전체적으로 기분 좋게 먹고 나왔어요. 다음에 또 생각날 것 같은 곳이에요.,197,True
