식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
혜화도담,보배01,39,2026.04.10,1번째 방문,영수증,혜화에서 약속 있어서 오랜만에 친구들이랑 왔어요!! 양도 너무 푸짐하고 갈비찜이랑 전이 진짜 맛있어요 ㅜ.ㅜ 재방문 의사 완전 있습니다!! 혜화 맛집 인정이요 ㅎㅎㅎ,92,True
혜화도담,hee****,27,2026.04.09,1번째 방문,영수증,김치찜이 무척 부드럽고 삼삼합니다. 가성비도 좋고 맛도 좋습니다.,36,True
혜화도담,김서빈78,8,2026.04.09,1번째 방문,영수증,올 때마다 늘 맛있게 먹는 혜화도담 !!! 아버지가 동네에 놀러오셔서 모시고 왔어요! 둘 다 대만족하고 갑니다,61,True
혜화도담,냠냠냐냐,20,2026.04.09,1번째 방문,영수증,너무 맛있어요 비주얼도 너무 좋습니다 두부가 은근 매력이니 꼭 드세요!,39,True
혜화도담,단돌잉,31,2026.04.09,1번째 방문,영수증,대학 사람들과 술마시러 왔는데 맛있고 좋아요 나이스 파전이 빠삭하고 좋아요,41,True
혜화도담,The Fixer,35,2026.04.08,1번째 방문,영수증,김치찜 2인 양이 암청 많아요! 여기 밥도 무한이고!! 반찬도 셀프로 가져다 먹을 수 있어요! 여러분 꼭 와보세요! 제가 감히 강추합니다!!,78,True
혜화도담,kim****,40,2026.04.08,1번째 방문,영수증,음식이 빨리 나오고 너무 맛있는데 사장님도 너무 친절하셔서 좋아요 혜화 맛집!,43,True
혜화도담,민재홍24,15,2026.04.08,1번째 방문,영수증,혜화근무중이라 마싯는 한식 먹으러 올때 생각나서 오는 곳입니다. 올때마다 만족하고 배부르게 먹고갑니다! 막걸리도 점심엔 서비스도 주시는데 근무때문에 못마시는게 한이네요,93,True
혜화도담,설아74,21,2026.04.08,1번째 방문,영수증,"고기가 매우 부드럽고 기름기가 적어서 깔끔해요. 국물을 마셔도 많이 짜지 않을 정도라 집밥 느낌이에요. 김치도 딱 적당히 익은 김치라 많이 시지도 않고 자연스러운 맛이에요. 최적의 김치찜. 밥 셀프라 양껏 먹을수 있고, 밑반찬도 맛있어요.",133,True
혜화도담,크래커34,14,2026.04.08,1번째 방문,영수증,우연히 지인과함께 왔습니다. 와....맛양. ㅁ정말 이런집 간만입니다!! 굿굿,43,True
혜화도담,abcdefghi000,6,2026.04.07,1번째 방문,영수증,말해 뭐해.. 김치찜은 여기가 1등이에요. 고기 양도 푸짐하고 김치 맛이 깊어서 국물 한 방울 안 남기고 다 먹었습니다. 반찬도 깔끔하고 신선해서 항상 기분 좋게 식사하고 가네요. 시험 끝난 날 친구들이랑 기분 좋게 막걸리 한잔씩 하고 갑니다~~,137,True
혜화도담,ded****,2,2026.04.07,1번째 방문,영수증,8시 쯤에 학교 친구들과 방문했습니다~~ 양도 많고 사장님도 친절하셔서 좋았어요! 한식 메뉴로 모임하고 싶으신 분들께 추천드,69,True
혜화도담,wog****,22,2026.04.07,1번째 방문,영수증,데이트하러 혜화왔다가 또간집에 나왔다는 도담왔는데 너무 맛있고 다음에도 재방문의사 있어요👍👍너무 맛도리!강추요~👍,63,True
혜화도담,나현5415,29,2026.04.07,1번째 방문,영수증,친한 언니랑 오랜만에 만나서 저녁 먹으려구 방문했는데 너무 맛있었어요!! 친절하시고 양도 많았어요 다음에 지인 데리고 또 올게요!!❤️,75,True
혜화도담,마지스,14,2026.04.07,1번째 방문,영수증,지인과 뮤지컬보기 전 들렸습니다. 김치찜이 집밥같이 맛있고 공기밥 무한에 대파전은 완전 바삭바삭 막걸리에 딱입니다,63,True
혜화도담,아요바요,342,2026.04.06,1번째 방문,영수증,엄마 생신이어서 가족모임으로 왔는데 정말 탁월한 선택이었어요. 김치찜 대파전 낙지볶음 갈비찜 메뉴가 다 맛있네요. 혜화동 대학로 제일 맛집입니다!!!,83,True
혜화도담,ght****,164,2026.04.05,1번째 방문,영수증,혜화와서 처음먹어본 김치찜…너무 맛있웄어요 비빔밥도 무조건 필수에요! 사장님도 너무 친절하시고 외국인들도 진짜 많이 와요👍🏻,69,True
혜화도담,ox****,96,2026.04.05,1번째 방문,영수증,운좋게 자리가 하나 남아있어서 들어왔는데 너무너무 맛있어용 사장님도 친절하시구 콜키지 무료에 점심엔 막걸리도 주시는 거 같아서 담번엔 막걸리 먹으러도 올게요... 두부도 뜨끈뜨끈 너무 맛잇어요 ㅜㅜ,110,True
혜화도담,wjkajtopgpo12,6,2026.04.05,1번째 방문,영수증,첫방문인데 넘 만족합니다!! 다음엔 막걸리 먹으러 오고싶어요ㅎㅎ,35,True
