식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
호호식당 대학로,for****,18,2026.04.10,1번째 방문,영수증,지난번에 왔다가 웨이팅이 있어서 못먹었는데 오늘은 바로 입장됐어요! 음식 정갈하고 너무 맛있어요🙂 인테리어도 분위기 좋아요~,69,True
호호식당 대학로,hur0082,30,2026.04.09,2번째 방문,영수증,호호식당 너무 맛있어요 부모님들도 만족하셨습니다 가족 연인 친구들과 오셔도 좋을거 같아요 장어덮밥 스끼야지 함박스테이크 다 맛있어요,73,True
호호식당 대학로,jy****,48,2026.04.09,1번째 방문,영수증,직원들이 친절하고 분위기도 좋고 청결해요 무엇보다 고기가 부드럽고 맛있네요 남친과 다시 오고싶어요~,55,True
호호식당 대학로,492****,71,2026.04.08,1번째 방문,영수증,우연히 들린 호호식당 ㅡ바로 웨이팅이 생기면서 잘 왔다는 생각에 음식도 맛났습니다 분위기도 좋습니다,55,True
호호식당 대학로,kkq****,23,2026.04.08,1번째 방문,영수증,연하동 최고 분위기 조아요 👍👍🔥,18,True
호호식당 대학로,skw****,128,2026.04.08,1번째 방문,영수증,음식이 맛있고 아이가 먹기에도 간이 세지 않아서 자주 와요,32,True
호호식당 대학로,개구리59,16,2026.04.08,1번째 방문,영수증,내부 인테리어가 너무 좋아요 음식도 굿😘,22,True
호호식당 대학로,랄쮸,71,2026.04.08,2번째 방문,영수증,아이 병원 진료왔다가 아이가 지난번에 먹었던 오므라이스를 또 먹고 싶다고 해서 방문했어요. 지난번엔 연어를 먹었는데 이번에 먹은 스키야키도 맛있네요. 아이가 좋아해서 또 방문할거같아요.,103,True
호호식당 대학로,임정미79,5,2026.04.08,1번째 방문,예약,사케동. 로스까스 명란오일파스타 먹었어요~ 분위기도 좋고. 음식도 너무 맛있었어요^^ 데이트나 모임 장소로 추천해요^^*,67,True
호호식당 대학로,EmmaCheon,34,2026.04.07,1번째 방문,영수증,매장 분위기도 좋고 맛있어요!,16,True
