feature,importance
review_length,0.3573070680118629
menu_count,0.07865537308456559
account_review_count,0.07460176196249424
reason_count,0.0655531565772691
short_generic_review,0.04916693491449515
specific_review,0.04470601731807977
account_avg_rating,0.043997721212934424
rating,0.039126509820506916
category_count,0.034206046700824284
generic_count,0.02875931343009919
has_detailed_negative,0.028718927422326977
intensifier_count,0.024260898259879708
low_information_review,0.014601187209712404
has_photo,0.014377219467419225
visit_count,0.0135846695268846
strong_generic_praise,0.010092908566675279
account_review_count_over_50,0.009482007639078392
has_generic_praise,0.009356024281674804
account_review_count_over_100,0.009073039753267322
number_detail_count,0.008104236788292231
account_review_count_under_10,0.007789829580114285
first_visit,0.007473213972900502
has_number_detail,0.0069508709759545225
generic_without_detail,0.006168165039236556
account_review_count_under_5,0.0055495588082238746
account_review_count_is_1,0.004386685625905182
revisit,0.0024167955603534757
event_word_count,0.0015338584889690984
