store,account_id,account_review,visit_date,visit_count,verification,review,review_text,photo
금금 성수점,긴픽,42,2026.05.06,1번째 방문,영수증,,0,TRUE
금금 성수점,새돌2,20,2026.05.04,1번째 방문,영수증,너무 맛있어요,7,TRUE
금금 성수점,jik****,17,2026.05.05,1번째 방문,영수증,너무 맛있어요~,8,TRUE
금금 성수점,단팥스프,56,2026.03.20,1번째 방문,영수증,잘 먹었습니다!,8,TRUE
금금 성수점,5mock2,37,2026.04.12,1번째 방문,영수증,맛있게 잘먹었습니다,10,TRUE
금금 성수점,고수다고수,34,2026.05.09,1번째 방문,영수증,맛있어요~~ 또올게요,11,TRUE
금금 성수점,빡구4,81,2026.03.21,1번째 방문,영수증,감사합니다 잘먹었어요!,12,TRUE
금금 성수점,안녕하세여182729,38,2026.04.08,1번째 방문,영수증,진짜맛았어요 ㄹㅈㄷ..,12,TRUE
금금 성수점,그냥마냥63,1783,2026.04.26,1번째 방문,영수증,성수 맛집 잘먹고 갑니다,13,TRUE
금금 성수점,빛4947,46,2026.04.12,1번째 방문,영수증,이색메뉴도 맛두 굿굿♡♡,13,TRUE
금금 성수점,siy****,20,2026.05.01,2번째 방문,영수증,네번째방문..♥ 맛있어요,13,TRUE
금금 성수점,duckkkk7249,19,2026.04.27,1번째 방문,예약,친절하고 분위기 좋습니다,13,TRUE
금금 성수점,gun8751,14,2026.04.07,1번째 방문,영수증,너무 맛있어요 강추입니다,13,TRUE
금금 성수점,holly60,42,2026.04.15,2번째 방문,영수증,직장 근처여서 종종 와요,13,TRUE
금금 성수점,ssy****,30,2026.03.17,1번째 방문,영수증,음식이 깔끔라고 담백해요,13,TRUE
금금 성수점,sylvenomster,15,2026.03.26,1번째 방문,예약,음식이 깔끔하고 맛있어요,13,TRUE
금금 성수점,미찌23,92,2026.03.03,1번째 방문,영수증,맛있게 잘 먹었어요 👍👍👍,14,TRUE
금금 성수점,SGS55,59,2026.04.09,1번째 방문,영수증,비주얼만큼특별합니다 재방!,14,TRUE
금금 성수점,dba****,19,2026.05.07,1번째 방문,영수증,너무 맛있고 친절하세요!!,14,TRUE
금금 성수점,블리츠41,47,2026.03.26,1번째 방문,영수증,먹어보고싶었는데 맛도리에용,14,TRUE
금금 성수점,dke****,31,2026.04.16,2번째 방문,영수증,항상 맛있게먹고있습니닿ㅎㅎ,14,TRUE
금금 성수점,코쿠루9,65,2026.04.09,1번째 방문,예약,너무 친절하고 맛있어요 !,14,TRUE
금금 성수점,anthem2427,38,2026.05.07,1번째 방문,영수증,깔끔하고 음식이 특별해요!!,15,TRUE
금금 성수점,소심한블래기,1,2026.04.27,1번째 방문,영수증,재료가 신선하고 맛있어요~!,15,TRUE
금금 성수점,FlowDia,48,2026.02.27,1번째 방문,영수증,음식이 정갈하고 맛있어요!!,15,TRUE
