store,account_id,account_review,visit_date,visit_count,verification,review,review_text,photo
난포,kji****,3650,2026.04.15,1번째 방문,영수증,,0,TRUE
난포,밍기적20,47,2026.02.23,1번째 방문,영수증,,0,TRUE
난포,otx****,1324,2026.02.25,1번째 방문,영수증,,0,TRUE
난포,석민01,33,2026.02.17,1번째 방문,예약,,0,TRUE
난포,일상 그 이상,328,2025.12.20,1번째 방문,예약,,0,TRUE
난포,기역이응리을,1225,2025.12.30,1번째 방문,예약,,0,TRUE
난포,부레옥잠115,6,2026.01.17,1번째 방문,예약,,0,TRUE
난포,muguri,1224,2025.09.18,1번째 방문,예약,,0,TRUE
난포,wyuj010729,84,2025.10.23,1번째 방문,예약,,0,TRUE
난포,kl****,39,2025.08.13,1번째 방문,영수증,,0,TRUE
난포,지효니34,2115,2025.04.26,3번째 방문,영수증,,0,TRUE
난포,모험가146,2754,2025.03.27,1번째 방문,영수증,,0,TRUE
난포,sunkyung0824,1339,2025.04.09,1번째 방문,영수증,,0,TRUE
난포,finderjoo,13,2025.05.12,1번째 방문,예약,,0,TRUE
난포,moon9809,682,2025.03.13,1번째 방문,영수증,,0,TRUE
난포,ian203,5,2025.04.07,1번째 방문,예약,,0,TRUE
난포,kkk687,1254,2025.05.13,1번째 방문,예약,,0,TRUE
난포,띠원,192,2025.02.02,1번째 방문,영수증,,0,TRUE
난포,rnfejr5596,2299,2024.12.23,1번째 방문,영수증,,0,TRUE
난포,sygnus47,260,2024.12.12,1번째 방문,,,0,TRUE
난포,Aaeng,1002,2024.12.06,1번째 방문,영수증,,0,TRUE
난포,wls****,43,2024.11.29,1번째 방문,예약,,0,TRUE
난포,몬티맘,112,2024.11.02,1번째 방문,예약,,0,TRUE
난포,파란 하늘가득,965,2025.03.13,1번째 방문,영수증,,0,TRUE
난포,Hankkry,442,2024.11.03,1번째 방문,영수증,,0,TRUE
난포,동식415,617,2024.10.10,1번째 방문,영수증,,0,TRUE
난포,mmmio,1905,2025.01.05,1번째 방문,예약,,0,TRUE
난포,두부두부두루둡,1212,2024.10.12,1번째 방문,영수증,,0,TRUE
난포,Wendy02,852,2024.10.07,1번째 방문,영수증,,0,TRUE
난포,아엠마더,1111,2024.10.03,1번째 방문,영수증,,0,TRUE
난포,프른마녀,289,2024.09.06,1번째 방문,예약,,0,TRUE
난포,zziddang,511,2024.09.29,1번째 방문,영수증,,0,TRUE
난포,xiangfen1421,12,2024.10.30,1번째 방문,예약,,0,TRUE
난포,릴리릴6633,571,2024.08.31,1번째 방문,영수증,,0,TRUE
난포,soj****,1605,2024.08.20,1번째 방문,영수증,,0,TRUE
난포,mys****,193,2024.08.15,1번째 방문,영수증,,0,TRUE
난포,채영74,42,2024.09.04,1번째 방문,예약,,0,TRUE
난포,102에오,1320,2024.10.24,1번째 방문,영수증,,0,TRUE
난포,Hammer11520,1331,2024.08.01,1번째 방문,영수증,,0,TRUE
난포,민섭맘51,31,2024.06.05,1번째 방문,예약,,0,FALSE
난포,eun****,1946,2025.09.18,1번째 방문,영수증,긋,1,TRUE
난포,ANNA1119,3525,2026.02.02,1번째 방문,영수증,ㅁ,1,TRUE
난포,kym****,1290,2025.02.23,1번째 방문,영수증,굳,1,TRUE
난포,냥냠밍,608,2025.03.23,3번째 방문,영수증,굿,1,TRUE
난포,오후5시30분,4363,2024.12.01,1번째 방문,영수증,굿,1,TRUE
난포,얄루55,556,2024.10.19,1번째 방문,영수증,굿,1,TRUE
난포,오리892,1897,2025.10.24,1번째 방문,영수증,한식,2,TRUE
난포,3335960,9,2025.09.24,1번째 방문,예약,와앙,2,TRUE
난포,maria117,1607,2025.01.17,1번째 방문,영수증,:),2,TRUE
난포,두목이다,40,2025.02.13,1번째 방문,예약,👍🏻,2,TRUE
난포,its****,633,2024.11.24,1번째 방문,영수증,👍🏻,2,TRUE
난포,ydh3200,3001,2025.10.08,1번째 방문,예약,맛나요,3,TRUE
난포,화신49,1232,2025.01.13,1번째 방문,,비싸요,3,TRUE
