가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
굴다리식당,된장찌개 매니아,138,4,2026-04-21,4.0,False,19,정말 엄청나게 시큼 새콤한 김치찌개,골드 레벨
굴다리식당,그냥짱쎈블로거,288,4,2026-04-19,1.0,True,365,"10,000원이라는 가격 책정에 분노가 끓어오르는 퀄리티와 맛.. 전체적인 음식들을 노포 감성이라고 치부하기에는 너무 .. 너무너무 맛이 없어요 정말 심각합니다.. 이걸 먹고 맛있다고 하는 사람들은 대체 뭘 드시고 살아계시는건지 ㄹㅇ 아무리 생각해도 이해불가임... 김치찌개도 김치 + 고기 + 국물이 끝인데 일반 고깃집 가면 서비스로 나오는 된찌가 훨씬 맛있습니다. 제육볶음은 이걸 제육볶음이라고 부르는 게 범죄라고 느껴질 정도로 겁나 질기고 퍽퍽합니다. 그냥 씨유에서 컵라면에 삼김만 먹어도 이거보단 만족스러울 것 같습니다. 이게 대체 어디서 들여온 고기일까요 사장님..??? 다른 건 몰라도 고기라도 바꾸세요 제발.. 맛: 분위기:⭐️ 친철함:⭐️",골드 레벨
굴다리식당,YEE,48,3.9,2026-04-12,2.0,True,136,제육볶음은 시골동네 백반집에 나올법한 스타일 달큰한 맛이 강하고 장조림 고기 식감이다 김치찌개는 국물 맛이 깊은데 만원주고 먹기에는 비싼감이 있다 지방에서 올라와 집밥 먹기힘든 사람들에게는 메리트가 좀 더 있겠지만 개인적으로 재방문 의사는 없다,실버 레벨
굴다리식당,if,10,4.1,2026-04-05,5.0,False,43,저는 진짜 너무 맛있어요 주민인데 한 20번 갔어요 평점이 낮길레 달아봐요ㅠㅠ,실버 레벨
굴다리식당,abdo,157,4.2,2026-03-22,5.0,False,13,김치찌개 5 제육볶음 4,골드 레벨
굴다리식당,김치찌기러버❤️,19,4.7,2026-03-22,4.0,True,15,까칠한 시골할머니 김치찌기.,실버 레벨
굴다리식당,Anakii Simple,49,4.5,2026-03-19,3.0,True,244,김치찌개와 제육 각 1인분씩 먹었습니다. 안타깝지만 비평입니다. 일부러 찾아갔는데 가게의 명성과 방문한 사인들을 감안할 때 당혹스러운 수준. (1일 후 추가기록) 그러나 식후 속이 아주 편하고 소화는 잘 되었습니다. 일단 제육은 두툼한 고기가 나쁘지 않았습니다만 추천할 만한 맛은 아닙니다. 김치찌개의 김치는 아주 폭 익었고 국물은 깔끔했지만 고기 두어 덩어리로 끝? 사진에서처럼 매우 부실합니다. 저게 만원이라니요. 맛뵈기 국물스러움?,실버 레벨
굴다리식당,matt,51,3.7,2026-02-28,4.0,False,17,고향에 맛.. 진짜 맛있어요~!,실버 레벨
굴다리식당,스댕,2,3.5,2026-02-12,2.0,False,26,저 진짜 길냥이입맛인데..여긴 좀 그랬어요 ㅠㅠ,브론즈 레벨
굴다리식당,루나,3,4.3,2026-02-06,4.0,True,130,"김치찌개 달지 않고도 잘 익은 김치맛 정말 맛있습니다. 제육은 맛있긴 한데 좀 달아요 이건 좀 아쉬운 부분. 계란말이는 안 먹어 봤습니다. 재방문 할 예정. 길가다 들리는 양산형 제육집, 김치찌개집에 비해 특색 있고 맛있는 집입니다.",브론즈 레벨
