가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
마포양지설렁탕 도화점,나우시카,2,1,2026-04-23,1.0,False,52,여기서 26.4.17일 내장탕 먹고 다음날 장염걸린거같은데. . 심증은 있는데 . 물증이 없네,브론즈 레벨
마포양지설렁탕 도화점,정슐랭가이드,153,3.2,2026-04-17,3.0,True,41,설렁탕 전문점에서 기대하는 맛을 느낄 수 있어요. 맛있게 한 끼 했습니다.,골드 레벨
마포양지설렁탕 도화점,돌고도는,8,3.5,2026-04-01,5.0,False,38,맛슐랭평가단임? 깝치는 별점들 제외하면 4점 후반대 맞아야하는 맛집임,브론즈 레벨
마포양지설렁탕 도화점,잔반은없어,87,3.9,2026-03-27,4.0,True,9,GOAT급 파김치,골드 레벨
마포양지설렁탕 도화점,냠냠학사,5,4.8,2026-03-11,4.0,False,81,3.5점이 적합한듯. 신선어쩌구같은 유사사골 설렁탕이 아니라 딱 설렁탕 하면 생각나는 무난한 설렁탕. 밥을 많이 줌. 김치는 조금 익은 감이 있음,브론즈 레벨
마포양지설렁탕 도화점,맛없는거 먹으면 화냄,352,3.9,2026-02-02,5.0,True,21,겨울에 먹으면 왕맛도리 김치도 매우맛남,골드 레벨
마포양지설렁탕 도화점,민뎡밍,6,3,2026-01-07,1.0,False,162,"설렁탕 , 내장탕 둘 다 먹어봄. 그냥 무난한 맛인데 가격이 넘 비싸게 받는거 같음. 청양고추 달라했는데 왜 달라고 하냐, 원래 수육 시켜야만 주는거다 등등 계속 뭐라함. 결국 나갈때까지 안줘서 포기함. 만사천원 주고 밥 먹는데 청양고추 좀 달라고 한게 그렇게 아까운건지,, 다신 안갈듯;;",브론즈 레벨
마포양지설렁탕 도화점,맛집지도 공유해 드림,335,3.3,2026-01-05,3.0,True,99,"이집은 역사가 꽤 깊다. 거기에 비해 맛은 기본에 충실한 중간 정도의 수준. 김치, 깍두기도 기본 수준. 맛이 없는건 아닌데 특별하진 않다. 업소 앞에 주차장이 있는건 큰 장점.",골드 레벨
마포양지설렁탕 도화점,왓,10,3.5,2025-12-28,4.0,False,204,김치 종류도 다양하고 무엇보다 깍두기 잘먹어서 점점 줄어드는거 보시곤 그릇을 가져가시길래 놀랬는데 김치 많이 먹으라고 하시면서 가득 담아서 다시 가져다주셔서 더 놀랐어요 ㅎㅎㅎ 요즘 불친절한곳이 많다가 이런 친절이 너무 오랜만이라 반가웠어요. 저는 기본 설렁탕 먹었고 맛은 일단 깍두기 맛있고요. 파김치!!!👍👍👍👍👍 맛집은 김치맛보면 딱 알잖아요! 이걸로 설명 끝,브론즈 레벨
마포양지설렁탕 도화점,진짜,448,3.6,2025-12-24,3.0,True,78,설렁탕 간이 되어 있어서 파 넣고 바로 흡입. 김치 맛집 사람 많고 가게 앞에 주차 가능 특은 한우고 고기가 많음. 맛은 보통이랑 비슷...,블루 레벨
마포양지설렁탕 도화점,트랭플링,15,3,2025-11-02,5.0,False,6,국물이 미침,실버 레벨
마포양지설렁탕 도화점,,11,3.6,2025-10-16,2.0,False,38,맛이 변했어요 설렁탕이 아니라 고기국물 색깔도 맛도 주방장이 바뀌었나,브론즈 레벨
마포양지설렁탕 도화점,맛도리만,574,3.9,2025-10-12,4.0,False,6,파김치 고트,골드 레벨
마포양지설렁탕 도화점,넵넵,471,3.7,2025-10-06,5.0,False,11,무난하게 먹기 좋아요,골드 레벨
마포양지설렁탕 도화점,✨,116,3.1,2025-10-05,2.0,False,140,김치가 맛있고 설렁탕은 평범한 곳에서 명성만 남고 퀄리티는 저멀리 내던져버린 곳으로 바뀐곳.. 김치 양념도 뭐지싶고 평범한 한식집만도 못한 김치가 있네요. 그리고 가격에 맞는 퀄리티도 절대 아님. 고기라도 제대로 주세요 무슨 고기양이 푸드코트수준이야…,골드 레벨
마포양지설렁탕 도화점,.,81,4.2,2025-09-03,3.0,False,16,배고플때 맛있게 먹을만한 집!,실버 레벨
마포양지설렁탕 도화점,된장찌개 매니아,138,4,2025-08-28,3.0,False,17,이정도면 괜찮죠였지만 점점 아쉽,골드 레벨
마포양지설렁탕 도화점,이혜진,1,3,2025-08-11,3.0,False,85,육수에 신경좀 써주시길 바랍니다 이거 뭐지 하는 생각이 먼저들었습니다. 여기서 많이 먹어봤늠데..처음 보는 비쥬얼 오믈은 돈이 아깝다는 생각이 먼저드네요,브론즈 레벨
